Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)
3.655	1136.61	1082.63	1114.12	1033.42	1115.17	1110.46	1140.81	1127.49	1094.87	1218.69	1113.26	1221.3	1122.75	1060.7	1256.39	1040.46	942.79	1219.04	1115	1242.47	1020.96	1084.69	865.55	1077.4	1170.42	1065.56	1022.88	1122.05	1205.61	1131.91	1352.03	1014.79	1085.63	972.41	1013.41	1039.1	1196.92	1056.55	1223.2	1120.23	1083.17	1073.68	1286.38	1503.06	1111.73	1215.57
33.561	1263.18	1216.29	1253.65	1143.17	1228.44	1254.12	1291.98	1234.63	1238.35	1361.95	1230.06	1341.75	1238.97	1187.72	1410.82	1182.28	1067.37	1400.2	1257.66	1392.42	1107.19	1220.55	943.71	1224.64	1324.54	1207.93	1144.63	1233.78	1336.87	1264.98	1567.68	1143.99	1251.72	1065.86	1164.81	1167.26	1357.84	1181.63	1415.37	1300.83	1221.55	1178.28	1517.97	1660.2	1266.54	1333.93
63.560	1346.42	1343.25	1365.66	1239.8	1317.3	1376.42	1404.21	1305.34	1358.15	1479.27	1319.26	1429.32	1326.44	1301.8	1544.07	1305.7	1170.68	1553.46	1365.78	1520.86	1180.58	1336.01	1014.84	1338.86	1428.81	1324.69	1239.31	1329.12	1458.64	1361.27	1725.58	1240.61	1365.18	1124.64	1281.41	1263.73	1495.71	1286.6	1557.32	1427.82	1332.51	1260.93	1719.66	1798.82	1403.8	1436.76
93.621	1475.43	1522.47	1539.7	1375.32	1457.62	1557.09	1561.93	1440.11	1519.93	1659.26	1432.57	1557.05	1456.23	1455.9	1722	1478.62	1340.77	1737.27	1501.34	1703.65	1288.9	1494.09	1141.41	1492.25	1596.96	1486.84	1379.56	1471.95	1635.72	1492.44	1941.51	1393.31	1542.76	1233.04	1466.6	1414.03	1686.73	1435.03	1766.28	1629.09	1490.07	1381.5	1989.68	2014.35	1590.57	1577.42
124.088	1613.5	1727.4	1727.06	1517.55	1595.87	1755.04	1723.7	1572.86	1697.04	1850.86	1561.33	1670.9	1587.19	1643.91	1902.46	1673.81	1531.51	1937.37	1627.87	1913.2	1416.15	1659.01	1273.42	1650.02	1762.97	1649.22	1527.68	1626.91	1832.68	1608.66	2140.66	1552.31	1720.88	1318.94	1663.37	1577.27	1881.63	1590.11	1959.33	1843.87	1641.73	1486.38	2281.84	2193.67	1819.67	1718.37
154.040	1782.67	1971.57	1956.38	1697.83	1788.19	2008.78	1922.07	1739.55	1896.55	2067.91	1703.06	1802.96	1734.79	1843.27	2092.24	1902.38	1766.7	2190.27	1786.69	2169.72	1561.15	1857.32	1452.49	1838.02	1947.43	1845.62	1694.65	1803.12	2071.15	1749.57	2381.99	1748.18	1932.37	1440.97	1908.02	1757.16	2122.51	1769.32	2205.53	2071.19	1825.39	1604.54	2633.17	2423.21	2076.03	1893.7
184.024	1916.66	2193.16	2151.75	1848.76	1948.1	2235.78	2073.6	1882.39	2073.46	2271.93	1809.11	1910.62	1859.46	2022.04	2248.5	2103.66	1984.12	2383.52	1896.76	2393.58	1703.49	2035.16	1620.18	1985.36	2108.28	2007.39	1833.33	1967.57	2277.97	1856.12	2568.95	1925.07	2096.26	1534.79	2111.27	1924.85	2333.95	1914.29	2378.46	2272.2	1986.89	1689.3	2935.79	2638.82	2314.02	2061.95
214.038	2086.64	2479.96	2384.89	2030.38	2148.91	2513.63	2265.62	2071.81	2289.8	2524.63	1951.37	2038.31	2023.89	2239.8	2435.76	2354.61	2258.61	2614.84	2025.64	2657.25	1868.64	2240.45	1812.18	2170.37	2300.38	2220.46	2004.21	2166.31	2536.43	1969.33	2773.27	2116.55	2294.85	1650.41	2373.94	2112.06	2575.39	2103.77	2603.89	2519.9	2165.83	1797.75	3310.06	2896.19	2591.01	2234.13
243.959	2251.87	2765.21	2629.53	2217.75	2336.62	2789.03	2435.25	2251.76	2497.11	2759.79	2076.86	2150.49	2150.97	2441.52	2623	2594.48	2538.21	2828.08	2139.16	2923.51	2048.04	2439.26	2036.14	2328.64	2462.49	2413.34	2173.7	2352.94	2799.06	2070.93	2966.08	2314.61	2484.61	1756.6	2626.71	2307.54	2814.11	2268	2816.13	2752.62	2332.18	1890.48	3663.35	3106.23	2874.81	2404.7
273.958	2410.48	3038.81	2856.24	2392.38	2523.35	3063.18	2594.89	2417.92	2694.65	2992.85	2193.55	2239.79	2287.85	2648.61	2770.92	2821.94	2791.18	3043.4	2233.8	3211.47	2223.75	2634.58	2250.45	2496.4	2628.31	2586.74	2328.72	2556.93	3048.38	2162.31	3136.41	2509.47	2656.06	1863.41	2869.28	2473.22	3042.97	2427.68	2998.9	2966.97	2485.71	1978.12	4003.62	3339.62	3155.07	2588.97
