Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)
6.931	1169.3	1155.83	1456.64	1460.15	1095.6	1258.95	1500.58	1087.24	1149.4	1140.09	1539.37	1264.34	1126.11	998.91	1104.72	1142.27	926.83	1127.7	1385.22	1150.83	1318.84	1429.01	1260.88	1119.06	1008.18	1326.76	1287.57	1230.89	1150.47	1053.79	999.23	1292.72	1584.08	1053.08	1194.94	1058.67	1223.84	1079.58	933.84	1223.73	1045.99	1061.77	1559.48	1079.45	1069.89	1009.69	1292.26	997.66	1071.91	1174.07	1237.72
36.837	1263.99	1310.95	1626.5	1641.85	1255.87	1383.66	1754.15	1224.14	1304.55	1293.02	1805.5	1476.05	1275.64	1101.15	1210.24	1285.26	979.99	1264.18	1638.73	1313.62	1488.94	1658.4	1461.25	1266.38	1084.78	1481.03	1451.19	1426.61	1273.26	1194.46	1132.36	1425.78	1870.66	1198.75	1403.27	1190.96	1424.27	1200.66	1004.12	1382.09	1193.2	1201.39	1777.56	1222.68	1165.13	1124.79	1399.43	1074.55	1175.91	1306.23	1370.83
66.867	1336.37	1434.13	1792.85	1784.8	1411.87	1480.05	1943.15	1332.98	1435.72	1420.79	2014.18	1680.87	1399.66	1176.87	1313.2	1414.3	1001.43	1379.7	1857.93	1449.39	1628.93	1832.36	1616.21	1384.14	1139.02	1609.27	1601.66	1600.72	1376.74	1313.26	1261.09	1548	2120.07	1337.51	1592.32	1313.17	1593.76	1298.97	1052.36	1509.51	1323.95	1330.9	1951.63	1362.18	1244.78	1230.87	1478.7	1129.3	1249.43	1415.86	1483.77
96.928	1458.57	1608.57	2056.46	1993.8	1665.57	1622.11	2200.25	1493.69	1628.98	1619.36	2296.57	1963.97	1585.44	1290.78	1473.41	1596.95	1050.61	1534.33	2176.53	1651.4	1816.83	2082.18	1841.75	1565.45	1228.55	1798.42	1814.21	1838.93	1519.4	1501.61	1463.07	1696.97	2448.76	1541.31	1870.57	1488.41	1834.78	1451.64	1153.88	1689.07	1527.92	1521.14	2180.33	1556.49	1362.52	1392.32	1631.38	1221.12	1381.47	1567.53	1648.86
127.426	1566.86	1776.95	2290.75	2188.01	1933.62	1751.12	2447.92	1651.22	1819.56	1788.02	2565.01	2259.75	1753.4	1403.41	1638.71	1787.51	1089.94	1683.18	2495.66	1846.15	1998.88	2310.37	2053.63	1735.7	1298.25	1981.06	2020.96	2068.23	1653.04	1694.04	1683.22	1829.75	2760.3	1784.26	2149.76	1689	2081.97	1593.13	1256.07	1871.55	1745.24	1717.71	2387.08	1771.65	1470.65	1567.29	1761.45	1316.29	1502.55	1723.1	1812.86
157.347	1724.11	1982.49	2597.79	2412.52	2285.96	1906.56	2727.19	1848.76	2050.7	2023.12	2860.72	2617.52	1962.73	1538.19	1847.75	2012.87	1142.26	1855.87	2857.77	2090.23	2210.08	2579.94	2298.32	1941.99	1398.88	2203.47	2284.64	2350.66	1819.95	1928.5	1942.61	1982.22	3120.9	2056.61	2485.16	1942.48	2361.81	1754.81	1396.17	2079.96	2007.94	1961.89	2606.36	2011.85	1611.2	1778.97	1924.8	1419.99	1647.34	1899.12	2012.42
187.346	1876.11	2178.48	2933.6	2628.24	2658.07	2065.82	2999.37	2044.07	2266.71	2250.65	3148	3002.65	2191.89	1673.26	2085.09	2263.24	1202.59	2042.57	3233.4	2335.48	2416.94	2850.42	2569.14	2154.64	1489.13	2410.44	2566.65	2644.99	1997.93	2178.4	2236.45	2146.34	3490.96	2366.65	2845.84	2201.73	2661.35	1915.37	1556.52	2296.7	2287.86	2216.46	2822.3	2284.24	1741.89	2015.15	2086.01	1538.54	1808.62	2092.19	2187.77
217.361	2006.97	2344.88	3240.96	2821.9	3017.95	2200.54	3212.35	2228.19	2470.49	2439.49	3392.21	3362.22	2382.58	1790.02	2313.15	2471.66	1236.49	2185.6	3591.54	2558.84	2581.7	3057.99	2788.43	2344.61	1553.6	2611.21	2795.47	2905.95	2132.91	2407.8	2526.48	2254.74	3812.37	2654.64	3186.45	2455.03	2925.51	2061.91	1708.69	2486.45	2567.32	2476.64	2999.7	2521.55	1861.61	2220.47	2253.03	1629.66	1944.49	2240.7	2346.41
247.266	2128.46	2512.41	3528.56	2986.72	3382.83	2309.03	3412.63	2400.81	2659.89	2632.81	3600.66	3712.37	2576.04	1889.01	2515.23	2674.49	1269.32	2318.66	3915.38	2738.81	2722.24	3242.06	2982.8	2517.18	1614	2784.17	3025.05	3157.22	2249.18	2645.14	2804.25	2332.39	4119.59	2956.95	3507.78	2697.08	3164.73	2199.38	1851.78	2656.66	2818.73	2706.47	3147.16	2762.12	1968.38	2432.17	2403.11	1716.54	2073.83	2402.04	2519.05
277.281	2300.27	2716.02	3903.67	3204.51	3817.81	2469.88	3665.85	2618.74	2914.88	2878.27	3874.74	4138.47	2819.02	2031.01	2795.86	2940.09	1323.42	2494.48	4326.65	2994.76	2944.99	3483.88	3250.76	2760.75	1701.49	3027.17	3317.96	3471.66	2435.44	2934.84	3155	2459.58	4463.91	3301.01	3896.7	3016.75	3485.57	2365.37	2040.27	2875.2	3147.95	2988.27	3323.56	3045.08	2112.91	2703.34	2578.01	1848.15	2253.42	2578.43	2704.09
307.202	2508.22	2983.36	4344.3	3481.79	4357.5	2672.11	3970.6	2885.06	3228.2	3189.92	4222.37	4667.76	3135.87	2214.38	3129.01	3275.93	1405.06	2731.08	4834.36	3322.21	3185.82	3795.78	3570.43	3043.95	1831.29	3296.57	3685.79	3852.79	2668.09	3295.32	3598.26	2611.81	4953.75	3739.08	4404.09	3395.92	3880.23	2582.28	2285.51	3156.41	3554.98	3354.82	3558.75	3416.84	2294.69	3024.56	2818.73	2006.71	2469.6	2833.25	2980.77
337.201	2760.46	3304.3	4882.21	3817.1	4988.78	2914.78	4360.37	3226.51	3605.75	3557.08	4652.88	5308.43	3512.32	2442.14	3550.61	3692.19	1506.43	3010.05	5451.43	3713.11	3490.63	4172.96	3977.86	3402.53	1991.61	3655.74	4118.78	4330.45	2923.02	3735.34	4114.3	2828.14	5485.67	4276.4	4975.31	3847.85	4356.63	2846.86	2572.62	3490.83	4050.88	3789.48	3859.94	3860.69	2522.89	3411.99	3096.3	2193.65	2735.28	3111.05	3275.72
367.278	2975.68	3576.47	5344.08	4112.9	5561.03	3134.52	4635.11	3519.83	3940.12	3865.12	4997.62	5872.31	3832.51	2627.96	3902.02	4056.43	1591.76	3250.2	5980.94	4061.88	3749.5	4466.45	4313.88	3696.59	2125.42	3945.22	4490.91	4745.29	3168.87	4124.63	4567.94	2988.04	5959.5	4740	5514.45	4269.59	4762.21	3073.89	2835.55	3772.84	4477.27	4181.41	4089.3	4246.92	2698.61	3775.99	3376.43	2367.36	2952.93	3377.93	3533.81
397.339	3053.72	3656.8	5542.76	4161.09	5812.03	3177.81	4686.88	3609.47	4018.28	3990.67	5044.29	6096.79	3953.89	2684.38	4064.72	4205.32	1583.03	3302.11	6168.69	4155.27	3798.35	4517.01	4419.24	3798.76	2152.33	4005.41	4618.61	4864.82	3221.66	4280.96	4770.54	2973.06	6066.61	4947.82	5715.1	4428.25	4877.53	3140.01	2956.89	3863.26	4645.54	4316.95	4075.34	4399.97	2762.52	3907.85	3410.04	2393.08	3027.75	3440.19	3601.55
427.260	3208.35	3818.08	5850.93	4318.23	6207.34	3323.97	4852.94	3810.67	4226.84	4197.18	5236.83	6429.12	4159.53	2793.68	4322.85	4435.15	1646.65	3434.84	6512.55	4363.13	3941.18	4673.41	4619.01	3988.73	2240.41	4195.12	4848.04	5116.16	3362.67	4557.2	5101.18	3048.82	6359.95	5274.98	6030.06	4726.49	5135.59	3275.66	3155.4	4044.69	4950.84	4587.62	4191.79	4643.66	2885.6	4150.03	3579.4	2500.66	3172.16	3602.76	3757.23
457.259	3386.63	4035.84	6225.99	4538.67	6639.08	3477.41	5050.63	4033.3	4486.88	4444.3	5482.17	6901.46	4446.21	2954.3	4642.47	4754.71	1697	3608.43	6912.21	4628.77	4094.88	4904.57	4881.85	4243.81	2338.34	4413.22	5131.07	5439.02	3556.65	4880.26	5485.58	3147.79	6701.81	5649.18	6469.18	5061.95	5459.68	3447.3	3376.45	4261.67	5292.22	4876.82	4320.44	4956.38	3031.89	4441.3	3782.44	2629.88	3365.58	3786.82	3961.45
487.196	3543.58	4226.56	6565.73	4729.8	7075.62	3627.44	5240.37	4264.39	4721	4674.78	5702.38	7300.54	4690.98	3095.51	4910.87	5025.22	1757.07	3779.36	7300.83	4860.47	4265.79	5069	5109.61	4460.64	2451.78	4610.7	5394.87	5745.09	3729.58	5182.13	5874.8	3223.57	7035.54	6001.08	6829.55	5391.5	5726.37	3617.33	3576.33	4470.58	5608.93	5163.99	4449.14	5227.53	3171.2	4700.33	3964.46	2745.04	3524.09	3985.77	4124.21
