Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)
10.207	895.6	1105.57	1306.15	978.35	1038.84	1110	1059.5	1433.77	1185.82	1177.07	1601.92	831.49	847.3	940.44	1136.72	1137.05	1147.58	1281.25	1242.34	1073.42	815.59	1018.96	783.57	1075.94	968.26	933.36	1074.8	1130.22	1065.82	1045.45	1003.35	1172.17
40.097	926.45	1204.19	1477.13	1054.37	1133.85	1214.71	1141.89	1617.83	1315.73	1303.69	1833.47	886.76	895.81	1000.8	1228.7	1254.69	1301.74	1398.71	1356.25	1167.08	833.64	1087.86	794.96	1175.67	1034.02	997.2	1197.71	1217.59	1134.85	1122.45	1028.12	1279.29
70.158	958.46	1283.61	1652.93	1120.68	1230.73	1315.75	1228.91	1780.56	1432.46	1424.79	2048.65	961.84	935.12	1057.46	1332.64	1384.9	1470.24	1517.95	1461.33	1248.41	861.46	1173.24	811.12	1271.15	1097.4	1064.44	1318.21	1304.76	1195.35	1195.56	1053.51	1376.74
100.251	1006.86	1396.76	1884.07	1214.59	1365.09	1442.65	1341.34	2020.43	1599.8	1574.88	2327.66	1074.04	995.87	1130.75	1467.72	1563.73	1692.59	1674.65	1603.05	1361.1	910.16	1289.12	849.19	1415.28	1181.58	1162.13	1482.24	1420.47	1272.35	1297.43	1094.84	1518.6
130.749	1049.29	1499.73	2100.95	1305.63	1496.5	1548.35	1461.78	2220.21	1744.27	1700.51	2584.13	1196.93	1067.02	1197.81	1594.7	1749.96	1925.52	1833.66	1728.84	1461.06	963.91	1394.52	875.67	1548.65	1251.81	1245.19	1649.81	1537.61	1335.8	1403.5	1138.57	1654.41
160.670	1115.09	1610.46	2334.33	1427.24	1654.96	1692.22	1599.87	2463.26	1919.74	1858.88	2848.21	1347.61	1141.2	1276.07	1759.54	1967.25	2199	2020.64	1887.68	1584.08	1036.79	1530.22	928.22	1694.51	1336.21	1354.68	1847.01	1669.65	1425.63	1523.26	1177.78	1790.18
190.669	1182.75	1738.95	2616.23	1557.24	1826.9	1830.85	1765.91	2740.7	2122.01	2029.28	3145.66	1548.04	1242.25	1370.27	1939.73	2243.07	2513.72	2250.14	2072.14	1716.1	1131.38	1676.27	981.31	1878.96	1447.57	1483.22	2073.3	1824.77	1509.87	1655.24	1242.33	1988.53
220.653	1211.48	1785.3	2740.46	1628.67	1929.09	1887.19	1849.22	2858.51	2195.85	2105.79	3263.38	1670.08	1281.9	1396.76	2035.36	2402.98	2713.48	2373.15	2155.84	1769.23	1179.22	1748.66	1010.26	1971.75	1468.07	1543.37	2211.04	1913.63	1547.09	1730.29	1264.05	2085.22
250.605	1249.16	1851.64	2899.22	1713.98	2048.04	1961.8	1965.32	3032.35	2308.29	2194.73	3430.03	1836.47	1343.76	1446.26	2144.6	2591.39	2946.95	2520.07	2263.17	1838.57	1252.51	1849.9	1055.47	2096.36	1527.73	1629.17	2374.37	2026.34	1586.56	1820.93	1303.58	2196.01
280.588	1354.43	1987.23	3196.41	1879.36	2264.44	2112.49	2153.67	3334.2	2522.27	2379.63	3742.38	2097.35	1466.72	1537.67	2370.8	2924.18	3338.42	2798.73	2470.14	1999.5	1382.32	2025.72	1141.46	2314.18	1638.12	1782.72	2657.7	2214.3	1695.28	1993.13	1371.95	2408.17
310.509	1426.09	2081.56	3436.28	2001.5	2440.42	2237.1	2321.39	3588.67	2695.82	2519.99	3963.35	2333.26	1568.16	1611.19	2539.25	3186.24	3680.53	3008.41	2642.24	2101.06	1501.29	2165.57	1213.18	2497.88	1722.49	1913.43	2892.07	2358.81	1772.2	2126.76	1425.93	2584.94
340.524	1527.5	2212.71	3775.01	2181	2678.96	2390.05	2536.01	3913.69	2901.3	2709.32	4273.47	2618.88	1715.29	1724.01	2777.43	3557.69	4097.28	3301.52	2861.56	2264.18	1651.52	2361.24	1314.4	2739.99	1825.44	2095	3214.2	2571.55	1872.39	2298.65	1528.48	2795.37
370.601	1619.58	2316.99	4008.39	2323.39	2879.57	2513.18	2712.1	4210.02	3082.11	2851.1	4485.99	2890.26	1835.19	1800.21	2962.92	3874.4	4392.91	3545.67	3033.96	2376.44	1779.76	2502.61	1403.41	2921.24	1913.21	2240.71	3464.98	2734.38	1940.52	2452.96	1588.64	2972.36
400.662	1583.93	2213.55	3910.32	2277.21	2822.66	2419.13	2669.34	4084.72	2985.45	2748.43	4317.31	2898.53	1796.3	1735.35	2888.12	3829.69	4400.8	3497.23	2964.32	2298.07	1771.64	2447.51	1389.42	2868.47	1843.31	2195.02	3424.27	2667.21	1877.21	2397.37	1555.98	2920.49
430.536	1694.35	2343.15	4222.63	2455.81	3058.96	2579.67	2896.66	4426.62	3201.67	2947.42	4620.02	3218	1954.72	1840.67	3132.99	4196.3	4850.62	3791.86	3207.13	2458.8	1949.22	2641.31	1507.17	3121.06	1963.76	2407.13	3742.43	2881.92	1979.05	2598.73	1646.82	3151.05
