Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)
13.530	1253.58	984.24	1118.5	1065.45	1249.02	1461.6	1013.77	1173.99	1124.19	1068.94	1189.07	1000.22	1047.42	1128.64	1049.99	1097.62	999.48	1169.44	1331.08	1411.58	1247.76	1135.67	1183.32	1151.74	1195.28	1536.96	1026.76	1113.3	1526.19	1007.49	1126.7	1069.98	1444.46	1106.7	1587.2	1275.27	1179.27	1246.99
43.451	1386.96	1065.85	1240.1	1164.62	1429.32	1718.54	1036.75	1287.6	1256.87	1175.25	1310.76	1090.5	1131.95	1266.11	1161.28	1229.23	1072.65	1310.83	1466.57	1645.1	1450.54	1274.71	1330.19	1293.04	1319.11	1822.16	1151.03	1228.44	1793.1	1096.02	1184.44	1177.25	1534.36	1189.05	1711.42	1372.41	1256.9	1364.38
73.434	1524.4	1146.14	1371.46	1255.8	1623.22	1970.76	1067.66	1414.28	1401.22	1274.99	1429.6	1180.26	1231	1413.45	1274.17	1384.05	1145.46	1432.43	1622.55	1878.12	1661.9	1429.55	1482.69	1423.4	1476.94	2136.54	1289.56	1358.17	2081.23	1185.73	1259.51	1305.36	1635.34	1267.91	1831.3	1483.02	1329.25	1477.18
103.589	1688.17	1232.91	1541.37	1373.57	1856.53	2268.88	1123.1	1551.78	1568.3	1390.06	1582.24	1293.77	1337	1577.83	1421.64	1555.75	1218.64	1581.87	1786.24	2145.62	1895.39	1616.86	1656.95	1567.08	1644.71	2478.16	1451.28	1487.67	2375.81	1294.68	1330.41	1456.22	1745.17	1358.19	1955.95	1610.61	1408.27	1614.1
134.041	1878.52	1344.2	1738.35	1493.3	2140.66	2608.98	1186.67	1726.6	1764.72	1507.23	1764.67	1434.43	1477.56	1763.38	1586.67	1760.94	1313.69	1749.5	2004.58	2448.58	2193.22	1848.54	1849.53	1723.27	1850.51	2891.25	1668.9	1658.24	2755.97	1424.42	1433.23	1638.75	1865.57	1476.57	2099.6	1788.17	1516.22	1750.21
163.993	2075.41	1459.33	1970.63	1625.81	2463.04	2985.14	1266.44	1905.19	1984.44	1643.04	1978.61	1589.3	1635.99	1988.38	1753.19	1996.89	1407.69	1918.83	2243.16	2791.54	2499.63	2109.24	2073.95	1887.93	2084.81	3331.88	1921.69	1836.79	3144.58	1566.32	1532.86	1856.14	1982.1	1616.02	2243.84	1952.39	1622.25	1921.32
193.976	2219.25	1520.77	2143.09	1700.03	2722.76	3240.31	1315.44	2030.11	2134.12	1715.54	2111.03	1694.17	1738.26	2140.18	1875.33	2172.11	1463.09	2027.3	2408.32	3026.47	2740.02	2299.6	2225.68	1990.61	2254.55	3650.8	2113.72	1965.61	3416.47	1653.76	1579.67	2015.23	2051.46	1713.85	2334.21	2101.63	1719.96	2001.23
223.944	2420.4	1649.18	2391.93	1849.38	3076.49	3628.91	1407.96	2222.19	2364.46	1831.72	2330.29	1859.17	1911.79	2369.89	2060.23	2426.84	1549.92	2201.41	2668.94	3377.27	3092.12	2605.62	2461.88	2167.16	2507.38	4125.42	2395.22	2151.3	3832.52	1805.93	1685.09	2276.26	2173.75	1851.69	2461.07	2308.97	1836.88	2138.39
253.896	2604.5	1748.14	2620.61	1971.16	3419.17	3990.54	1500.12	2385.35	2582.31	1933.24	2553.21	2030.53	2072.82	2578.6	2240.01	2677.04	1612.27	2381.82	2909.9	3679.91	3410.74	2872.83	2671.67	2308.64	2753.63	4558.43	2672.07	2324.45	4217.76	1958.47	1772.21	2497.4	2261.89	1984.6	2592.1	2500.35	1944.58	2261.03
283.911	2795.14	1859.77	2888.91	2092.98	3792.99	4364.99	1593.91	2553.42	2800.01	2052.61	2759.55	2190.37	2255.06	2804.17	2421	2918.47	1706.38	2535.47	3151.96	4014.56	3743.78	3172.98	2888.17	2461.81	3018.57	5015.54	2965.45	2500.11	4602.84	2104.65	1875.61	2744.29	2349.94	2135.89	2692.38	2709.14	2065.78	2400.46
313.848	3086.9	2030.79	3237.78	2291.24	4301.26	4889.94	1733.5	2804.91	3127.61	2216.57	3073	2418.76	2510.87	3126.29	2678.98	3287.38	1838.57	2784.25	3507.04	4495.59	4219.11	3585.28	3202.14	2684.53	3360.24	5629.21	3371.19	2756.18	5169.64	2331.93	2013.67	3106.3	2498.7	2343.2	2860.76	3007.02	2246.04	2584.58
343.831	3319.12	2161.8	3552.72	2445.83	4750.47	5342.18	1882.06	3019.91	3414.75	2335.36	3330.11	2613.15	2731.78	3403.44	2906.82	3588.03	1938.8	2986.3	3828.9	4885.15	4629.02	3933.94	3472.1	2860.08	3670.03	6125.19	3735.07	2979.25	5630.36	2507.89	2142.07	3407.66	2609.82	2517.83	2987.73	3255.02	2385.39	2745.2
373.939	3621.97	2348.79	3967.61	2647.48	5311.4	5886.59	2052.52	3292.88	3769.1	2524.95	3667.58	2885.63	3023.45	3757.27	3181.06	4002.84	2076.67	3242.89	4222.69	5388.18	5142.19	4391.67	3816.3	3094.46	4072.51	6811.25	4192.57	3267.02	6240.59	2750.16	2299.97	3817.5	2765.21	2760.39	3179.84	3582.09	2566.64	2947.36
403.969	3473.19	2237.26	3865.54	2524.84	5182.83	5682.65	2010.05	3157.14	3644.85	2396.63	3548.38	2785.32	2933.32	3617.49	3080.3	3875.33	1975.2	3109.62	4079.8	5160.47	4983.72	4261.44	3665.08	2951.85	3957.42	6554.18	4105.67	3127.92	6002.05	2653.74	2220.07	3730.27	2624.71	2685.77	3008.58	3492.16	2479.49	2803.28
433.828	3763.93	2408.51	4268.14	2738.98	5751.63	6221.56	2176.77	3415.68	3996.32	2568.55	3902.79	3032.65	3239.8	3974.06	3372.85	4263.2	2108.08	3346.16	4456.23	5631.45	5489.23	4720.19	4014.05	3166.47	4361.83	7209.8	4559.2	3421.19	6578.87	2883.96	2371.65	4128.28	2782.97	2926.47	3165.2	3809.75	2661.33	3001.46
463.905	4026.31	2567.1	4631.7	2918.46	6258.54	6709.29	2358.15	3655.24	4334.04	2716.46	4197.32	3262.94	3513.03	4290.25	3627.7	4619.61	2250.89	3606.09	4780.36	6090.65	5971.43	5117.28	4315.47	3369.72	4699.35	7790.8	5000.78	3679.43	7089.12	3116.25	2511.34	4476.1	2915.67	3155.93	3324.64	4096.99	2810.19	3179.32
493.764	4219.29	2685.94	4958.33	3051.18	6658.73	7093.68	2489.84	3835.13	4604.48	2846.51	4426.33	3445.19	3726.39	4528.93	3840.71	4915.65	2333.57	3798.41	5053.4	6456.03	6314.57	5438.68	4553.11	3513.81	4972.07	8247.5	5343.68	3865.86	7527.09	3291.77	2616.65	4770.76	3016.58	3326.81	3400.91	4335.81	2926.35	3312.33
