Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)
16.837	1220.81	1299.18	1304.6	1318.66	1408.35	1208.11	1332.56	1146.71	1224.84	1157.39	1417.72	1389.63	1074.21	1021.47	1178.61	1083.07	1124.62	1109.6	1300.23	1016.7	1266.92	997.41	1293.75	1182.6	1347.09	1192.44	1324.64	1326.54	1284.6	1010.48	1040.35	1194.38	1051.61	1095.15	1073.05	1147.96	1199.05	1056.57	1008.86	1167.65	1036.15	1106.65	1145.42	1202.08	1066.65	1134.83	1098.96	1249.66	1773.57	1231.97	1119.5	1063.18	1531.72	1261.1	1249.23	1056.52	1373.66
46.758	1326.81	1463.48	1465.46	1412.31	1544.39	1345.36	1505.33	1234.47	1369.29	1275.79	1551.37	1549.57	1151.22	1081.46	1268.2	1165.82	1204.59	1218.97	1461.53	1089.8	1430.42	1087.25	1430.56	1290.54	1481.58	1279.42	1435.27	1453.18	1415.34	1106.51	1136.38	1336.91	1125.85	1207.03	1191.98	1304.65	1323.2	1139.65	1079.52	1282.73	1136.87	1187.03	1264.71	1358.24	1184.35	1255.35	1213.43	1338.42	2008.99	1360.82	1224.24	1125.4	1677.87	1310.73	1382.6	1154.04	1486.75
76.773	1473.38	1677.62	1652.78	1533.45	1709.95	1531.39	1728.12	1354.19	1567.34	1429.02	1728.89	1756.01	1273.58	1159.53	1396.42	1286.13	1328.69	1380.67	1676.24	1198.19	1624.36	1217.37	1625.15	1443.02	1661.07	1413.71	1588.27	1638.57	1587.94	1245.97	1271.71	1528.78	1224.9	1358.78	1355.27	1515.55	1497	1248.78	1173.94	1432.78	1286.32	1287.86	1430.29	1585.11	1363.1	1410.92	1355.52	1459.26	2307.83	1539.43	1368.69	1208.45	1875.36	1400.99	1567.72	1291.7	1639.62
106.912	1590.87	1883.06	1823.5	1620.55	1860.91	1700.41	1952.36	1458.91	1744.44	1563.65	1879.13	1929.31	1376.27	1225.42	1502.24	1385.45	1438.43	1519.57	1859.57	1289.9	1792.7	1347.54	1803.38	1574.14	1820.35	1536.61	1738.57	1796.57	1745.08	1400.52	1400.49	1718.84	1299.97	1495.32	1512.27	1717.99	1637.54	1351.79	1254.25	1557.83	1426.57	1387.76	1573.87	1790.52	1539.02	1564.71	1495.8	1550.31	2557.05	1694.46	1497.58	1285.18	2048.6	1455.47	1741.84	1442.03	1756.92
137.317	1753.27	2165.79	2083.57	1769.87	2092.97	1947.07	2257.9	1596.3	2014.01	1749.86	2110.04	2175.26	1545.53	1333.96	1672.85	1540.07	1602.72	1736.4	2131.42	1429.62	2036.56	1525.51	2046.33	1781.11	2043.66	1711.6	1945.87	2031.65	1974.93	1631.93	1592.4	1972.41	1436.34	1709.26	1731.27	2000.03	1846.47	1506.45	1386.8	1733.93	1631.71	1526.65	1779.15	2098.29	1794.62	1786.41	1693.69	1685.61	2896.37	1912.48	1682.63	1402.83	2265.57	1536.41	1994.99	1655.88	1966.71
167.300	1888.19	2427.45	2285.07	1881.46	2299.23	2164.82	2548.08	1725.6	2255.17	1932.2	2295.36	2380.23	1678.91	1407.85	1819.54	1678.28	1757.83	1906.61	2365.52	1541.6	2233.01	1705.04	2284.71	1960.09	2242.06	1863.72	2129.86	2238.44	2193.03	1862.87	1769.73	2211.75	1530.49	1907.46	1944.45	2278.15	2025.86	1637.11	1500.41	1891.06	1824.97	1649.01	1960.8	2387.53	2042.61	1972.62	1870.47	1800.92	3181.59	2108.15	1850.44	1491.42	2456.27	1595.91	2236.91	1869.16	2133.21
197.237	2011.28	2671.16	2461.8	1991.96	2512.76	2374.4	2830.53	1819.31	2491.75	2069.05	2472.22	2571.85	1813.53	1483.73	1962.29	1791.43	1899.62	2093.35	2587.75	1644.99	2415.07	1881.81	2498.1	2123.07	2428.6	1997.87	2302.46	2436.18	2375.56	2110.53	1931.49	2438.37	1629.57	2087.11	2150.88	2551.24	2183.22	1764.6	1598.26	2028.26	2015.15	1762.2	2140.47	2674.92	2283.89	2168.96	2039.46	1905.34	3430.2	2293.86	2006.21	1566.1	2609.6	1648.76	2466.25	2063.79	2278.07
227.267	2136.77	2974.58	2710.51	2123.19	2743.91	2626.34	3161.9	1945.19	2779.29	2263.58	2684.01	2785.09	1977.98	1571.46	2134.42	1942.05	2071.89	2305.56	2847.18	1780	2631.29	2102.94	2762.7	2332.17	2646.37	2164.1	2515.72	2685.38	2609.13	2398.4	2140.81	2714.42	1745.56	2320.48	2405.44	2895.42	2379.45	1918.99	1734.24	2194.37	2252.54	1915.62	2348.69	3006.55	2581.29	2388.07	2240.38	2010.9	3726.24	2510.76	2210.89	1673.64	2799.37	1724.45	2767.34	2321.32	2482.87
257.219	2275.72	3287.34	2947.98	2268.55	3010.5	2907.92	3548.7	2084.13	3086.08	2461.3	2917.99	3022.95	2173.75	1668.69	2318.75	2108.32	2263.17	2545.47	3126.37	1929.19	2863.95	2344.76	3041.87	2566.7	2885.21	2370.29	2751.72	2928.31	2860.98	2724.59	2365.26	3016.93	1872.72	2563.98	2681.89	3245.53	2579.53	2087.3	1879.42	2383.09	2500.53	2058.46	2579.45	3374.74	2920.26	2624.96	2457.55	2139.47	4028.75	2751.46	2419.27	1783.92	3040.91	1803.35	3077.95	2605.54	2702.08
287.171	2419.41	3594.83	3183.89	2408.82	3276.93	3181.36	3908.58	2195.05	3406.75	2663.88	3146.8	3234.54	2356.64	1763.43	2492.09	2260.22	2456.74	2784.1	3384.24	2064.7	3081.45	2587.65	3327.89	2794.74	3112.8	2539.64	2974.89	3173.88	3111.39	3037.73	2593.39	3319.24	2009.61	2815.56	2955.85	3598.66	2772.08	2249.72	2016.61	2556.15	2754.66	2211.21	2793.69	3743.07	3250.13	2871.52	2683.27	2259.87	4312.75	2974.45	2629.29	1882.07	3220.75	1877.38	3397.65	2886.19	2917.42
