Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)
20.160	1174.6	1319.3	1358.21	1336.09	1479.14	963.76	1233.65	1367.48	1207.24	1379.18	1044.17	1204.67	1208.81	1384.18	1187.42	1169.01	1444.49	1101.91	1286.13	1267.41	1250.05	1174.72	1521.51	1256.53	1067.83	1194.06	1138.39	1084.84	1409.64	1243.6	1253.88	1253.41	1157.92	1133.01	1359.74	1247.26	1169.71	1351.76	2051.24	1173.79	1279.79	1262.61	1385.24	1324.64	1366.77	1154.72	1055.01	1282.13	977.23	1268.47	1608.24	1502.17	1112.25	1272.58	1837.86
50.081	1251.64	1482.04	1434.9	1474.19	1701.46	1015.03	1298.52	1513.31	1347.44	1524.13	1108.61	1322.6	1353.49	1532.26	1284.15	1288.75	1616.18	1167.27	1477.07	1394.36	1380.17	1272.7	1712.09	1404.63	1145.55	1288.84	1244.98	1181.85	1601.2	1387.03	1343.72	1411.03	1276.97	1230.4	1465.36	1342.75	1274	1537.84	2449.34	1295.7	1426.85	1428.85	1532.79	1465.19	1514.75	1256.97	1131.44	1438.31	1037.75	1346.24	1714.01	1631.2	1183.35	1389.68	2049.58
80.080	1361.71	1702.74	1541.25	1646.86	1973.96	1088.04	1387.3	1723.26	1519.67	1723.25	1199.68	1485.28	1543.26	1716.51	1420.75	1444.8	1841.98	1264.82	1750.76	1571.28	1571.76	1426.85	1948.66	1592.56	1257.5	1411.41	1394.31	1316.02	1889.47	1580.94	1472.57	1622.01	1426.06	1374.98	1587.62	1487.58	1423.84	1792.27	2936.67	1454.13	1632.89	1643.11	1746.74	1624.78	1718.7	1380	1239.31	1654.38	1140.19	1458.35	1892.67	1815.6	1280.53	1531.8	2322.19
110.235	1479.45	1921.62	1642.11	1810.33	2241.94	1130.94	1483.3	1904.66	1688	1898.61	1288.69	1632.63	1734.36	1896.17	1554.54	1590.32	2034.71	1354.16	2019.26	1747.63	1739.31	1563.13	2185.71	1777.62	1380.94	1521.85	1543.02	1428.04	2131.83	1752.13	1573.24	1806.45	1572.89	1512.84	1684.57	1600.21	1555.52	2043.34	3392.4	1623.09	1826.28	1840.01	1931.11	1801.21	1896.86	1485.62	1332.63	1853.67	1246.1	1552.75	2043.6	2001.46	1355.39	1662.86	2548.42
140.608	1627.29	2226.52	1747.81	2036.26	2602.14	1205.48	1604.98	2157.05	1898.7	2156.33	1414.67	1815.43	1990.79	2129.32	1717.36	1797.13	2300.43	1472.18	2410.21	1974.87	1977.8	1758.67	2462.29	2020.9	1545.61	1670.35	1753.1	1594.88	2480.4	2011.52	1719.67	2072.91	1774.92	1702.21	1827.44	1766.96	1733.3	2391.15	4003.72	1866.51	2103.43	2120.75	2203.85	2027.53	2120.23	1652.32	1473.99	2144.9	1406.09	1694.55	2275.01	2236.48	1480.09	1827.03	2864.88
170.561	1754.18	2507.18	1858.61	2235.41	2945.82	1272.1	1716	2388.31	2108.04	2401.3	1532.86	1998.19	2237.28	2347.08	1885.87	1984.93	2535.53	1566.51	2804.79	2213.69	2194.62	1956.42	2714.76	2276.45	1716.85	1812.98	1949.41	1743.93	2815.76	2225.39	1830.39	2326.98	1962.61	1878.37	1956.96	1903.06	1904.04	2723.82	4566.66	2082.92	2348.93	2384.42	2468.26	2243.87	2320.95	1790.96	1602.1	2409.89	1558.74	1832.81	2497.3	2476	1586.87	1990.2	3130.24
200.544	1887.29	2802.28	1953.31	2437.34	3284.05	1329.12	1829.67	2613.83	2294.16	2619.68	1652.61	2163.12	2495.35	2563.07	2052.35	2175.57	2733.81	1658.92	3196.4	2450.4	2433.03	2147.61	2951.75	2514.69	1907.83	1947.24	2160.45	1896.94	3157.21	2439.53	1929.63	2581.46	2152.3	2051.87	2059.2	2035.08	2061.07	3066.82	5120.62	2322.46	2636.93	2650.52	2707.96	2446.59	2510.64	1928.48	1738.58	2668.09	1733.23	1961.55	2707.14	2700.51	1684.44	2131.43	3370.58
230.543	2036.99	3107.9	2074.12	2687.81	3669.66	1382.22	1956.17	2892.74	2507.09	2877.09	1791.49	2358.55	2774.93	2810.17	2234.16	2387.26	2960.06	1780.39	3650.66	2704.87	2685.7	2370.31	3208.29	2794.06	2119.81	2102.32	2397.2	2059.98	3505.15	2698.88	2055.76	2875.88	2345.29	2268.88	2195.55	2173.4	2243.66	3437.2	5741.81	2590.94	2924.67	2949.25	2986.9	2681.97	2720.53	2077.1	1882.96	2967.53	1938.22	2111.68	2956.53	2977.99	1794.16	2295.71	3654.91
260.480	2199.22	3458.04	2201.07	2910.84	4049.82	1447.49	2100.1	3156.75	2738.51	3144.33	1949.45	2544.33	3070.33	3062.87	2425.12	2610.53	3195.45	1906.28	4142.57	2994.68	2963.35	2602.18	3484.18	3095.89	2351.44	2248.74	2639.38	2235.51	3909.21	2969.72	2158.27	3176.55	2565.84	2504.31	2309.4	2312.69	2425.9	3835.75	6363.62	2885.52	3241.07	3271.54	3278.85	2942.03	2932.8	2242.64	2024.66	3276.75	2149.15	2266.14	3232.93	3244.72	1912.08	2462.88	3941.78
290.479	2387.57	3853.12	2336.47	3198.41	4503.07	1518.2	2274.86	3466.59	3010.71	3455.83	2121.37	2762.81	3422.35	3348.8	2650.58	2871.69	3473.04	2051.61	4695.72	3307.32	3278.17	2894.12	3791.61	3427.57	2619.21	2439.96	2945.88	2456.97	4339.22	3270.92	2289.4	3530.38	2828.92	2747.61	2435.31	2494.33	2653.14	4273.98	7077	3226.85	3592	3630.45	3631.16	3234.25	3178.67	2434.46	2200.04	3639.7	2404.21	2460.61	3546.32	3581.33	2050.02	2659.56	4237.62
