Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)
23.421	1214.1	1065.03	1266.2	1363.07	977.41	1377.27	1421.92	1301.24	1517.64	1255.36	1377.46	1446.9	1061.16	1401.3	1346.09	1331.02	1537.72	1158.38	1371.31	1124.22	1269.75	1217.61	1222.07	1291.15	1131.27	1650.49	1146.96	1251.54	1580.03	1505.65	1265.67	1446.99	1278.3	1376.77	1182.51	1017.08	1451.42	1329.48	1743.05	1178.12	1425.54	1186.93	1381.68	1148.77	1129.75	1148.02	2007.42	1164.22	1172.72	1041.85	1172.24	1666.22
53.404	1364.13	1145.94	1402.82	1491.61	1020.34	1540.48	1645.83	1449.82	1669.87	1411.18	1560.63	1616.62	1140	1536.1	1490.07	1482.5	1747.38	1273.55	1579.54	1214.24	1409.69	1367.98	1360.27	1428.54	1265.99	1860.46	1248.45	1408.44	1835.63	1668.28	1351.66	1670.87	1406.16	1497.54	1312.03	1092.78	1642.54	1515.62	1972.96	1296	1560.73	1296.7	1543.04	1256.11	1230.54	1246.9	2340.71	1266.27	1274.89	1108.74	1241.44	1866.58
83.419	1542.25	1245.56	1597.32	1656.48	1090.15	1739.47	1906.24	1645.05	1853.38	1601.85	1782.6	1836.37	1239.93	1729	1698.55	1676.38	2037.33	1427.76	1838.02	1339.89	1609.78	1548.39	1535.34	1613.32	1435.09	2100.34	1374.43	1602.93	2153.27	1877.7	1480.86	1942.13	1580.49	1668.51	1495.96	1207.8	1878.12	1754.46	2273.65	1459.45	1735.54	1447.61	1767.32	1409.12	1356.7	1375.43	2729.74	1417.34	1399.12	1218.76	1339.01	2123.92
113.527	1722.09	1344.86	1769.34	1785.02	1144.31	1904.91	2173.07	1819.24	2020.56	1790.38	1986.6	2052.42	1332.04	1914.41	1881.8	1858.85	2304.1	1568.42	2105.31	1461.61	1772.92	1722.74	1693.29	1792.57	1615.04	2316.14	1500.15	1779.95	2447.53	2071.22	1598.43	2217.47	1731.66	1792.26	1662.05	1319.62	2091.18	1965.82	2552.75	1612.57	1880.5	1587.1	1990.49	1549.83	1480.71	1493.35	3075.86	1546.79	1548.79	1332.96	1433.16	2327.77
143.885	1980.33	1486.56	2012.14	1979	1235.32	2138.89	2500.07	2065.34	2276.89	2035.65	2262.32	2338.63	1458.27	2158.72	2138.09	2113.02	2672.43	1760.1	2446.47	1633.11	2028.45	1958.28	1921.1	2025.13	1859.31	2600.62	1673.34	2040.16	2883.67	2350.19	1762.38	2584.92	1942.27	1998.36	1907.51	1499.35	2390.99	2294.57	2944.17	1841.22	2109.83	1795.37	2321.77	1778.57	1657.73	1682.74	3552.31	1755.29	1747.88	1508.74	1579.74	2603
173.868	2164.28	1580.04	2186.32	2098.78	1277.41	2283.75	2757.83	2236.06	2465.95	2210.6	2462.68	2572.66	1538.53	2345.82	2324.76	2299.15	2947.52	1910.54	2736.46	1748.13	2196.48	2135.03	2080.77	2200.26	2046.64	2790.32	1790.98	2209.73	3193.46	2564.14	1875.73	2875.04	2107.26	2122.73	2091.08	1640.14	2596.91	2534.86	3238.63	2026.47	2258.94	1949.35	2599.76	1948.35	1805.97	1805.5	3875.79	1918.47	1904.23	1652.8	1686.75	2803.12
203.836	2401.3	1710.02	2396.73	2256.76	1348.47	2458.56	3044.09	2449.47	2656.61	2413.61	2692.98	2845.56	1623.11	2583.31	2542.75	2522.41	3278.04	2083.57	3055.09	1898.99	2403.04	2336.06	2271.31	2421.38	2259.8	3016.59	1953.99	2408.17	3581.03	2825.78	2039.61	3215.74	2279.68	2299.8	2296.19	1809.63	2827.74	2823.94	3589.43	2235.36	2452.17	2152.8	2906.21	2170.51	1972.18	1968.3	4222.71	2101.55	2102.93	1830.88	1827.91	3020.49
233.803	2657.54	1848.28	2621.61	2422.41	1426.92	2657.37	3356.34	2664.66	2900.26	2649.82	2952.17	3135.61	1738.28	2834.88	2782.31	2777.51	3635.21	2269.22	3417.98	2065.72	2637.53	2569.38	2485.51	2661.97	2522.35	3257.27	2123.35	2649.67	4013.97	3122.11	2202.97	3600.97	2496.14	2466.79	2548.03	2024.77	3124.45	3148.15	3988.98	2495.07	2669.62	2372.78	3277.16	2406	2169.85	2162.29	4629.66	2346.73	2329.75	2049.83	1974.02	3270.53
263.787	2868.57	1973.7	2825.76	2551.71	1480.53	2804.53	3627.54	2864	3106.63	2844.46	3172.21	3404.83	1829.66	3076.19	3011.5	2992.65	3953.58	2434.36	3751.7	2209.08	2852.7	2767.13	2678.88	2855.82	2729.79	3453.13	2270.07	2859.57	4380.02	3370.35	2341.85	3943.45	2678.48	2625.68	2780.93	2215.62	3352.6	3433.82	4334.93	2713.76	2857.61	2577.56	3625.56	2635.33	2353.65	2328.96	4967.32	2534.14	2532.69	2244.66	2119.39	3461.41
293.786	3121.78	2115.49	3054.26	2692.71	1548.48	2967.62	3919.09	3068.51	3360.26	3060.12	3399.6	3696.81	1933.04	3312.05	3232.11	3226.57	4301.41	2628.79	4099.37	2376.25	3080.58	2983.45	2887.05	3092.83	2981.34	3676.7	2449.4	3074.58	4786.63	3658.16	2517.3	4322.99	2874.96	2790.74	3013.27	2445.73	3624.22	3757.87	4720.91	2984.42	3057.59	2811.13	3983.53	2900.09	2552.46	2522.58	5311.77	2784.54	2762.08	2472.28	2275.39	3691.46
