?Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)
26.728	1237.97	1388.11	1222.1	1138.1	1311.17	1196.31	1223.54	1060.79	1704.15	1878.62	1170.73	1358.45	1419.08	1646.24	1345.86	1324.16	906.87	1062.86	1524.71	1293.92	1130.48	852	1012.86	1094.48	1078.35	1193.84	1354.33	1178.8	1050.46	1688.1	1250.48	1367.53	1234.66	1287.02	1272.12	1269.37	1161.19	1794.75	1159.7	1180.16	1211.03	1190.22	1176.25	1221.69	1410.4	1248.48	1625.58	1355.06	1322.09	1225.44	1353.67
56.664	1367.91	1545.25	1333.03	1229.31	1420.01	1272.23	1353.03	1113.79	1936.14	2132.93	1253.46	1521.45	1585.11	1869.93	1504.93	1447.51	944.7	1130.91	1664	1405.15	1205.73	880.43	1035.55	1156.06	1168.35	1334.29	1517.78	1287.91	1123.51	1891.85	1390.3	1480.5	1343.17	1429.7	1346.34	1389.74	1263.98	2035.52	1259.71	1256.18	1259.73	1277.8	1301.24	1321.79	1564.96	1362.31	1815.45	1471.28	1441.09	1323.75	1436.8
86.741	1549.63	1748.7	1494.41	1372.17	1613.22	1390.18	1549.41	1204.19	2242.11	2453.68	1372.3	1749.39	1827.6	2181.16	1753.94	1625.25	1020.7	1238.67	1848.64	1577.53	1318.95	937.93	1104.36	1253.71	1298.73	1551.25	1764.48	1464.88	1232.74	2188.08	1609.54	1639.36	1498.37	1628.99	1472.2	1570.48	1416.19	2356.34	1403.55	1373.87	1346.24	1425.74	1473.82	1485.6	1777.55	1532.37	2080.8	1653.95	1627.94	1497.11	1567.31
117.208	1696.58	1939.88	1635.8	1484.51	1789.55	1486.96	1737.83	1295.72	2498.9	2721.76	1469.59	1959.3	2053.58	2451.43	1996.1	1783.08	1091.13	1323.13	2006.3	1698.72	1409.86	975.98	1154.19	1318.28	1434.7	1760.96	1994.08	1613.41	1337.16	2453.6	1822.94	1760.22	1654.54	1805.53	1559.98	1714.24	1545.29	2631.16	1533.72	1470.35	1407.08	1549.37	1639.87	1637.66	1963.14	1679.05	2328.96	1828.56	1808.89	1656.79	1677.26
147.176	1924.18	2197.93	1827.66	1658.54	2052.39	1637.18	1998.04	1433.91	2872.58	3104.56	1613.69	2250.61	2388.79	2841.74	2338.05	1986.06	1206.15	1460.74	2223.61	1879.76	1535.71	1057.62	1251.38	1430.65	1625.4	2067.01	2312.34	1845.15	1489.73	2824.01	2122.97	1937.41	1868.51	2075.95	1718.08	1928.26	1736.6	3016.45	1725.06	1613.79	1514.98	1758.96	1900.42	1857.18	2238.89	1895.58	2693.29	2064.27	2074.9	1897.14	1865.63
177.128	2055.01	2363.4	1954.48	1757.33	2246.97	1709.94	2185.63	1512.2	3083.33	3345.07	1688.43	2460.8	2633.67	3089.46	2603.17	2117.36	1281.36	1542.01	2350.51	1969.57	1604.48	1099.32	1316.07	1484.95	1764.55	2306.53	2548.32	2001.11	1584.17	3114.92	2339.37	2036.47	2024.96	2247.47	1796.71	2061.89	1877.34	3266.2	1864.23	1710.07	1551.39	1895.13	2065.72	2012.19	2400.13	2058.73	2943.41	2231.86	2245.37	2072.86	1963.73
207.159	2245.49	2570.41	2109.99	1905.05	2507.32	1830.9	2437.39	1644.96	3388.69	3619.98	1798.54	2740.18	2949.45	3426.31	2964.02	2295.47	1394.77	1657.96	2523.37	2122.35	1701.68	1184.86	1414.45	1564.78	1953.41	2621.26	2870.6	2213.13	1727.67	3481.55	2634.55	2165.42	2222.79	2484.44	1927.38	2258.47	2047.4	3582.41	2036.32	1828.93	1646.65	2094.57	2315.76	2221.75	2618.66	2248.88	3267.2	2464.9	2517.35	2306.56	2131.21
237.111	2402.52	2783.78	2259.6	2049.31	2768.32	1940.26	2689.37	1773.87	3670.33	3887.9	1892.38	3001.32	3268.53	3716	3312.44	2441.05	1503.1	1772.64	2693.85	2216.37	1797.65	1262.95	1523.84	1633.52	2139.12	2937.76	3170.83	2399.42	1863.43	3826.42	2922.49	2288.37	2431.79	2708.34	2037.19	2425.99	2223.23	3888.47	2209.56	1942.98	1702.99	2284.66	2547.61	2428.02	2842.48	2441.92	3577.65	2683.34	2751.52	2539.62	2295.83
267.047	2578.74	2977.35	2398.86	2168.82	3018.99	2039.97	2929.86	1912.96	3929.93	4142.06	1986.69	3263.35	3583.75	4014.36	3643.3	2601.15	1622.29	1887.88	2836.61	2327.18	1879.57	1342.68	1621.87	1702.26	2336.08	3257.17	3494.5	2617.14	1992	4175.52	3207.49	2403.92	2634.94	2924.47	2135.22	2587.22	2395.05	4172.3	2383.42	2066.5	1776.62	2492.45	2780.03	2642.37	3059.74	2629.36	3899.1	2905.03	2987.78	2795.76	2436.85
297.046	2801.13	3232.73	2600.56	2356.66	3346.25	2180.18	3257.47	2091.89	4304.91	4470.87	2105.53	3593.93	3996.33	4393.46	4088	2791.09	1772.83	2034.21	3022.36	2472.88	2005.68	1448.66	1756.34	1808.65	2601.18	3676.56	3899.03	2894.19	2154.88	4643.78	3587.51	2555.31	2906.98	3216.76	2293.14	2821.1	2617.16	4571.72	2607.78	2238.17	1862.5	2742.14	3094.66	2903.99	3339.71	2896.39	4298.91	3195.79	3301.17	3104.49	2638.06
327.030	3066.74	3548.75	2848.53	2576.98	3742.93	2366.58	3640.49	2312.29	4730.15	4885.28	2262.43	4004.92	4492.29	4862.67	4637.21	3049.85	1962.93	2224.63	3284.89	2657.89	2173.79	1600.06	1937.54	1937.56	2901.89	4201.65	4379.33	3221.52	2374.69	5169.78	4022.28	2754.59	3227.32	3577.97	2476.78	3085.49	2888.94	5032.9	2903.28	2426.41	1991.23	3071.62	3461.64	3253.65	3671.71	3207.51	4788.41	3540.19	3680.35	3471.17	2901.64
357.060	3238.27	3761.24	3002.88	2709.75	4017.46	2480.89	3923.27	2477.41	5008.8	5138.7	2353.79	4297.37	4859.91	5191.12	4996.84	3201.85	2107.46	2354.66	3447.52	2762.48	2263.68	1693.7	2085.4	2014.32	3146.62	4574.96	4748.26	3463.61	2540.92	5590.55	4374.96	2857.22	3461.43	3845.77	2603.4	3267.44	3093.84	5360.27	3110.08	2567.53	2069.22	3302.81	3717.91	3496.98	3902.7	3420.18	5115.13	3781.14	3959.86	3755.36	3069.41
387.215	3399.89	3961.76	3158.17	2866.09	4293.92	2591.9	4189.09	2645.09	5271.94	5354.2	2441.07	4589.47	5209.26	5478.43	5397.06	3357.88	2245.29	2479.68	3589.02	2849.21	2343.75	1797.5	2200.8	2085.08	3381.48	4952.84	5098.23	3685.97	2690.27	5989.11	4694.5	2972.69	3686.33	4086.17	2738.76	3454.14	3282.87	5652.94	3294.87	2706.62	2129.78	3527.08	3999.44	3721.14	4125.08	3627.93	5452.74	4040.5	4230.53	4045.93	3255.36
417.073	3524.24	4093.9	3269.92	2979.02	4519.83	2677.86	4411.57	2797.28	5465.83	5510.9	2504.37	4812.88	5518.72	5690.67	5703.71	3458.26	2370.78	2567.1	3703.59	2907.58	2411.27	1879.2	2318.41	2146.85	3570.94	5284.13	5417.44	3884.25	2821.05	6323.73	4965.63	3030.54	3889.67	4297.04	2823.29	3595.35	3434	5891.28	3468.9	2798.99	2182.89	3721.8	4222.4	3925.75	4289.48	3820.9	5720.6	4247.93	4486.18	4262.56	3401.9
447.057	3640.6	4251.64	3384.35	3107.74	4738.65	2764.03	4629.03	2949.01	5653.37	5676.53	2559.12	5026.66	5799.06	5909.84	5992.34	3567.65	2493.06	2679.18	3830.97	2954.59	2479.9	1956.33	2435.38	2193.72	3776.51	5645.19	5700.51	4080.82	2953.74	6622.78	5237.04	3096.56	4071.11	4488.06	2922.25	3739.91	3604.57	6116	3625.95	2923.43	2232.67	3914.15	4436.84	4122.88	4473.02	3998.99	6008.13	4457.21	4713.08	4492.22	3560.81
477.040	3888.11	4545.81	3602.11	3314.94	5120.2	2934.91	5003.76	3195.78	6040.61	6044.24	2694.78	5427.91	6309.08	6330.46	6509.02	3783.5	2687	2872.49	4065.32	3125.52	2636.59	2108.4	2612.82	2315.05	4117.42	6150.82	6202.54	4433.62	3188.04	7161.73	5684.05	3272	4386.43	4846.46	3117.49	4012.56	3887.86	6562.09	3931.3	3135.7	2356.04	4246	4806.7	4453.29	4794.25	4316.69	6471.11	4812.49	5119.92	4886.9	3822
507.008	3930.15	4585.15	3644	3368.03	5226	2962.14	5111.03	3291.98	6109.35	6053.06	2703.18	5532.66	6436.59	6375.92	6644.06	3812.3	2762.59	2904.37	4064.29	3100.66	2646.33	2160.08	2685.73	2328.42	4228.84	6316.45	6366.62	4546.85	3239.94	7313.33	5817.48	3277.13	4487.25	4939.11	3165.84	4069.86	3972.4	6631.09	4003.35	3175.66	2369.99	4360.96	4926.92	4569.63	4873.81	4396.75	6594.98	4894	5213.65	5015.23	3903.04
537.350	4074.99	4773.37	3795.43	3514.34	5472.35	3076.44	5389.23	3497.85	6362.17	6291.62	2788.09	5783.94	6802.08	6669.05	6999.18	3948.19	2901.09	3039.24	4225.02	3191.77	2749.53	2284.23	2813.49	2418.19	4479.47	6711.48	6744.84	4795.2	3413.6	7736.39	6137.78	3392.07	4705.81	5190.22	3291.02	4248.21	4178.24	6939.04	4211.68	3320.81	2448.64	4583.24	5197.99	4794.2	5095.47	4617.83	6900.19	5148.39	5474.5	5290.73	4066.89
567.412	4192.65	4943.28	3931.51	3646.28	5673.56	3182.46	5614.11	3661.89	6578.13	6488.19	2866.12	6036.12	7130.15	6893.83	7278.79	4071.37	3055.55	3159.09	4345.88	3252.19	2834.22	2368.15	2940.66	2493.27	4714.56	7049.81	7055.3	5023.98	3566.8	8063.13	6413.44	3467.95	4911.91	5407	3416.84	4417.87	4364.97	7223.71	4412.21	3457.89	2518.04	4822.81	5469.36	5024.96	5281.43	4808.21	7221.14	5353.16	5740.65	5541.38	4254.73
597.598	4580.24	5410.2	4291.88	4011.27	6237.58	3467.49	6220.12	4072.73	7231.76	7081.44	3115.85	6646.97	7893.44	7549.18	8038.71	4443.68	3374.36	3464.2	4745.37	3512.66	3095.49	2617.28	3237.55	2707.48	5249.77	7867.71	7855.23	5575.62	3948.32	8907.11	7115.58	3769.52	5411.34	5983.66	3728.27	4846.83	4813.06	7943.43	4891.58	3792.69	2733.78	5330.42	6021.87	5526.1	5819.13	5321.94	7930.46	5936.4	6361.56	6105.13	4675.39
627.612	4809.38	5711.19	4528.78	4233.25	6603.51	3657.67	6597.54	4361.36	7613.69	7411.51	3253.7	7036.91	8392.89	7945.97	8498.7	4675.27	3588.2	3669.28	4987.23	3658.58	3251.36	2782.48	3421.67	2843.92	5604.14	8391.94	8351.4	5922.29	4197.37	9465.33	7559.21	3930.31	5737.54	6336.59	3909.25	5133.38	5097.28	8370.93	5141.73	4005.16	2860.88	5673.58	6413.35	5856.74	6139.67	5650.35	8412.73	6246.8	6746.76	6496.13	4936.49
657.596	4879.34	5812.6	4625.72	4327.12	6782.66	3722.58	6767.14	4522.02	7771.89	7536.82	3313.03	7199.06	8601.22	8097.94	8695.94	4760.75	3712	3774.22	5087.76	3717.43	3309.44	2857.11	3534.08	2896.2	5792.39	8690.02	8631.33	6131.73	4330.55	9726.82	7759.39	3994.11	5889.52	6513.91	4016.12	5273.63	5255.81	8577.57	5329.2	4134.98	2922.55	5838.21	6598.07	6048.78	6277.46	5783.61	8657.64	6432.91	6919.32	6673.44	5075.43
687.720	5054.26	6010.2	4797.79	4506.88	7026.41	3864.48	7041.67	4742.26	8021.77	7773.05	3418.23	7481.32	8992.34	8361.34	9037.19	4911.42	3868.12	3922.19	5252.63	3810.21	3436.95	2972.24	3677.54	3016.35	6096.82	9077.82	9025.22	6413.27	4525.54	10105.74	8088	4101.19	6137.74	6761.51	4174.4	5478.5	5472.79	8902.3	5568.61	4293.16	3040.24	6083.2	6857.47	6271.16	6534.27	6048.44	8983.05	6696.34	7208.64	6966.98	5293.96
717.687	5203.37	6203.71	4968.02	4691.89	7257.28	3991.66	7327.51	4973.12	8309.27	8027.14	3523.24	7731.51	9368.42	8637.8	9362.63	5074.24	4032	4061.68	5420.85	3899.89	3549.66	3088.17	3808.05	3116.16	6400.52	9471.08	9404.54	6696.93	4744.35	10499.88	8408.59	4213.2	6371.8	7049.28	4301.9	5685.72	5712.13	9222.46	5784.21	4452.76	3113.51	6333.26	7165.25	6516.71	6767.23	6302.01	9307.54	6909.66	7492.2	7243.56	5516.19
747.608	5079.53	6058.56	4856.07	4612.6	7068.95	3928.89	7185.46	4939.5	8112.76	7827.32	3442.05	7559.99	9218.21	8428.43	9149.3	4982.45	3982.88	4012.88	5296.98	3794.31	3496.24	3043.04	3768.9	3068.49	6318.91	9313.44	9262.8	6602.04	4678.37	10318.63	8279.49	4128.13	6282.15	6921.03	4260.07	5609.61	5645.15	9010.19	5732.64	4407.41	3085.18	6235.48	7036.79	6403.43	6637.48	6189.39	9100.62	6824.16	7384.82	7118.47	5455.16
777.623	5404.32	6489.6	5194.82	4942.16	7597.87	4192.67	7689.84	5335.9	8672.96	8351.55	3668.97	8070.94	9863.63	8971.89	9775.66	5276.97	4301.02	4316.56	5652.4	4019.85	3738.23	3268.55	4023.55	3279.92	6841.07	10047.43	9953.39	7100.91	5052.25	11028.06	8873.6	4400.17	6703.8	7408.52	4540.99	5988.62	6045.73	9610.99	6142.78	4707.07	3268.94	6696.08	7541.81	6865.54	7103.13	6600.14	9738.7	7288.66	7889.96	7607.93	5852.98
807.950	5429.9	6540.62	5272.9	5011.04	7636.53	4239.37	7795.91	5444.66	8717.13	8403.91	3705.04	8129.96	9999.38	9001.08	9846.37	5298.37	4364.13	4368.78	5723.78	4027.71	3799.44	3307.84	4064.7	3332.27	6940.05	10178.58	10093.53	7216.33	5132.79	11148.41	8964.95	4426.97	6774.94	7492.56	4594.15	6059.55	6145.18	9730.88	6243.04	4747.65	3324.06	6804.38	7591.47	6922.72	7169.98	6694.83	9797.53	7328.95	8007.7	7708.25	5966.12
838.526	5580.12	6739.99	5435.57	5188.41	7862.87	4389.63	8066.38	5676.48	8988.89	8640.69	3807.31	8352.8	10350.99	9259.74	10102.23	5450.2	4522.47	4527.25	5904.68	4132.78	3926.52	3422.72	4216.1	3448.24	7220.62	10561.33	10479.04	7502.61	5334.39	11530.35	9273.56	4540.15	7016.87	7755.8	4717.63	6261.87	6392.08	10010.79	6480.41	4938.16	3426.83	7032.93	7860.12	7160.35	7396.42	6906.79	10100.72	7592.08	8248.4	7951.19	6189.27
868.447	5840.34	7091.93	5745.35	5478.97	8274.2	4623.6	8515.78	6060.36	9492.56	9114.8	4026.8	8823.96	10917.19	9760	10644.13	5749.79	4805.33	4780.21	6231.35	4332.58	4150.58	3623.62	4438.21	3636.76	7693.31	11169.22	11093.95	7959.83	5678.34	12176.65	9772.84	4795.06	7409.13	8206.36	4982.94	6614.82	6776.24	10570.85	6883.72	5223.75	3630.2	7462.21	8314.03	7562.79	7829.59	7314.24	10667.1	8019.02	8731.66	8407.76	6526.09
898.571	6137.15	7491.1	6058.07	5807.38	8677.06	4904.33	9013.19	6445.83	9996.1	9625.72	4230.98	9272.6	11581.73	10255.02	11199.82	6082.96	5091.37	5081.63	6571.28	4549.13	4438.01	3807.23	4679.83	3864.31	8214.8	11761.22	11651.12	8459.88	6050.52	12873.53	10339.72	5033.64	7832.75	8670.99	5267.24	7038.12	7157.65	11186.65	7278.45	5521.14	3848.05	7897.39	8748.11	7983.51	8270.43	7725.98	11237.13	8445.31	9246.62	8880.02	6910.39
