?Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)
29.973	1540.18	1313.46	1463.37	1177.12	1085.89	1188.64	1284.29	1321.62	1365.84	1257.11	1864.87	1052.7	1243.16	1193.73	1117.95	1223.93	1222.93	1303.85	1104.61	1252.42	1631.96	1096.97	1373.34	1270.74	1057
59.972	1696.99	1370.65	1566.3	1267.34	1151.22	1287.08	1419.67	1441.73	1465.92	1382.31	2068.23	1131.17	1348.83	1278.51	1190.68	1324.66	1315.13	1439.02	1183.82	1360.25	1828.47	1190.85	1522.43	1409.82	1144.43
90.049	1929.6	1456.66	1723.98	1404.71	1263.81	1438.33	1597.17	1618.6	1613.7	1562.58	2360.4	1259.42	1495.3	1422.95	1308.3	1475.48	1436.14	1629.75	1293.37	1503.96	2093	1342.08	1728.28	1615.73	1278.63
120.500	2150.01	1543.72	1847.08	1522.79	1359.06	1589.61	1790.45	1785.25	1750.13	1757.3	2626.26	1391.43	1649.36	1550.62	1440.64	1623.1	1555.02	1806.42	1410.68	1632.07	2349.12	1464.37	1921.37	1824.91	1415.94
150.452	2373.54	1628.04	2014.54	1663.06	1474.46	1752.3	2017.71	1974.72	1912.56	1977.72	2901.45	1550.2	1813.08	1709.1	1579.58	1800.1	1683.12	2001.13	1524.31	1769.83	2641.9	1631.15	2137.39	2073.41	1591.12
180.436	2581.82	1705.66	2158.61	1789.51	1590.46	1909.81	2220.9	2142.21	2062.51	2198.25	3165.11	1700.37	1966.53	1841.03	1724.66	1984.54	1798.08	2180.91	1637.09	1898.5	2909.24	1777.95	2349.16	2319.29	1761.69
210.481	2807.03	1767.19	2306.11	1910.14	1700.02	2067.01	2456.14	2314.52	2201.54	2430.33	3410.71	1857.41	2111.3	1970	1870.65	2177.81	1898.11	2350.71	1747.11	2003.36	3197.08	1937.96	2572.12	2566.15	1946.09
240.371	3000.92	1830.85	2441.41	2027.55	1798.66	2230.9	2674.11	2496.09	2351.18	2677.8	3659.06	2032	2267.86	2115.24	2020.34	2363.58	1990.47	2518.26	1843.89	2115.43	3474.43	2084.18	2779.29	2818.65	2128.71
270.370	3240.41	1901.81	2595.68	2161.65	1926.89	2404.1	2931.33	2693.74	2501.29	2948.57	3921.05	2217.77	2445.27	2270.52	2217.43	2574.82	2107.84	2696.35	1969.29	2229.18	3784.63	2261.69	3003.08	3124.42	2345.98
300.354	3525.11	1992.2	2794.92	2338.29	2075.07	2643.88	3243.68	2925.61	2697.2	3285.84	4242.89	2447.29	2668.53	2458.05	2439.29	2844.47	2245.6	2917.71	2114.09	2368.3	4169.33	2475.28	3293.18	3461.71	2615.08
330.337	3903.51	2142.51	3062.97	2597.54	2304.2	2969.98	3670.8	3278.96	2990.79	3759.27	4695.85	2789.74	2982.94	2740.01	2753.49	3217.22	2441.47	3250.81	2326.31	2607.68	4712.64	2788.56	3707.86	3947.19	2969.12
360.398	4030.36	2174.09	3146.41	2672.37	2368.58	3090.89	3852.71	3390.7	3086.55	3958.85	4823.49	2916.68	3098.37	2826.55	2884.05	3381.49	2487.48	3350.63	2386.3	2638.06	4898.13	2901.66	3838.83	4161.37	3145.37
390.460	4195.34	2210.4	3265.32	2775.14	2475.19	3240.14	4064.38	3537.86	3198.23	4213.9	5021.22	3097.85	3252.31	2947.96	3066.02	3573.56	2552.09	3468.26	2482.37	2707.11	5130.36	3041.44	4018.78	4424.82	3353.66
420.381	4347.36	2259.76	3395.27	2885.65	2583.63	3389.42	4271.24	3682.67	3309.64	4461.57	5185.37	3275.3	3402.43	3074.77	3241.78	3788.12	2622.72	3614.65	2553.15	2786.39	5380.21	3199.07	4218.68	4697.38	3558
450.348	4558.62	2324.12	3549.55	3033.74	2722.56	3594.51	4544.23	3882.52	3494.19	4763.92	5423.29	3501.01	3589.51	3234.94	3461.91	4073.73	2726.46	3788.56	2681.39	2879.18	5697.06	3384.49	4458.53	5006.46	3801.65
480.316	4828.55	2408.72	3752.97	3222.86	2886.49	3838.04	4857.28	4111.48	3715.7	5167.14	5731.03	3765.69	3826.85	3428.58	3720.79	4346.8	2851.34	3999.43	2835.74	3006.21	6070.25	3615.62	4749.76	5390.63	4113.52
510.300	4880.01	2415.91	3793.01	3279.65	2915.94	3909.83	4937.85	4165.83	3749.71	5324.26	5761.32	3858.43	3901.81	3467.87	3808.11	4449.43	2866.63	4028.24	2858.46	3011.55	6192.71	3690.66	4840.71	5539.3	4240.19
540.689	5146.39	2498.47	3971.33	3452.55	3090.32	4152.58	5248.52	4390	3950.48	5719.11	6039.51	4133.13	4136.76	3667.59	4084.51	4757.2	2978.75	4253.58	3003.86	3140.66	6530.03	3909.39	5124.12	5906.61	4529.67
570.703	5394.28	2595.74	4185.97	3657.08	3262.55	4394.73	5551.56	4628.68	4163.71	6105.69	6350.41	4417.16	4393.12	3872.6	4358.62	5044	3129.93	4454.96	3157.03	3262.03	6932.84	4159.39	5407.62	6274.64	4845.38
600.936	5753.04	2715.69	4447.7	3920.35	3496.81	4717.31	5927.09	4932.75	4453.51	6621.03	6780.56	4765.67	4720.44	4127.2	4709.75	5462.39	3302.81	4746.94	3375.55	3449.21	7390.02	4472.67	5784.16	6794.07	5252.18
630.888	6049.52	2820	4678.87	4150.73	3691.51	5008.07	6248.33	5197.39	4681.28	7091.87	7105.9	5072.53	5006.69	4335.69	5015.18	5799.66	3450.45	5010.27	3531.32	3610.32	7809.14	4726.97	6116.77	7220.08	5621.07
660.919	6305.44	2916.9	4855.95	4353.02	3884.56	5250.04	6549.57	5412.58	4929.58	7520.19	7429.7	5359.68	5264.49	4554.96	5311.46	6130.03	3606.22	5224.02	3686.85	3736.81	8191.98	4991.02	6415.98	7618.46	5916.85
691.011	6425.9	2972.34	4958.02	4479.71	3998.3	5401.91	6710.01	5556.9	5019.92	7772.54	7545.76	5521.9	5420.7	4643.13	5476.38	6333.41	3657.55	5325.67	3757.38	3781.66	8355.3	5108.33	6545.85	7821.61	6106.04
720.963	6546.08	3021.66	5102.37	4636.04	4127.68	5577.54	6889.2	5701.21	5149.9	8108.67	7688.39	5715.97	5605.06	4761.29	5700.04	6592.13	3732.12	5451.04	3852.46	3861.94	8555.56	5262.93	6701.37	8065.59	6281.63
750.900	6590.44	3023.24	5160.57	4704.06	4188.17	5664.64	6926.47	5728.94	5206.21	8289.38	7754.15	5811.84	5677.06	4805.91	5785.29	6675.89	3752.93	5487.83	3892.05	3871.58	8623.73	5337.27	6773.74	8192.75	6426.95
780.946	6764.05	3087.95	5289.59	4864.28	4299.69	5838.85	7104.3	5850.74	5330.52	8564.9	7920.34	6003.43	5895.87	4915.51	6003.66	6896.31	3838.48	5626.09	4000.25	3950.84	8795.4	5487.92	6931.8	8414.66	6604
811.272	6940.31	3188.22	5466.81	5036.73	4476.54	6064.15	7325.92	6027.76	5517.09	8921.06	8150.37	6241.09	6092.89	5078.31	6247.08	7151.86	3971.82	5801.76	4131.65	4046.66	9069.65	5683.88	7138.85	8701.09	6841.99
841.771	7117.97	3262.26	5601.39	5231.34	4636.9	6272.53	7518.67	6186.52	5680.62	9281.08	8358.14	6459.07	6316.63	5215.71	6472.9	7445.25	4068.9	5962.89	4248.84	4140.51	9304.07	5870.4	7342.66	8971.94	7104.73
871.770	7529.64	3433.12	5951.62	5571.02	4917.13	6668.09	7957.07	6541.21	6038.85	9909.23	8843.24	6894.6	6746.86	5533.3	6912.53	7925.2	4304.72	6311.62	4504.29	4374.36	9808.8	6214.57	7767.46	9540.46	7558
901.831	7991.11	3616.81	6320.83	5955.4	5259.93	7112.71	8418.42	6935.35	6396.75	10636.06	9393.81	7362.74	7204.23	5864.36	7383.75	8474.68	4570.65	6689.94	4796.83	4623.58	10418.42	6628.79	8244.8	10148.46	8036.47
