Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)	#72 (DAPI)	#73 (DAPI)	#74 (DAPI)	#75 (DAPI)	#76 (DAPI)	#77 (DAPI)	#78 (DAPI)	#79 (DAPI)	#80 (DAPI)	#81 (DAPI)	#82 (DAPI)	#83 (DAPI)	#84 (DAPI)	#85 (DAPI)	#86 (DAPI)	#87 (DAPI)	#88 (DAPI)	#89 (DAPI)	#90 (DAPI)	#91 (DAPI)	#92 (DAPI)	#93 (DAPI)	#94 (DAPI)	#95 (DAPI)	#96 (DAPI)	#97 (DAPI)	#98 (DAPI)	#99 (DAPI)	#100 (DAPI)	#101 (DAPI)	#102 (DAPI)	#103 (DAPI)	#104 (DAPI)	#105 (DAPI)	#106 (DAPI)	#107 (DAPI)	#108 (DAPI)	#109 (DAPI)	#110 (DAPI)	#111 (DAPI)	#112 (DAPI)	#113 (DAPI)	#114 (DAPI)	#115 (DAPI)	#116 (DAPI)	#117 (DAPI)	#118 (DAPI)	#119 (DAPI)	#120 (DAPI)	#121 (DAPI)	#122 (DAPI)	#123 (DAPI)	#124 (DAPI)	#125 (DAPI)	#126 (DAPI)	#127 (DAPI)	#128 (DAPI)	#129 (DAPI)	#130 (DAPI)	#131 (DAPI)	#132 (DAPI)	#133 (DAPI)	#134 (DAPI)	#135 (DAPI)	#136 (DAPI)	#137 (DAPI)	#138 (DAPI)	#139 (DAPI)	#140 (DAPI)	#141 (DAPI)	#142 (DAPI)	#143 (DAPI)	#144 (DAPI)	#145 (DAPI)	#146 (DAPI)	#147 (DAPI)	#148 (DAPI)	#149 (DAPI)	#150 (DAPI)	#151 (DAPI)	#152 (DAPI)	#153 (DAPI)	#154 (DAPI)	#155 (DAPI)	#156 (DAPI)	#157 (DAPI)	#158 (DAPI)	#159 (DAPI)	#160 (DAPI)	#161 (DAPI)	#162 (DAPI)	#163 (DAPI)	#164 (DAPI)	#165 (DAPI)	#166 (DAPI)	#167 (DAPI)	#168 (DAPI)	#169 (DAPI)	#170 (DAPI)	#171 (DAPI)	#172 (DAPI)	#173 (DAPI)	#174 (DAPI)	#175 (DAPI)	#176 (DAPI)	#177 (DAPI)	#178 (DAPI)	#179 (DAPI)	#180 (DAPI)	#181 (DAPI)	#182 (DAPI)	#183 (DAPI)	#184 (DAPI)	#185 (DAPI)	#186 (DAPI)	#187 (DAPI)	#188 (DAPI)	#189 (DAPI)	#190 (DAPI)	#191 (DAPI)	#192 (DAPI)	#193 (DAPI)	#194 (DAPI)	#195 (DAPI)	#196 (DAPI)	#197 (DAPI)	#198 (DAPI)
3.655	3458.3	2950.74	4576.67	4243.11	4496.47	3662.8	4674.46	3659.17	5445.78	4982.98	3314.91	6270.8	4949.08	5907.48	5501.39	4515.35	4721.81	4662.82	3864.32	4270.94	3549.77	4034.28	5659.68	4860.29	3870.94	3690.12	5159.34	5420.6	6778.78	3914.75	4202.82	4816.2	3584.5	5997.56	4171.48	6212.76	5139.89	4199.09	4668.04	4958.76	3371.24	4727.53	5817.48	4443.06	5707.99	4913	4749.28	5894.94	4872.93	6165.55	5318.36	5699.12	4603.81	4272.74	5732.92	6182.24	6077.3	4650.04	4853.56	3997.09	4330.52	7009.77	3983.67	4498.54	5280.26	4492.23	3466.93	4284.48	4691.07	3562.56	4754.87	4331.8	3644.44	4192.33	4286.84	3568.56	4556.4	4057.53	5217.6	3812.08	3788.04	5330.57	5696.55	4529.04	4834.93	6088.74	4092.3	3561.72	3153.76	5856.66	3834.47	4722.51	4446.58	5640.08	4512.61	3504.54	4344.76	5196.92	4924.8	4161.35	4478.36	3679.7	4097.11	5357.1	4343.79	3877.25	4672.56	4474.85	3168.27	3330.68	4187.36	3830.73	5106.46	3235.54	5007.28	3736.77	4891	4845.22	4201.41	3802.77	3152.32	6951.17	4033.6	2768.13	4560.57	5291.05	4033.32	4699.61	3833.91	4286.41	4226.92	3992.13	3341.42	5388.13	4688.8	5033.47	4090.26	4238.3	5109.66	4899.96	5003.06	4373.62	4345.24	4144.03	3529.61	4426.3	4937.3	3299.44	4075.97	3221.7	3317.97	3466.19	3422.64	6332.77	5512.97	3355.36	4330.88	4884.75	3940.76	5182.03	4176.44	3516.16	4564.13	4016.45	4482.42	3846.13	3828.8	3318.61	3832.81	2025.95	5119.68	4661.46	2892.75	4690.99	4209.83	3033.12	3578.3	4325.04	3680.08	4317.63	4765.03	3709.59	4691.47	3200.03	3565.65	4343.96	3670.45	3040.3	3418.08	3617.54	4648.32	4339.14	3913.64	4498	3587.05	2657.45	3205.59	3923.74
33.561	4558.12	3884.03	6178.33	5708.62	6059.42	4847.77	6180.1	4803.63	7301.67	6679.1	4381.2	8440.74	6669.88	7977.69	7385.99	6077.5	6368.65	6273.01	5063.34	5637.02	4704.32	5398.88	7637.58	6530.52	5184.24	4957.63	6955.62	7285.58	9149.15	5210.88	5644.9	6422.32	4738.67	8083.34	5587.87	8388.05	6873.73	5638.6	6282.7	6666.01	4465.59	6365.47	7864.49	6020.26	7708.62	6636.74	6386.72	7885.05	6503.24	8305.61	7198.49	7705.87	6182.92	5730.91	7723.81	8342.48	8212.46	6230.32	6572.5	5344.42	5841.61	9508.38	5379.35	6032.25	7081.21	6009.53	4605.81	5746.78	6287.95	4707.01	6376.77	5824.93	4853.05	5638.65	5766.68	4778.98	6147.71	5459.46	6997.12	5140.85	5054.99	7198.43	7734.58	6130.4	6536.17	8227.28	5450.27	4714.98	4157.95	7863.08	5117.58	6352.81	5953.78	7611.84	6107.9	4725.69	5831.97	6970.46	6635.96	5499.72	5948.96	4944.64	5493.03	7225.29	5872.55	5227.1	6200.26	5979.57	4176.25	4474.2	5597.22	5082.63	6873.76	4303.74	6769.83	4997.67	6631.49	6499.04	5634.7	5089.48	4182.85	9396.9	5352.82	3622.57	6167.93	7195.13	5389.38	6347.42	5111.2	5739.39	5683.95	5333.01	4418.33	7325.43	6326.96	6787.42	5443.52	5661.4	6878.85	6601.5	6736.64	5879.27	5801.11	5553.85	4718.99	5963.6	6644.27	4366.36	5350.8	4242	4392.61	4609.48	4561.65	8519.1	7427.73	4442.35	5793.09	6546.05	5250.59	6892.57	5533.3	4660.14	6118.99	5379.62	5904.01	5078.34	5123.56	4376.8	5108.5	2594.7	6881.87	6251.55	3773.98	6223.46	5523.71	3850.98	4696.36	5724.95	4907.34	5777.63	6383.13	4947.3	6154.31	4079.72	4693.16	5790.81	4863.02	3956.3	4379.7	4758.43	6172.09	5789.6	5217.52	5886.16	4698.44	3430.3	4232.49	4969.64
63.560	5403.57	4607.02	7386.51	6836.74	7286.05	5796.67	7339.35	5687.85	8670.53	7988.42	5205.13	10074.91	8028.02	9495.64	8837.28	7279.4	7644.35	7552.29	6012.48	6693.66	5591.65	6437.08	9088	7830.99	6248.47	5937.88	8328.58	8680.89	10890.57	6245.48	6770.58	7651.43	5603.06	9679.61	6686.29	10008.4	8186.86	6731.65	7536.8	7918.88	5321.86	7599.84	9421.43	7251.82	9224.98	7953.33	7664.11	9384.22	7759.21	9881.75	8641.15	9207.04	7404.19	6861.36	9227.8	9981.27	9776.63	7465.73	7904.02	6400.21	6974	11278.12	6454.25	7222.85	8461.81	7164.73	5499.36	6864.13	7487.86	5625.68	7618.59	6966.96	5792.33	6750.61	6876.69	5729.7	7363.9	6566.38	8347.4	6176.61	6050.65	8597.01	9264.35	7363.12	7832.33	9863.07	6489.88	5580.67	4976.8	9389.47	6118	7590.63	7107.01	9096.4	7295.55	5664.34	6997.48	8310.47	7916.61	6528.82	7084.48	5913.74	6582.79	8610.54	7037.71	6262.58	7383.26	7100.54	4947.81	5358.66	6689.34	6052.22	8200.29	5146.47	8125.49	5986.6	7944.4	7758.4	6714.34	6087.22	5008.52	11195.31	6386.45	4275.75	7376.84	8611.74	6486.13	7579.92	6105.63	6836.18	6797.69	6324.33	5263.06	8733.79	7540.13	8118.09	6497.45	6765.04	8188.64	7928.36	8066.37	7020.63	6929.13	6622.66	5627.31	7144.6	7942.15	5183.37	6347.84	5010.72	5210.41	5458.16	5441.28	10131.15	8822.88	5291.24	6901.78	7826.31	6272.45	8153.02	6587.92	5552.53	7289.33	6419.92	6965.52	6006.43	6069.05	5166.73	6070.81	3049.45	8165.52	7424.71	4432.33	7398.24	6526.28	4469.44	5541.59	6794.85	5845.57	6885.15	7583.99	5875.04	7276.26	4724.76	5533.69	6851.87	5766.96	4657.63	5123.94	5632.02	7301.74	6859.87	6198.77	6929.34	5518.78	4023.4	5003.91	5771.31
93.621	6439.56	5499.44	8818.55	8182.55	8719.68	6904.24	8699.69	6724.82	10285.33	9523.37	6216.65	11924.73	9565.66	11312.11	10523.18	8722.51	9122.74	9015.65	7133.67	7993.1	6630.49	7697.46	10867.05	9361.33	7485.56	7139.35	9924.95	10361.76	12801.47	7451.07	8078.58	9120.53	6675.98	11533.4	7946.8	11870.66	9751.87	8020.38	9021.89	9450.83	6348.94	9049.95	11203.96	8732.32	10956.57	9482.13	9151.5	11161.67	9248.99	11740.46	10324.78	10961.81	8867.15	8198.23	10930.85	11847.58	11603.01	8901.91	9474.94	7629.02	8324.38	12439.43	7757.27	8637.51	10079.49	8550.78	6554.53	8162.58	8931.77	6734.01	9097.11	8350.71	6911.1	8080.16	8212.57	6835.95	8786.29	7869.89	9910.64	7397.43	7223.73	10232.98	10947.95	8830.71	9361.67	11768.31	7715.65	6589.17	5952.45	11171.64	7298.06	9080.21	8474.16	10822.89	8709.22	6808.94	8370.78	9913.94	9446.87	7745.12	8408.05	7097.96	7859.86	10268.52	8404.51	7501.4	8775.75	8434.22	5849.9	6438.01	7958.72	7243.16	9797.67	6167.09	9667	7135.28	9490.88	9217.16	7972.2	7268.32	5978.79	13255.83	7614.13	5062.92	8801.78	10276.01	7785.77	9053.03	7267.67	8126.6	8097.86	7539.97	6265.02	10423.46	9013.26	9682.76	7741.29	8060.73	9758.02	9472.84	9609.35	8381.19	8233.88	7904.44	6737.98	8533.29	9455.41	6195.47	7504.31	5931.59	6222.16	6462.57	6494.59	12024.6	10504.87	6319.67	8219.43	9282.38	7433.72	9640.29	7815.57	6628.03	8679.56	7664.95	8209.77	7110.88	7220.21	6121.66	7226.62	3620.01	9707.27	8817.48	5268.33	8743.82	7746.72	5237.34	6562.39	8069.82	6959.46	8167.71	8972.7	6980.4	8590.86	5514.09	6538.06	8114.37	6821.08	5501.43	5989.63	6651.55	8672.49	8119.17	7347.72	8095.08	6534.92	4732.67	5912.11	6753.85
124.088	7422.51	6328.81	10150.67	9422.58	10037.85	7950.5	9975.74	7725.76	11744.52	10961.66	7154.37	13064.68	10971.62	12838.99	12031.88	10036.91	10530.65	10371.52	8187.61	9160.28	7614.22	8851.91	12255.19	10770.33	8670.3	8263.21	11427.18	11873.43	13865.67	8573.36	9299.8	10457.97	7668.35	12990.21	9120.17	13130.9	11177.05	9187.07	10348.74	10848.35	7270.06	10413.11	12259.55	10093.57	12201.47	10891.09	10509.64	12780.5	10636.01	13378.78	11491.77	12374.37	10172.68	9410.98	11921.42	13551.19	13190.58	10258.33	10921.06	8797.52	9555.21	12797.87	8953.71	9933.63	11565.33	9833.33	7579.91	9344.85	10284.41	7777.08	10444.23	9651.76	7925.07	9290.16	9439.9	7886.29	10090.63	9091.78	11340.89	8572.55	8311.56	11747.31	11819.18	10165.34	10726.87	13438.08	8876.18	7572.06	6868.42	12526.11	8384.76	10407.05	9710.05	11838.06	10013.49	7841.34	9619.14	11363.36	10847.26	8922.46	9607.85	8176.61	9020.09	11697.93	9680.51	8631.55	10077.07	9662	6743.23	7446.16	9131.96	8298.39	11173.65	7125.45	11089.81	8232.84	10860.34	10569.19	9163.9	8340.31	6914.83	14720.27	8748.95	5793.45	10118.72	11713.72	8951.79	10383.05	8363.49	9348.88	9308	8659.34	7192.8	11791.8	10343.71	11077.82	8873.36	9272.21	11205.75	10879.98	10979.1	9626.08	9433.76	9065.69	7736.48	9823.03	10843.94	7091.6	8552.62	6765.85	7187.51	7429.2	7462.94	13603.3	12016.71	7269.84	9420.3	10620.35	8503.66	10951.01	8940.3	7631.46	9923.24	8773.69	9312.85	8127.23	8287.2	7026.16	8311.41	4178.74	11075.16	10079.97	6015.66	9971.63	8817.11	5933.73	7484.17	9233.4	8005.36	9398	10262.52	7990.39	9734.43	6236.48	7468.19	9280.68	7784.81	6289.1	6755.7	7601.36	9863.31	9285.26	8393.95	9196.36	7417.94	5392.34	6763.98	7583.92
154.040	8458.6	7250.03	11562.06	10776.65	11440.01	9076.88	11325.8	8762.9	13286.06	12353.88	8165.12	13710.71	12375.82	14029.57	13554.4	11423.86	11960.15	11808.59	9300.53	10424.66	8666.75	10087.82	13096.24	12236.2	9891.76	9451.57	12974.64	13390.06	14404.08	9758.22	10539.62	11892.05	8702.92	13878.55	10393.63	13822.63	12647.95	10438.51	11727.96	12279.22	8294.23	11687.34	12762.49	11469.12	12877.18	12363.7	11932.98	14340.59	12125.42	14813.62	12144.74	13249.56	11600.01	10679.43	12441.75	14802.24	14333.86	11664.43	12175.05	10005.51	10879.14	12977.21	10218.98	11279.96	13178.39	11227.83	8622.91	10591.5	11685.3	8904.65	11872.7	11022.09	9037.27	10597.2	10745.43	9005.74	11458.42	10409.93	12421	9812.95	9460.92	13190	12266.59	11588.65	12238.39	14835.96	10103.36	8554.83	7865.99	13405.98	9560.22	11723.96	11023.66	12381.68	11287.08	8972.6	10969.37	12897.77	12306.28	10108.51	10889.61	9339.04	10263.55	12715.84	10966.57	9843.61	11483	10962.88	7646.67	8502.15	10383.83	9453.04	12273.84	8161.59	12108.96	9355.91	11851.98	12017.31	10418.26	9532.63	7887.06	15437.01	9973.42	6613.18	11372.28	12747.94	10234.13	11793.99	9536.41	10584.7	10554.69	9854.02	8162.24	12727.23	11582.79	12430.26	10079.95	10546.95	12704.61	12200.65	12365.24	10931.88	10664.7	10334.76	8807.68	11190.7	12296.25	8107.22	9649.42	7729.63	8186.85	8424.34	8504.73	14764.09	13587.28	8299.6	10678.43	12015.1	9669.19	12351.55	10097.67	8685.61	11257.56	9955.23	10467.61	9219.92	9364.92	8009.4	9474.28	4793.91	12477.46	11410.27	6854.48	11301.86	10002.55	6654.69	8459.67	10450.03	9115.53	10693.11	11570.14	9073.37	10949.9	7004.26	8444.22	10489.84	8809.69	7098.94	7592.63	8593.7	11128.47	10483	9509.38	10318.71	8369.62	6097.84	7681.44	8532.51
184.024	9243.34	7921.76	12514.95	11694.94	12485.54	9926.83	12278.37	9532.67	14172.11	13112.76	8886.67	13963.37	13077.54	14530.34	14331.62	12391.95	13007.48	12849.36	10119.2	11358.46	9395.98	10988.83	13427.82	13102.88	10818	10325.75	14040.58	14363.38	14588.33	10628.4	11454.29	12864.48	9428.88	14225.43	11266.18	14091.75	13646.52	11281.07	12470.46	13163.24	9029.74	12335.63	12941.1	12155.51	13121.96	13253.65	12904.32	15090.33	13120.62	15466.52	12414.37	13574.21	12603	11420.14	12637.48	15304.64	14769.53	12526.37	12839.09	10892.35	11614.36	13041.77	11145.79	12289.77	14250.77	12221.34	9451.03	11475.65	12724.59	9788.01	12894.41	12047.62	9834.23	11544.4	11462.34	9800.34	12290.18	11388.08	12874.48	10715.77	10341.51	13879.82	12472.13	12442.32	13111.9	15398.75	10985.75	9282.6	8604.9	13736.38	10409.34	12388.19	11781.34	12616.32	11915.98	9795.61	11963.52	13945.19	13203.85	10989.92	11766.92	10175.58	11146.9	13132.05	11652.18	10727.57	12509.31	11900.66	8316.24	9333.38	11259.03	10334.26	12760.15	8949.73	12570.93	10206.58	12277.31	13049.24	11260.61	10405.54	8630.5	15756.1	10856.2	7202.49	12019.28	13174.07	11147.98	12689.79	10428.78	11471.85	11414.66	10677.88	8877.54	13140.85	12223.29	13105.14	10936.24	11492.07	13686.28	12871.3	13120.66	11899.74	11611.52	11256.17	9597.23	12191.51	13324.25	8833.97	10456.82	8360.86	8966.72	9141.51	9257.74	15256.1	14513.94	9086.04	11596.9	12951.81	10466.92	13324.92	10966.42	9522.21	12166.58	10822.21	11292.35	9982.62	10197.02	8714.3	10287.44	5261.34	13417.8	12338.32	7473.97	12260.69	10856.72	7225.49	9197.78	11291.15	9954.63	11631.25	12520.48	9848.46	11827.61	7539.66	9180.19	11385.63	9586.69	7689.52	8215.67	9336.62	12033.47	11352.71	10327.66	11110.16	9086.51	6627.71	8350.16	9193.4
214.038	10107.05	8727.25	13359.11	12791.25	13443.1	10852.82	13388.71	10391.33	14898.04	13733.4	9714.76	14141.76	13641.51	14896.22	14965.9	13401.16	14034.49	13870.93	11064.52	12409.79	10256.03	11994.01	13664.52	13732.12	11841.47	11373.72	14933.07	15070.77	14708.09	11581.4	12413.37	13971.34	10288.51	14451.86	12155	14299.42	14566.48	11992.37	13044.27	13885.01	9854.57	12806.85	13039.58	12575.32	13290.14	14059.68	13917.98	15630.03	14253.42	15926.13	12616.38	13800.11	13544.88	11995.82	12796.83	15633.96	15074.95	13203.11	13323.32	11760	12179.94	13072.89	11992.63	13420.48	15170.3	13353.57	10329.04	12486.04	13852.24	10767.41	14014.44	13038.91	10742.28	12355.43	12067.12	10682.33	12990.87	12493.3	13213.09	11693.17	11274.31	14363.26	12627.31	13089.65	13786.6	15796.85	12036.62	10098.62	9465.51	13932.49	11346.06	12919.8	12374.06	12783.67	12405.02	10779.49	13057.48	14806.4	13929.31	12006.44	12790.32	11049.22	12160.21	13396.69	12122.87	11589.74	13597.49	12918.61	9034.02	10205.74	12283.39	11284.87	13117.09	9837.23	12863.29	11075.73	12590.3	14130.57	12257.44	11341.36	9473.09	15971.35	11833.86	7873.78	12482.79	13451.7	12161.96	13459.37	11350.88	12490.72	12140	11664.55	9677.8	13430.64	12705.71	13608.65	11933.48	12540.55	14486.4	13338.01	13636.42	12906.37	12620.65	12293.73	10464.02	13285.49	14402.18	9672.21	11342.12	9109.87	9795.13	9946.16	10145.24	15557.17	15193.66	9927.03	12618.07	13744.43	11399.01	14205.48	11925.37	10464.03	13225.16	11790.15	12196.29	10915.06	11133.86	9529.97	11201.46	5825.17	14366.26	13302.5	8177.54	13310.4	11849.85	7834.39	9976.75	12259.47	10878.22	12651.61	13553.63	10712.16	12812.26	8199.35	9966.99	12346.81	10440.46	8391.24	8889.47	10151.54	13043.74	12315.76	11234.08	12000.56	9871.12	7213.52	9131.95	9933.51
243.959	10863.99	9370.01	13852.67	13486.29	14054.71	11617.49	14191.62	11097.23	15353.23	14072.95	10417.44	14266.52	13956.86	15102.24	15295.83	14249.67	14665.03	14482.02	11857.87	13276.61	10940.47	12721.06	13807.04	14054.68	12693.85	12187.47	15401.46	15483.99	14765.47	12241.61	12993.16	14687.08	10969.67	14543.42	12681.82	14417.92	15092.18	12392.16	13375.32	14282.59	10516.22	13052.47	13085.37	12772.52	13358.94	14472.46	14556.37	15946.78	15035.11	16152.08	12733.14	13915.32	14115.8	12339.86	12863.13	15851.9	15207.71	13594.97	13594.9	12305.62	12474.35	13093.06	12485.58	14240.62	15667.06	14277.46	11070.98	13208.02	14606.77	11583.58	14715.6	13657.69	11496.34	12827.65	12384.67	11287.57	13378.16	13219.87	13380.76	12391.2	12017.51	14611.83	12738.45	13413.43	14128.99	16001.97	12860.07	10762.24	10178.38	14039.81	12100.4	13186.34	12687.26	12891.13	12663.04	11539.3	13941.64	15278.64	14332.94	12830.11	13579.13	11645.14	12963.89	13514.17	12365.13	12121.65	14413.97	13748.97	9660.06	10960.34	13122.28	12069.05	13301.87	10570.73	13031.29	11652.79	12741.97	14794.35	12990.77	12004.38	10160.05	16094.54	12669.71	8441.59	12728.62	13609.07	12854.56	13851.67	12142.67	13216.21	12557.21	12467.57	10322.28	13591.5	12999.85	13870.52	12726.56	13391.51	14929.53	13587.84	13883.82	13804.89	13446.56	13139.25	11188.64	14073.69	15010.51	10354.3	12051.96	9728.38	10507.78	10627.13	10844.93	15746.34	15586.76	10675.92	13352.26	14203.83	12100.4	14776.57	12695.41	11196.15	13965.81	12593.5	12911.85	11619.88	11875.18	10181.72	11997.62	6316.49	14911	14084.87	8741.27	14111.37	12618.23	8314.96	10621.52	13050.21	11631.07	13513.34	14240.56	11399.34	13550.23	8722.55	10608.64	13128.3	11096.54	8936.47	9413.59	10798.76	13776.01	13058.72	11969.74	12616.6	10481.92	7739.82	9771.39	10550.01
273.958	11457.37	9925.19	14139.08	13917.68	14394.38	12274.55	14677.94	11690.84	15582.07	14277.25	10997.15	14314.73	14151.02	15205.06	15483.48	14668	14991.92	14788.07	12530.78	13973.97	11487.31	13251.19	13869.02	14220.19	13323.42	12815.7	15632.38	15665.35	14792.78	12625.09	13373.03	15082	11523.03	14596.49	13005.45	14456.91	15392.61	12612.81	13553.92	14499.7	11076.72	13190.65	13105.36	12886.91	13389.48	14706.52	14924.7	16113.39	15455.11	16260.92	12813.17	13959.08	14439.81	12518.89	12888.02	15932.69	15285.3	13780.84	13727.09	12601.76	12636.36	13094	12753.35	14711.29	15931.33	14800.22	11583.44	13673	15053.93	12289.62	15153.37	14059.45	12024.09	13097.98	12558.62	11671.11	13587.74	13733.39	13465.17	12835.24	12626.97	14716.61	12792.36	13588.99	14296.66	16078.53	13510.82	11265.52	10747.41	14075.99	12572.55	13344.35	12862.93	12942.01	12778.96	12083.25	14483.93	15514.38	14536.16	13474.73	14128.45	11973.47	13575.01	13564.96	12499.16	12426.22	14860.89	14292.46	10113.88	11475.12	13715.84	12681.36	13403.19	11167.81	13107.06	12000.61	12835.96	15212.09	13424.52	12392.57	10726.61	16141.87	13292.89	8896.09	12840.34	13686.3	13251.27	14070.91	12774.77	13676.59	12781.27	13057.67	10848.11	13652.96	13119.22	14024.39	13334.55	13958.89	15157.31	13703.84	14004.57	14336.37	13995.88	13662.97	11742.74	14557.55	15339.5	10908.17	12555.22	10202.92	11105.75	11121.38	11436.45	15830.47	15787.81	11231.45	13854.87	14423.71	12642.55	15072.9	13286.41	11773.01	14429.08	13150.31	13368.53	12190.94	12469.38	10696.5	12575.59	6744.75	15187.18	14502.5	9181.84	14495.35	13219.08	8733.95	11105.88	13584.44	12201.43	14075.39	14629.65	11910.67	14014.09	9065.89	11102.85	13723.56	11593.08	9383.77	9835.53	11276.54	14322.71	13579.77	12487.16	13063.4	11001.74	8136.21	10224.55	10986.01
