Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)	#72 (DAPI)	#73 (DAPI)	#74 (DAPI)	#75 (DAPI)	#76 (DAPI)	#77 (DAPI)	#78 (DAPI)	#79 (DAPI)	#80 (DAPI)	#81 (DAPI)	#82 (DAPI)	#83 (DAPI)	#84 (DAPI)	#85 (DAPI)	#86 (DAPI)	#87 (DAPI)	#88 (DAPI)	#89 (DAPI)	#90 (DAPI)	#91 (DAPI)	#92 (DAPI)	#93 (DAPI)	#94 (DAPI)	#95 (DAPI)	#96 (DAPI)	#97 (DAPI)	#98 (DAPI)	#99 (DAPI)	#100 (DAPI)	#101 (DAPI)	#102 (DAPI)	#103 (DAPI)	#104 (DAPI)	#105 (DAPI)	#106 (DAPI)	#107 (DAPI)	#108 (DAPI)	#109 (DAPI)	#110 (DAPI)	#111 (DAPI)	#112 (DAPI)	#113 (DAPI)	#114 (DAPI)	#115 (DAPI)	#116 (DAPI)	#117 (DAPI)	#118 (DAPI)	#119 (DAPI)	#120 (DAPI)	#121 (DAPI)	#122 (DAPI)	#123 (DAPI)	#124 (DAPI)	#125 (DAPI)	#126 (DAPI)	#127 (DAPI)	#128 (DAPI)	#129 (DAPI)	#130 (DAPI)	#131 (DAPI)	#132 (DAPI)	#133 (DAPI)	#134 (DAPI)	#135 (DAPI)	#136 (DAPI)	#137 (DAPI)	#138 (DAPI)	#139 (DAPI)
10.207	4630.39	4493.55	4646.3	4439.83	4448.26	6277.41	4524.52	3387.24	6655.35	5714.51	2841.82	3948.97	3379.7	3473.12	5105.2	3547.54	4519.21	5100.93	6227.64	2994.44	5768.57	3674.04	5175.62	3995.91	3857.19	4199.48	4688.61	4330.98	5304.89	4291.9	5674.66	2828.85	4042.46	4507.76	4227	5073.11	4826.48	3541.08	5609.84	5296.73	3153.28	3637.23	5729.04	5908.93	4076.01	5478.58	5530.64	5134.63	4220.44	3176.35	6415.08	3100.99	4376.26	3466.69	4877.74	3785.85	4389.89	4265.29	4936.72	4919.97	3691.73	3932.79	5733.14	3101.25	6687.75	5186.4	4956.08	4865.41	3625.16	4314.76	4450.95	4341.4	5801.45	4339.59	4439.33	6291.27	5594.19	3594.2	3620.28	5010.75	5068.83	5307.14	4670.42	3492.5	6708.09	4836.91	4138.75	2942.4	4530.22	4481.49	4222.82	4094.91	4149.26	4212.1	4838.08	4527.97	4458.29	5533.74	3633.05	7629.08	4633.89	3267.97	4847.11	6409.83	5194.35	3294.22	4346.62	4499.27	3598.1	3529.96	4548.66	4382.84	4376.49	4097.97	3775.63	4933.39	5393.4	3304.18	3273.01	3881.29	3498.21	3524.96	4692	4017.98	4624.28	3372.55	4924.29	2914.15	3977.43	3511.35	5180.55	4018.04	3126.19	3598.28	3671.46	4181.24	4050.35	4706.14	5340.74
40.097	5982.16	5759.26	5849.01	5643.12	5720.85	8108.63	5806.9	4266.02	8485.51	7393.34	3587.47	5100.03	4324.54	4445.21	6618.14	4532.8	5818.87	6646.9	7925.76	3745.79	7471.25	4725.34	6698.52	5126.53	4893.14	5377.14	6062.57	5578.61	6757.25	5498.84	7348.96	3590.45	5206.77	5834.4	5360.81	6522.92	6262.43	4534.95	7170.8	6825.62	4022.98	4655.25	7463.03	7633.51	5251.59	7096.24	7175.39	6681.28	5480.54	4003.7	8310.41	3969.91	5646.89	4358.76	6338.39	4885.14	5674.12	5504.14	6403.31	6397.49	4746.86	5061.44	7440.26	3966.3	8664.04	6656.63	6384.38	6278.63	4683.98	5479.2	5747.32	5563.83	7541.49	5633.33	5734.78	8182.07	7265.06	4628.63	4540.08	6387.52	6561.81	6836.4	6050.79	4485.61	8630.96	6260.97	5313.98	3742.59	5864.98	5794.13	5445.19	5283.95	5372.36	5402.42	6163.68	5858.13	5779.74	7162.66	4606.75	9832.19	6001.7	4192.47	6302.54	8274.34	6674.47	4135.39	5641.85	5762.78	4605.75	4521.69	5704.91	5653.61	5600.8	5137.35	4813.8	6387.9	6975.11	4092.6	4171.07	4973.42	4483.83	4513.88	5882.57	5141.31	5963.42	4297.87	6253.83	3698.66	5012.62	4304.12	6485.04	5091.24	3960.07	4531.55	4666.81	5349.51	5015	5990.62	6824.52
70.158	7143.72	6895.41	6936.38	6715.4	6865.6	9711.92	6966.28	5077.39	10126.14	8895.82	4270.88	6156.16	5174.97	5327.55	7947.5	5443	6977.49	7987.95	9482.38	4437.35	8980.73	5652.08	8050.09	6139.41	5822.78	6408.85	7271.89	6713.58	8055.31	6577.17	8820.52	4290.72	6270.1	7012.18	6407.45	7833.42	7537.98	5430.54	8554.92	8198.96	4819.57	5606.18	8996.78	9181.52	6324.39	8533.82	8635.91	8018.6	6593.08	4770.44	9968.02	4754.94	6778.38	5165.8	7639.99	5880.49	6842.67	6643.66	7710.06	7701.52	5705.77	6098.77	8959.85	4753.51	10396.41	7975.22	7659.76	7494.24	5619.86	6531.88	6903.57	6664.43	9029.33	6766.52	6929.19	9855.9	8726.09	5544.73	5379.47	7636.74	7889.4	8211.88	7271.87	5386.02	10340.68	7511.16	6369.02	4461.95	7038.39	6956.83	6559.96	6343.99	6437.7	6472.96	7369.05	7030.09	6912.11	8557.67	5498.23	11710.39	7206.45	5011.3	7559.12	9906.96	8005.29	4895.5	6781.94	6868.42	5498.25	5398.82	6772.33	6735.21	6639.7	6071.11	5755.88	7636.38	8320.43	4794.95	4973.79	5933.41	5354.19	5389.14	6916.33	6141.01	7135.61	5132.33	7413.2	4397.33	5877.43	5025.9	7673.56	6034.05	4697.05	5340.16	5538.97	6352.56	5867.04	7096.34	8137.5
100.251	8462.36	8126.6	8186.1	7977.77	8128.32	11505.9	8274.64	5938.53	11940.21	10571.36	5081.2	7299.18	6149.26	6349.95	9430.21	6456.39	8273.6	9501.42	11191.44	5226.53	10669.31	6748.04	9561.72	7278.18	6892.03	7637.36	8651.62	7957.63	9577.69	7844.72	10491.68	5055.89	7421.35	8323.86	7576.1	9271.04	8941.1	6429.86	10124.37	9756.07	5714.72	6652	10653.97	10858.27	7496.96	10162.76	10226.46	9508.07	7873.01	5641.01	11720.02	5679.76	8012.27	6074.91	9096.89	6992.99	8157.77	7924.9	9185.18	9129.44	6777.84	7246.81	10628.29	5656.64	12164.29	9453.76	9079.49	8880.76	6692.55	7738.42	8197.46	7917.9	10716.35	8042.63	8270.18	11371.34	10345.54	6539.88	6338.89	9018.99	9381.57	9731.09	8645.47	6389.64	12224.1	8912.63	7537.94	5294.1	8383.01	8245.8	7778.92	7532.25	7631.41	7645.44	8665.57	8341.29	8193.16	10128.58	6474.15	13173.48	8569.53	5947.55	9000.04	11693.47	9481.83	5737.64	8064.43	8141	6500.98	6360.72	7943.95	7940.36	7865.69	7117.32	6818.06	9062.01	9805.55	5632.01	5897.01	6994.99	6348.39	6360	8098.88	7272.37	8482.75	6081.21	8684.16	5186.13	6860.83	5825.47	8930.29	7135.88	5557.63	6254.64	6559.97	7455.36	6820.51	8311.43	9563.22
130.749	9615.94	9256.95	9230.65	9070.73	9254.28	13007.95	9435.8	6750.02	13520.7	12036.27	5803.13	8376.91	7039.44	7261.17	10710.06	7374.49	9439.2	10781.02	12713.52	5960.46	11978.69	7766.2	10905.4	8329.46	7836.67	8725.76	9883.01	9059.62	10920.37	8976.48	11740.75	5797.18	8452.84	9526.4	8640.61	10567.65	10215.39	7356.23	11521.71	11108.36	6557.81	7591.53	11697.44	12164.76	8552.02	11527.23	11470.47	10799.99	9024.83	6429.56	12618.97	6530.04	9128.98	6908.58	10432.76	8010.18	9327.77	9056.96	10517.83	10439.58	7777.31	8302.4	11769.09	6471.76	13448.8	10794.66	10335.34	10084.06	7663.42	8818.62	9391.35	9075.83	11846.29	9186.81	9483.73	12072.25	11500.15	7479.91	7251.9	10085.79	10712.79	11133.09	9901.03	7296.19	13721.43	10178.59	8593.83	6068.27	9567.85	9427.75	8890.83	8600.82	8739.62	8747.24	9848.62	9510.16	9303.88	11557.83	7383.24	13861.29	9762.07	6808.21	10274.03	13258.91	10806.32	6514.47	9211.36	9256.33	7431.36	7247.84	9012.43	9013.71	8967.42	8085.36	7774.01	10324.43	11101.81	6415.38	6706.48	7979.04	7258.26	7266.63	9145.26	8277.95	9703.76	6967.58	9815.8	5927.78	7754.06	6558.14	10072.22	8107.13	6319.34	7120.22	7422.31	8439.13	7677.47	9382.43	10786.58
160.670	10831.69	10432.35	10401.5	10297.52	10450.33	14004.3	10685.39	7611.35	14794.67	13212.42	6571.94	9479.77	8025.53	8246.33	11879.12	8382.8	10700.01	12190.92	14208.39	6722.29	12802.35	8828.21	12053.3	9428.79	8880.07	9878.43	11097.04	10280.22	12333.45	10199.49	12586.8	6561.69	9591.26	10781.38	9743.51	11963.77	11459.98	8353.71	12971.78	12386.09	7448.88	8614.16	12278.77	12958.61	9696.47	12620.41	12320.05	11787.63	10260.67	7283.99	13121.61	7450.61	10383.49	7816.99	11571.68	9080.73	10588.3	10303.93	11620.1	11822.72	8850.71	9411.08	12468.1	7372.05	14498.26	12200.57	11672.11	11336.64	8716.22	9990.83	10638.8	10296	12515.89	10424.81	10761.09	12485.17	12207.55	8444.97	8150.56	11591.94	11941.2	12594.93	11204.75	8292.61	14749.48	11382.37	9746.95	6904.32	10854.46	10641.28	10089.43	9756.31	9909.24	9901.69	11056.59	10765.48	10502.01	13023.79	8336.01	14275.18	11051.28	7724.22	11629.9	14746.02	12230.65	7356.36	10418.03	10418.43	8395.66	8176.93	10117.81	10238.7	10112.17	9111.43	8759.47	11653.85	12450.72	7201.51	7603.03	8991.56	8242.04	8223.41	10277.4	9342.99	10976.09	7908.13	11025.88	6727.88	8709.28	7351.45	11249.28	9128.06	7172.18	8028.79	8404.15	9550.53	8545.83	10515.71	12102.55
190.669	12092.86	11693.01	11654.13	11535.96	11720.93	14523.44	11989.74	8548.67	15501.48	13906.51	7416.53	10696.31	9019.29	9278.49	12663.4	9420.01	11921.33	13492.92	15233.17	7559.32	13221.66	9979.57	12742.9	10641.32	9954.88	11126.17	11987.54	11541.98	13779.01	11496.94	13082.94	7419.39	10729.82	11850.77	10930.19	13156.18	12298.78	9420.82	14427	13294.28	8401	9664.46	12576.34	13326.78	10919.71	13295.11	12781.01	12382.93	11229.91	8174.44	13379.51	8434.75	11629.55	8765.08	12254.02	10257.81	11676	11449.27	12288.95	13184.57	9966.86	10599.67	12837.43	8332.83	15338.67	13696.98	12737.47	12351.6	9813.84	11225.07	11752.61	11464.89	12822.33	11544.69	11719.55	12673.11	12554.86	9464.36	9145.93	12961.16	12737.98	13850.19	12209.17	9340.01	15305.46	12202.33	10963.48	7828.25	12037.53	11651.42	11363.1	10989.71	11156.35	11144.44	12406.82	11940.6	11738.34	14462.73	9369.21	14509.71	12228.57	8725.25	12717.74	15510.87	13768.31	8250.79	11641.56	11692.65	9433.3	9172.59	11324.88	11448.62	11379.51	10190.52	9809.48	13022.2	13861.01	8110.31	8547.07	10114.46	9291.91	9254.52	11444.77	10508.46	12292.44	8880.23	12292.1	7600.96	9703.12	8202.45	12505.48	10240.89	8080.32	8991.82	9400.79	10697.6	9515.61	11700.79	13403.63
220.653	12548.25	12158.69	12162.26	12024.52	12169.83	14655.38	12495.5	8914.91	15668.49	14079.81	7759.54	11230.85	9456.17	9742.42	12880.97	9899.25	12324.31	13854.9	15484.65	7940.78	13330.94	10495.65	12924.16	11100.74	10405.7	11660.42	12231.92	12001.58	14278.18	12027.8	13200.51	7746.27	11166.97	12152.63	11403.56	13502.95	12536.61	9852.81	14828.73	13510.29	8818.65	10092.68	12674.39	13435.42	11409.88	13475.02	12905.03	12545	11549.84	8558.63	13449.93	8866.23	12145.28	9134.8	12444.74	10729.75	12011.54	11792.28	12457.58	13627.88	10476.1	11041.54	12927.36	8750.66	15543.37	14219	13015.18	12636.59	10317.99	11759.57	12095.34	11821.96	12909.96	11878.74	12025.69	12736.51	12652.36	9883.79	9568.6	13468.21	12942.53	14202.54	12521.1	9761.35	15470.83	12441.15	11437.97	8252.14	12366.65	11928.75	11797.85	11456.91	11683.87	11624	12884.85	12262.09	12225.02	14854.36	9770.33	14577.89	12550	9144.41	13027.96	15690.19	14320.21	8585.09	12099.66	12143.44	9865.08	9541.81	11778.25	11896.61	11821.81	10596.26	10234.46	13547.97	14216.52	8484.44	8934.99	10548.96	9720.61	9627.2	11828.13	10946.97	12854.52	9369.25	12718.89	7956.19	10107.82	8550.7	12886.37	10688.61	8443.89	9373.73	9739.34	11122.59	9814.67	12127.84	13875.46
250.605	13135.85	12706.23	12719.02	12634	12744.07	14801.93	13052.54	9378.07	15817.99	14231.81	8202.34	11824.46	9981.18	10275.72	13101.29	10397.51	12750.73	14274.11	15721.49	8377.29	13412.97	11081.72	13080.21	11707.26	10983.58	12307.19	12500.3	12485.38	14741.15	12667	13338.53	8181.51	11688.12	12465.94	11992.9	13870	12770.35	10393.09	15212.49	13734.44	9337.47	10651.89	12754.02	13514.29	12015.27	13642.73	13055.55	12722.02	11835.85	8986.18	13515.32	9403.81	12785.49	9611	12593.09	11372.34	12345.31	12141.2	12653.92	14057.2	11035.14	11500.47	13017.99	9280.09	15755.71	14699.72	13316.65	12924.71	10850.25	12395.1	12443.97	12195.66	12972.91	12213.34	12284.58	12787.17	12734.51	10388.99	10068.94	14115.33	13149.09	14539	12824.24	10279.18	15634.44	12678.37	12001.26	8747.44	12724.7	12241.12	12254.45	12003.27	12329.83	12258.01	13491.6	12657.02	12776.58	15230.11	10280.47	14654.86	12879.27	9649.9	13376.55	15852.73	14839.12	9026.82	12538.77	12728.03	10371.84	10019.2	12312.18	12505.79	12449.74	11129.38	10745.73	14084.01	14643.59	8945.37	9421.8	11078.63	10263.32	10175.43	12389.87	11475.28	13526.4	9909.09	13232.37	8428.45	10548.82	8922.53	13366.33	11242.54	8933.68	9819.82	10242.78	11666.23	10249.23	12601.84	14401.51
280.588	14138.53	13822.4	13884.43	13801.83	13819	14990.13	13950.29	10303.27	16059.75	14430.18	9028.72	12884.82	10994.69	11308.14	13418.55	11458.41	13357.42	14882.52	16082.48	9198.34	13517.3	12003.2	13290.97	12831.07	12011.9	13476.26	12840.17	13262.37	15409.82	13716.36	13539.22	8989.47	12547.7	12852.75	13115.9	14389.11	13074.04	11401.87	15765.72	13962.55	10290.39	11517.43	12876.03	13624.86	13198.82	13867.69	13265.93	12946.09	12278.47	9846.68	13601.37	10430.93	13954.75	10562.55	12818.31	12526.81	12767.6	12584.82	12849.35	14714.03	11885.48	12132.79	13145.32	10248.64	16038.15	15417	13726.11	13321.72	11680.86	13584.61	12895.53	12695.15	13055.64	12664.74	12601.32	12857.73	12861.43	11381.8	11065.74	15027.1	13426.65	15004.17	13192.12	11212.35	15847.71	13025.91	13174.69	9658.62	13180.76	12656.79	12926.51	12899.54	13515.84	13418.65	14508.73	13179.4	13740.42	15763.26	11235.74	14780.26	13307.66	10623.76	13806.61	16096.03	15521.78	9849.56	13214.79	13737.14	11387.46	10964.13	13459.39	13616.77	13597.19	12173.47	11731.55	14966.82	15266.25	9822.96	10314.54	12083.85	11319.47	11156.5	13432.25	12557.95	14623.43	10898.91	14184.51	9279.29	11472.84	9749.21	14218.9	12284.21	9779.53	10755.43	11178.71	12739.29	11084.92	13646.26	15149.97
