Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)	#72 (DAPI)	#73 (DAPI)	#74 (DAPI)	#75 (DAPI)	#76 (DAPI)	#77 (DAPI)	#78 (DAPI)	#79 (DAPI)	#80 (DAPI)	#81 (DAPI)	#82 (DAPI)	#83 (DAPI)	#84 (DAPI)	#85 (DAPI)	#86 (DAPI)	#87 (DAPI)	#89 (DAPI)	#90 (DAPI)	#91 (DAPI)	#92 (DAPI)	#93 (DAPI)	#94 (DAPI)	#95 (DAPI)	#96 (DAPI)	#97 (DAPI)	#98 (DAPI)	#99 (DAPI)	#100 (DAPI)	#101 (DAPI)	#102 (DAPI)	#103 (DAPI)	#104 (DAPI)	#105 (DAPI)	#106 (DAPI)	#107 (DAPI)	#108 (DAPI)	#109 (DAPI)	#110 (DAPI)	#111 (DAPI)	#112 (DAPI)	#113 (DAPI)	#114 (DAPI)	#115 (DAPI)	#116 (DAPI)	#117 (DAPI)	#118 (DAPI)	#119 (DAPI)	#120 (DAPI)	#121 (DAPI)	#122 (DAPI)	#123 (DAPI)	#124 (DAPI)	#125 (DAPI)	#126 (DAPI)	#127 (DAPI)	#128 (DAPI)	#129 (DAPI)	#130 (DAPI)	#131 (DAPI)	#132 (DAPI)	#133 (DAPI)	#134 (DAPI)	#135 (DAPI)	#136 (DAPI)	#137 (DAPI)	#138 (DAPI)	#139 (DAPI)	#140 (DAPI)	#141 (DAPI)	#142 (DAPI)	#143 (DAPI)	#144 (DAPI)	#145 (DAPI)	#146 (DAPI)	#147 (DAPI)	#148 (DAPI)	#149 (DAPI)	#150 (DAPI)	#151 (DAPI)	#152 (DAPI)	#153 (DAPI)	#154 (DAPI)	#155 (DAPI)	#156 (DAPI)	#157 (DAPI)	#158 (DAPI)	#159 (DAPI)	#160 (DAPI)	#161 (DAPI)	#162 (DAPI)	#163 (DAPI)	#164 (DAPI)	#165 (DAPI)	#166 (DAPI)	#167 (DAPI)	#168 (DAPI)	#169 (DAPI)	#170 (DAPI)	#171 (DAPI)	#172 (DAPI)	#173 (DAPI)	#174 (DAPI)	#175 (DAPI)	#176 (DAPI)	#177 (DAPI)	#178 (DAPI)	#179 (DAPI)	#180 (DAPI)	#181 (DAPI)	#182 (DAPI)	#183 (DAPI)	#184 (DAPI)	#185 (DAPI)	#186 (DAPI)	#187 (DAPI)	#188 (DAPI)	#189 (DAPI)	#190 (DAPI)	#191 (DAPI)	#192 (DAPI)	#193 (DAPI)	#194 (DAPI)	#195 (DAPI)	#196 (DAPI)	#197 (DAPI)	#198 (DAPI)	#199 (DAPI)	#200 (DAPI)	#201 (DAPI)	#202 (DAPI)	#203 (DAPI)	#204 (DAPI)	#205 (DAPI)	#206 (DAPI)	#207 (DAPI)	#208 (DAPI)	#209 (DAPI)	#210 (DAPI)	#211 (DAPI)	#212 (DAPI)	#213 (DAPI)	#214 (DAPI)	#215 (DAPI)	#216 (DAPI)
13.530	5141.8	5218.53	4244.81	4938.48	4695.03	3812.55	5534.2	6259.53	5592.39	5097.33	5912.14	2207.98	5788.33	4287.21	4398.87	3930.02	6843.25	5504.62	6252.56	5959.93	4227.5	3662.72	5720.65	4394.41	6687.98	4451.23	5726.49	3804.28	4523.23	5791.2	7348.9	7372.34	5204.91	3777.41	6429.43	5051.65	5400.29	4767.49	5177.47	3424.41	4926.98	6524.8	4065.88	4583.92	5079.88	5383.28	6108.49	5135.73	5238.37	4871.99	5696.03	5305.47	4467.29	3839.12	3142.32	6715.96	4372.39	7056.26	7490.23	4256.43	4257.5	5586.01	5114.47	5035.66	5087.05	5068.52	6448.94	5322.99	7369.32	4459.68	4371.77	4564.9	5154.25	4773.22	3628.25	5409.18	4522.76	5577.2	5286.05	5843.53	3652.96	4347.39	7127.52	5446.06	4707.05	5065.41	6178.07	6603.38	4996.24	5835.92	5847.98	5594.28	5450.1	5063.18	6549.35	5621.09	5948.66	5638.02	5505.04	4395.25	4731.29	3432.94	4498.38	4398.69	3496.48	5939.15	3736.26	6759.97	4587.51	5630.7	3144.09	8538.82	4579.86	6105.54	3960.47	5871.6	6185.47	6409.24	6303.12	6239.15	4116.07	5621.1	5960.11	6005.49	4511.94	2959.9	4055.22	3923.06	6221.73	4134.95	5130.92	3524.97	4656.03	4123.24	4786.19	5924.93	4295.08	4530.21	3710.03	3181.73	5086.3	5280.35	4974.08	6457.4	3886.81	4331.64	4149.2	4987.18	4005.45	5155.31	4978.54	4287.86	4981.32	4611.58	6575.04	4414.23	4249.3	5976.12	6788.74	5124.64	5541.99	4410.73	4379.38	4669.71	4119.46	6184.42	3562.32	5529.04	3835.58	6587.49	5850.26	3495.32	5184.05	2826.61	5513.7	4418.64	3853.9	4707.21	6089.55	4119.18	4669.36	3343.74	4227.12	3441.27	3332.61	4927.97	3225.4	3460.42	4894.35	6007.99	4953.31	4273.34	4368.08	6226.69	5591.98	4170.97	4056.59	3281.78	4685.68	3785.19	3169.85	3524.17	5401.23	4925.61	5068.66	5008.01	5381.26	3434.03	2779.19	5166.26	5371.62	4978.17	2686.72	4480.46	3558.51
43.451	6546.92	6677.46	5412.44	6313.88	5969.3	4827.45	7007.36	7958.26	7143.04	6541.32	7581.41	2716.54	7352.47	5469.07	5615.74	5026.46	8751.78	7072.27	7959.5	7593.65	5346.66	4597.77	7306.57	5634.69	8621.17	5717.87	7333.64	4827.93	5729.55	7414.91	9449.3	9483.2	6677.48	4788.01	8157.9	6403.89	6937.87	6140.99	6663.47	4259.44	6335.46	8380.52	5197.37	5834.69	6511.84	6905.94	7841.1	6615.52	6739.5	6262.58	7301.61	6730.22	5658.54	4893.4	3957.35	8610.26	5582.52	9029.93	9592.7	5481.91	5458.49	7195.73	6540.43	6390.58	6508.28	6489.57	8272.14	6864.44	9503.36	5744.33	5620.43	5820.35	6588.82	6137.2	4638.99	7017.4	5818.77	7176.19	6781.09	7481.04	4654.43	5526.36	9194.6	6983.19	6021.17	6458.58	7889.26	8516.23	6396.62	7501.74	7503.26	7139.82	6986.48	6474.21	8445.43	7203.43	7674.96	7269.28	7062.5	5569.38	6028.06	4321.35	5772.78	5626.94	4448.56	7635.6	4752.02	8639.91	5851.09	7265.48	3996.77	10850.32	5765.87	7857.84	5040.32	7545.81	7961.12	8274.12	8063.2	8024.4	5267.71	7236.35	7644.39	7730.87	5792.58	3730.27	5060.57	4943.02	8025.61	5289.66	6586.82	4452.93	5937.67	5234.77	6110.02	7633.38	5503.92	5791.23	4738.23	4075.04	6461.88	6800.19	6383.88	8274.03	4929.3	5449.45	5238.89	6434.03	5131.73	6591.24	6377.87	5489.56	6364.79	5896.16	8368.61	5561.74	5394.19	7677.48	8750.57	6612.56	7073.99	5650.3	5592.08	5968.92	5204.67	7862.05	4508.58	7115.14	4901.97	8399.54	7438.53	4405.97	6582.9	3533.36	7036.35	5635.4	4870.7	6043.35	7809.27	5257.7	5958.94	4194.38	5419.46	4370.96	4214.57	6261.2	4018.84	4373.43	6275.17	7736.35	6339.61	5472.98	5526.71	7849.65	7124.5	5286.69	5086.88	4087.27	5966	4731.01	3996.93	4406.07	6833.71	6204.91	6322.07	6225.9	6763.99	4320.07	3458.4	6561.93	6602.61	6255.54	3329.86	5660.05	4471.76
73.434	7858.3	8030.81	6495	7628.48	7140.43	5752.01	8363.99	9527.26	8602.14	7871.24	9104.13	3202.4	8803.28	6603.6	6735.48	6028.72	10479.46	8494.87	9544.02	9075.25	6407.53	5457.46	8743.25	6801.69	10415.22	6898.91	8798.82	5789.07	6850.79	8943.34	11376.35	11404.13	8022.65	5756.71	9742.34	7621.67	8361.32	7379.54	8039.38	5065.5	7610.24	10049.42	6215.52	6995.96	7835	8286.82	9442.63	7986.11	8128.09	7571.04	8786.6	8086.37	6775.64	5915.97	4738.56	10363.51	6741.2	10755.38	11504.78	6607.16	6560.41	8690.01	7876.25	7687.46	7821.3	7823.82	9959.87	8313.14	11453.73	6932.96	6732.95	6983.36	7909.79	7406.76	5589.27	8489.03	7029.23	8646.49	8153.15	8996.34	5621.55	6646.87	11025.83	8380.61	7242.51	7723.88	9471.6	10296.38	7715.07	9064.51	8981.17	8598.7	8474.15	7806.15	10184.44	8699.89	9263.06	8770.38	8467.93	6691.61	7218.52	5179.62	6947	6782.4	5364.96	9205.51	5757.76	10337.01	7044.92	8741.82	4814.61	12927.64	6857.82	9470.18	6063.63	9113.06	9566.88	9988.05	9675.17	9628.43	6353.89	8709.31	9170.93	9287.39	7007.59	4449.91	6036.36	5914.71	9652.96	6358.55	7940.34	5333.06	7112.46	6272.59	7343.84	9209.01	6594.04	6993.76	5725.74	4912.75	7730.1	8175.88	7695.65	9965.15	5881.41	6521.01	6276.77	7761.97	6168.58	7931.32	7645.19	6640.9	7674.7	7093.71	9997.08	6691.84	6448.11	9225.87	10528.39	7980.01	8511.29	6782.19	6760.46	7168.29	6247.42	9436.37	5398.29	8579.55	5915.55	10013.24	8886.77	5284.35	7886.48	4207.54	8447.72	6794.38	5856.69	7310.51	9401.1	6322.93	7136.61	4944.75	6503.17	5255.64	5063.61	7499.05	4755.56	5209.56	7550.12	9257.01	7601.2	6561.13	6619.9	9368.79	8514.38	6326.33	6019.49	4833.95	7161.75	5599.48	4743.31	5233.53	8152.52	7350.24	7402.72	7379.94	7998.01	5131.39	4093.52	7772.61	7735.16	7396.45	3933.17	6762.93	5313.82
103.589	9171.82	9356.86	7569.81	8906.88	8285.9	6675.33	9720.04	11070.69	10031.89	9201.72	10591.49	3693.12	10212.94	7708.01	7866.61	7072.37	12091.12	9852.41	11103.79	10547.04	7438.22	6337.37	10169.35	7970.46	12031.63	8084.62	10254.95	6763.79	7974.27	10444.27	12767.43	12699.79	9374.34	6700.44	11318.05	8857.37	9811.19	8644.43	9367.01	5891.58	8893.5	11531.47	7262.02	8165.88	9158.08	9663.87	10993.61	9366.26	9492.37	8851.49	10240.38	9417.45	7913.42	6916.87	5541.17	12033.12	7898.36	12514.05	13316.69	7763.77	7695.42	10201.58	9242.26	8960.18	9116.78	9130.82	11480.19	9777.67	12761.02	8122.45	7899.08	8161.58	9224.44	8669.91	6584.83	9954.42	8289.66	10053	9509.7	10473.15	6592.69	7748.5	12166.2	9792.96	8491.38	9013.91	11044.18	11936.55	9003.14	10561.53	10465.56	10017.12	9864.47	9102.36	11792.88	10198.82	10793.94	10244.91	9814.38	7799.36	8400.92	6033.92	8126.57	7939.26	6296.84	10769.32	6727.87	12006.51	8204.61	10215.31	5640.52	14576.53	7935.4	11061.41	7120.51	10642.45	11145.92	11424.93	11308.31	11248.44	7446.01	10181.65	10690.38	10807.44	8175.15	5171.77	6992.94	6874.85	11266.81	7451.31	9261.33	6203.45	8267.29	7316.28	8537.71	10725.81	7684.03	8189.85	6690.4	5767.4	9016.03	9588.28	8978.63	11624.51	6843.34	7572.96	7309	9036.51	7250.03	9237.38	8897.02	7758.4	8984.2	8290.63	11588.19	7807.31	7512.85	10734.16	12126.15	9315.71	9922.15	7903.64	7898.86	8365.29	7277.25	10922.05	6310.38	10026.3	6895.26	11611.14	10296.21	6148.52	9172.59	4890.22	9842.55	7950.6	6859.6	8516.25	10944.84	7378.57	8310.53	5697.88	7623.27	6131.46	5910.46	8694.01	5532.76	6074.35	8767.13	10795.08	8837.43	7657	7701.69	10799.34	9911.03	7333.3	6948.99	5578.39	8312.19	6487.92	5505.81	6049.13	9425.39	8480.62	8559.66	8509.93	9189.86	5950.37	4724.52	9002.94	8847.41	8493.53	4515.17	7842.54	6140.76
134.041	10517.73	10743.3	8726.22	10242.39	9475.53	7651.47	11047.38	12592.79	11521.69	10589.74	12135.48	4235.06	11727.37	8908.23	9107.63	8180.09	13210.73	11310.91	12668.58	12056.68	8543.51	7296.47	11688.81	9239.77	13060.11	9354.13	11702.16	7823.33	9179.84	11988.58	13463.32	13319.21	10761.18	7717.6	12896.81	10145.28	11313.75	9987.23	10815.08	6717.91	10211.64	12384.87	8386.45	9412.11	10553.64	11098.86	12259.03	10810.21	10947.26	10231.05	11771.08	10807.52	9111.31	8007.64	6392.18	13282.71	9122.39	14312.07	14687.47	8961.5	8876.65	11717.42	10651.17	10272.19	10515.35	10529.28	12444.64	11260	13335.44	9407.98	9115.52	9401.17	10574.07	10006.1	7647.34	11344.83	9597.01	11541.94	10916.16	12000.95	7645.96	8914.59	12680.25	11248.99	9788.36	10366.88	12635.73	12943.39	10405.61	11716.66	11935.33	11481.22	11405.94	10474.89	12821.33	11739.14	12038.79	11467.71	11241.83	8979.81	9655.7	6939.82	9362.44	9178.06	7291.86	11865.98	7798.81	13505.81	9449.41	11675.88	6521.94	15493.73	9088.76	12733.85	8246.15	12063.09	12160.44	12162.41	12887.06	12948.72	8623.84	11664.82	11922.89	11906.3	9439.44	5922.85	8021.12	7884.01	12791.38	8615.96	10643.97	7137.93	9488.23	8438.72	9802.76	12071.15	8854.93	9430.15	7728.79	6710.58	10379.57	11003.06	10383.38	12859.55	7851.54	8709.4	8410.69	10382.7	8384.1	10615.45	10231.64	8975.14	10355.76	9592.39	13243.61	8969.45	8628.24	12222.69	13202.37	10741.74	11375.89	9082.72	9150.71	9676.98	8331.88	12524.97	7241.8	11523.51	7999.03	13303.32	11775.42	7067.4	10539.22	5662.2	11310.96	9195.27	7893	9832	12548.5	8503.45	9546.33	6541.93	8794.77	7121.85	6831.4	9944.45	6333	6949.92	10089.81	12357.65	10129.62	8818.94	8818.41	12274.2	11312.61	8410.48	7939.02	6370.18	9511.11	7366.66	6327.87	6936.91	10769.52	9681.67	9701.32	9640.29	10399.36	6808.73	5406.55	10254.73	10019.1	9687.54	5125.59	8962.58	6993.91
163.993	11868.57	12118.05	9859.03	11593.57	10677.21	8631.65	12436.74	13976.16	12915.67	11930.67	13278.32	4765.16	13167.36	10080.97	10308.39	9331.14	13794.45	12769.64	14177.09	13525.1	9639.11	8232.62	13129.33	10477.85	13601.78	10621.97	12749.73	8843.25	10396.38	13244.94	13812	13627.73	11972.36	8729.39	14317.33	11398.38	12396.74	11312.5	12267.93	7599.38	11564.42	12790.34	9494.27	10642.2	11971.59	12318.34	12934.46	12021.8	12121.91	11445.98	13246.76	12229.58	10309.58	9084.55	7256.37	13952.43	10360.15	15379.58	15423.46	10196.87	10093.4	13270.12	12084.08	11590.6	11887.66	11801.08	12937.82	12293.51	13591.84	10691.66	10331.42	10672.03	11933.33	11286.62	8700.38	12209.17	10908.98	12951.88	12384.16	13467.1	8734.07	10059.79	12985.35	12455.6	11093.95	11722	14140.58	13398.73	11567.33	12321.67	13269.24	12979.06	12940.26	11787.71	13348.85	12762.77	12667.68	12145.91	12641.47	10186.53	10896.63	7836.03	10593.57	10410.92	8334.27	12414.6	8876.99	14357.26	10698.16	12581.23	7443.04	15899.21	10174.49	14068.29	9375.74	12899.56	12692.47	12525.6	14276.3	14225.65	9812.47	12877.86	12630.96	12462.85	10663.74	6711.58	9026.23	8891.96	13754.07	9784.16	11971.24	8058.87	10689.51	9515.77	11022.12	12837.67	10019.56	10691.85	8776.22	7653.8	11683.71	12362.91	11661.25	13493.71	8839.94	9828.43	9488.06	11518.76	9514.43	11954.47	11445.46	10171.19	11727.94	10854.19	14565.16	10109.37	9747.21	13126.42	13755.44	12114.92	12703.68	10257.41	10361.43	10920.09	9428.31	13989.69	8199.47	12724.55	9065.5	14705.85	13221.81	8001.17	11852.93	6422.65	12745.65	10406.33	8930.01	11114.3	13685.18	9609.29	10733.33	7344.76	9968.15	8087.56	7767.39	11185.61	7120.92	7847.31	11380.45	13865	11419.22	9913.29	9932.16	13672.48	12713.5	9432.76	8878.26	7166.03	10685.47	8301.25	7154.67	7771.84	12047.29	10827.46	10782.38	10765.02	11558.64	7673.74	6080.87	11484.11	11155.56	10761.47	5775.68	10101.7	7856.45
193.976	12598.43	12749.86	10470.08	12258.84	11295.33	9178	13158.34	14465.8	13491.24	12573.17	13650.86	5106.73	13893.76	10741.22	10988.22	9980.74	13933.17	13467.33	14752.95	14204.22	10303.24	8780.02	13837.89	11212.01	13784.44	11375.14	13135.61	9423.7	11032.69	13725.97	13895.76	13722.46	12378.82	9331.51	14814.03	12118.54	12789.22	12019.68	13092.44	8085.98	12138.04	12909.08	10134.5	11352.52	12723.59	12822.25	13135.29	12478.65	12525.57	11937.97	13954.94	12987.96	11003.25	9756.13	7733.16	14153.39	11085.41	15675.29	15645.07	10911.6	10753.21	14101.49	12914.88	12304.62	12630.5	12326.23	13063.79	12632.33	13651.04	11422.56	11091.29	11393.79	12670.37	11845.98	9353.58	12537.55	11579.82	13565.48	13146.36	14039.44	9399.66	10685.8	13059.33	12890.48	11850.88	12497.34	14722.53	13526.54	12048.51	12492.5	13726.02	13707.31	13789.24	12387.11	13505.02	13102.44	12851.75	12355.56	13310.96	10922.83	11602.16	8375.46	11286.15	11122.31	8927.74	12566.05	9469.28	14633.53	11368.21	12877.37	7983.58	16013.76	10774.63	14570.95	10070.17	13131.99	12841.79	12637.32	14760.2	14692.38	10500.15	13348.38	12855.69	12642.99	11186.48	7132.03	9628.13	9467.07	14043.44	10428.74	12535.44	8582.12	11351.88	10126.39	11702.15	13045.7	10638.87	11303.83	9372.17	8238.11	12400.36	12900.2	12250.3	13697.83	9376.31	10456.64	10109.16	11920.03	10171.13	12625.34	11920.18	10869.89	12519.44	11558.34	15004.97	10786.93	10366.71	13410.01	13902.87	12738.32	13268.91	10925.57	11090.1	11652.29	10037.97	14586.03	8739.01	13188.23	9683.89	15184.52	13960.26	8547.67	12543.7	6885.62	13502.76	11093.14	9478.27	11854.58	14051.75	10236.62	11428.56	7781.56	10652.75	8652.21	8287.4	11796.8	7609.98	8360.46	12104.74	14415.2	12090.03	10572.41	10515.4	14276.24	13425.81	10016.14	9408.55	7603.23	11316.44	8836.46	7642.44	8231.48	12752.85	11399.79	11353.4	11352.51	12108.12	8162.1	6465.24	12079.98	11720.06	11333.24	6152.37	10687.15	8323.25
223.944	13598.24	13435.36	11404.92	13088.95	12280.96	10051.12	14166.33	15017.05	14157.31	13308	14098.79	5621.5	14748.41	11814.62	12022.74	10954.46	14081.5	14298.56	15423.67	14925.73	11235.89	9603.6	14692.54	12274.03	13973.85	12275.24	13513.88	10368.32	12026.95	14278.63	14010.75	13830.63	12838.76	10162.35	15398.47	13188.87	13152.89	13170.03	14221.53	8834.75	12788.12	13007.04	11103.66	12392.15	13840.02	13386.78	13359.83	12953.89	12911.87	12429.18	14746.96	14087.4	12023.92	10725.62	8487.97	14369.79	12198.87	15956.11	15893.08	11988.52	11834.03	15049.36	14169.45	13429.68	13731.01	12908.47	13191.07	12922.61	13710.42	12409.16	12129.71	12476.61	13700.92	12455.8	10320.36	12860.21	12332.81	14271.1	14320.13	14747.72	10380.58	11505.77	13152.07	13363.31	12858.76	13598.04	15300.05	13666.51	12537.19	12691.8	14297.22	14513.84	14671.82	13071.01	13685.93	13449.21	13083.16	12591.83	14138.43	11970	12608.03	9140.79	12157.46	12015.6	9858.91	12727.02	10430.3	14983.19	12426.18	13209.26	8756.5	16131.3	11669.97	15102.28	11089.49	13399.74	13026.89	12773.61	15344.64	15142.04	11538.97	13842.82	13062.31	12813.92	11795.44	7808.56	10514.16	10358.73	14337.3	11407.89	13180.59	9427.92	12381.03	11028.91	12736.43	13293.85	11427.29	11986.31	10253.58	9126.03	13527.16	13476.22	12858.71	13884.8	10226.75	11406.1	11072.58	12392.57	11183.01	13413.79	12499.02	11881.19	13668.69	12633.04	15517.49	11761.82	11313.71	13709.13	14068.17	13410.38	13895.88	11950.07	12160.9	12731.04	10987.82	15268.03	9557.17	13674.23	10642.24	15638.39	14881.96	9355.52	13634.94	7585.78	14384.54	12186.53	10394.02	12852.28	14436.09	11179.51	12396.84	8479.97	11709.44	9514.5	9096.6	12816.98	8312.79	9126.84	13172.31	15105.59	13155.62	11527.48	11429.99	14898	14378.77	10876.18	10189.01	8290.65	12317.28	9593.13	8356.16	8953.78	13768.75	12332.94	12278.74	12283.83	12998.59	8896.95	7069.48	13075.94	12698.36	12212.58	6666.77	11649.01	9071.56
253.896	14209.63	13847.67	12152.64	13545.28	12974.57	10700.56	14774.96	15323.71	14513.96	13753.25	14331.37	6008.11	15190.4	12639.86	12879.12	11776.87	14144.16	14791.3	15758.78	15288.83	12033.97	10284.79	15157.99	13063.76	14089.86	12865.39	13735.08	11112.78	12878.71	14554.22	14075.52	13866.64	13083.02	10856.62	15729.25	14073.53	13379.1	13901.85	14913.1	9402.15	13161.41	13050.35	11903.73	13237.07	14530.69	13683.65	13476.14	13175.08	13091.06	12686.07	15169.04	14755.93	12836.87	11465.98	9134.48	14478.39	13073.06	16135.72	16030.59	12785.39	12694.42	15496.28	14885.07	14221.88	14377.12	13193.69	13234.85	13065.42	13729.21	13033.6	13061.75	13397.12	14318.7	12803.52	11066.14	13044.56	12753.34	14664.67	14962.78	15080.84	11188.33	11998.68	13198.61	13601.89	13476.82	14391.23	15652.33	13746.93	12817.57	12795.14	14614	14961.96	15116.41	13473.98	13768.29	13594.43	13201.83	12715.31	14606.53	12828.69	13419.06	9755.2	12747.2	12527.72	10609.52	12823.58	11148.4	15160.17	13280.51	13367.23	9431.63	16181.03	12388.11	15369.38	11908.5	13534.08	13130.66	12822.02	15628.61	15409.02	12401.93	14116.67	13153.62	12901.91	12111.79	8346.16	11185.54	11040.08	14467.96	12097.6	13563.99	10055.56	13187.94	11810.19	13435.54	13414.76	11897.91	12363.33	10940.48	9863.56	14304.77	13751.76	13192.97	13979.92	10917.27	12171.66	11785.8	12686.06	11931.75	13879.82	12801.68	12562.84	14363.66	13557.09	15778.89	12501.16	12053.43	13848.03	14137.14	13769.37	14175.38	12720.29	13040.83	13623.93	11770.37	15640.81	10221.9	13926.42	11410.22	15883.39	15410.59	10038.02	14396.09	8143.33	14892.59	13019.51	11094.21	13433.75	14612.93	11934.09	13220.02	9021.01	12536.74	10247.66	9749.62	13564.07	8883.52	9740.86	13922.7	15435.93	13837.38	12248.33	12161.66	15236.75	14880.87	11561.74	10819.48	8823.46	13131.54	10241.74	8959.2	9493.85	14496.29	13075.95	12978.01	12992.46	13573.78	9460.46	7547.1	13793.19	13381.96	12851.22	7128.61	12389.89	9641.6
283.911	14679.59	14146.85	12786.21	13882.67	13488.01	11325.1	15172.03	15560.73	14726.85	14027.44	14496.82	6404.81	15516.97	13380.04	13546.79	12513.17	14164.25	15107.34	15994.28	15557.65	12754.69	10928.47	15494.69	13653.74	14174.25	13242.95	13859.35	11871.63	13657.43	14738.69	14116.6	13892.4	13258.75	11442.99	15922.7	14709.46	13500.19	14458.79	15387.87	9993.05	13391.89	13079.68	12496.76	13933	14982.58	13887.9	13551.97	13307.97	13207.44	12849.72	15510.33	15270.66	13603.19	12048.21	9709.25	14535.44	13883.5	16214.22	16105.26	13371.57	13471.16	15803.42	15352.33	14827.93	14866.52	13379.07	13266.87	13174.77	13735.99	13445.33	13882.76	14219.88	14806.91	13023.74	11613.21	13176.65	13067.36	14909.83	15426.32	15304.81	11881.07	12349.79	13219.16	13780.45	13906.35	14966.32	15857.72	13787.73	13017.12	12857.79	14826.94	15294.78	15425.24	13688.74	13824.61	13697.32	13310.45	12800.42	14972.84	13528.64	14144.34	10389.53	13159.6	12885.87	11254.27	12876.78	11706.43	15261.86	13905.47	13463.26	10077.81	16204.1	12992.25	15527.09	12713.87	13610.27	13182.34	12865.31	15826.37	15541.38	13116.49	14315.33	13216.79	12957.71	12346.15	8845.26	11844.03	11717.53	14555.07	12571.83	13810.21	10687.95	13930.29	12520.8	13965.98	13502.18	12246.39	12609.26	11532.02	10568.37	14868.34	13947.51	13402.63	14030.78	11544.07	12874.02	12512.32	12898.28	12563.79	14165.57	13043.67	13086.71	14897.4	14301.34	15954.33	13278.38	12737.73	13927.84	14185.18	14012.89	14402.37	13463.58	13904.92	14389.78	12482.89	15846.41	10839.32	14086.63	12103.11	16063.97	15700.65	10653.27	14858.15	8700.46	15212.26	13705.04	11777.82	13877.05	14728.26	12628.7	13976.12	9540.21	13325.44	10922.73	10365.98	14250.1	9420.01	10352.18	14496.83	15668.39	14344.6	12932.26	12831.67	15468.88	15238.01	12166.87	11386.13	9320.21	13801.82	10844.54	9487.91	10030.19	14963.85	13686.2	13594.69	13630.49	13965.98	10002.84	7989.61	14396.95	13952.68	13459.41	7535.35	13048.17	10162.13
