?Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)	#72 (DAPI)	#73 (DAPI)	#74 (DAPI)	#75 (DAPI)	#76 (DAPI)	#77 (DAPI)	#78 (DAPI)	#79 (DAPI)	#80 (DAPI)	#81 (DAPI)	#82 (DAPI)	#83 (DAPI)	#84 (DAPI)	#85 (DAPI)	#86 (DAPI)	#87 (DAPI)	#88 (DAPI)	#89 (DAPI)	#90 (DAPI)	#91 (DAPI)	#92 (DAPI)	#93 (DAPI)	#94 (DAPI)	#95 (DAPI)	#96 (DAPI)	#97 (DAPI)	#98 (DAPI)	#99 (DAPI)	#100 (DAPI)	#101 (DAPI)	#102 (DAPI)	#103 (DAPI)	#104 (DAPI)	#105 (DAPI)	#106 (DAPI)	#107 (DAPI)	#108 (DAPI)	#109 (DAPI)	#110 (DAPI)	#111 (DAPI)	#112 (DAPI)	#113 (DAPI)	#114 (DAPI)	#115 (DAPI)	#116 (DAPI)	#117 (DAPI)	#118 (DAPI)	#119 (DAPI)	#120 (DAPI)	#121 (DAPI)	#122 (DAPI)	#123 (DAPI)	#124 (DAPI)	#125 (DAPI)	#126 (DAPI)	#127 (DAPI)	#128 (DAPI)	#129 (DAPI)	#130 (DAPI)	#131 (DAPI)	#132 (DAPI)	#133 (DAPI)	#134 (DAPI)	#135 (DAPI)	#136 (DAPI)	#137 (DAPI)	#138 (DAPI)	#139 (DAPI)	#140 (DAPI)	#141 (DAPI)	#142 (DAPI)	#143 (DAPI)	#144 (DAPI)	#145 (DAPI)	#146 (DAPI)	#147 (DAPI)	#148 (DAPI)	#149 (DAPI)	#150 (DAPI)	#151 (DAPI)	#152 (DAPI)	#153 (DAPI)	#154 (DAPI)	#155 (DAPI)	#156 (DAPI)	#157 (DAPI)	#158 (DAPI)	#159 (DAPI)	#160 (DAPI)	#161 (DAPI)	#162 (DAPI)	#163 (DAPI)	#164 (DAPI)	#165 (DAPI)	#166 (DAPI)	#167 (DAPI)	#168 (DAPI)	#169 (DAPI)	#170 (DAPI)	#171 (DAPI)	#172 (DAPI)	#173 (DAPI)	#174 (DAPI)	#175 (DAPI)	#176 (DAPI)	#177 (DAPI)	#178 (DAPI)	#179 (DAPI)	#180 (DAPI)	#181 (DAPI)	#182 (DAPI)	#183 (DAPI)	#184 (DAPI)	#185 (DAPI)	#186 (DAPI)	#187 (DAPI)	#188 (DAPI)	#189 (DAPI)	#190 (DAPI)	#191 (DAPI)	#192 (DAPI)	#193 (DAPI)	#194 (DAPI)	#195 (DAPI)	#196 (DAPI)	#197 (DAPI)	#198 (DAPI)	#199 (DAPI)	#200 (DAPI)	#201 (DAPI)	#202 (DAPI)	#203 (DAPI)	#204 (DAPI)	#205 (DAPI)	#206 (DAPI)	#207 (DAPI)	#208 (DAPI)	#209 (DAPI)	#210 (DAPI)	#211 (DAPI)	#212 (DAPI)	#213 (DAPI)	#214 (DAPI)	#215 (DAPI)	#216 (DAPI)	#217 (DAPI)	#218 (DAPI)	#219 (DAPI)	#220 (DAPI)	#221 (DAPI)
26.728	5186.68	5480.56	7877.46	4746.22	6997.89	5589.34	5761.58	6981.74	4534.12	6990.34	5983.08	7373.61	4619.53	7840.91	6532.43	6499.17	4906.56	4435.9	5568.75	6621.47	6427.22	9093.94	6007.7	6576.83	4787.94	5858.88	5498.22	6302.42	4454.37	6330.64	6141.16	7156.43	4820.18	6768.84	6741.55	6416.28	7068.41	7027.26	5424.49	4709.54	9398.72	4403.89	5553.18	6351.86	5097.13	9128.2	7775.26	5654.54	8240.53	7717.15	12921.68	6364.95	5358.33	4921.98	5851.32	4811.79	6758.13	4450.05	8650.06	5315.83	4322.97	9667.79	7127.95	8764.91	6689.72	4313.59	6640.31	8782.27	4196.41	5428.29	7144.75	7344.12	7335.78	9501.14	8604.26	8375.63	5370.91	5077.21	1158.46	6517.68	4791.57	7204.22	7873.56	6254.49	5661.83	6013.33	5660.58	4722.16	6514.6	7393.78	6811.26	7967.19	6204.76	6171.45	6749.72	4663.8	7321.28	6061.23	6660.52	5941.34	6169.38	6470.25	4922.31	7718.22	5953	4762.4	5240.94	7533.48	5616.54	7170.92	7145.91	7880.13	5657.26	5195.21	6662.42	4089.6	5748.99	4903.94	6434.05	6120.04	7947.81	5299.19	5536.55	5951.15	6141.41	2974.86	5224.2	4754.06	7076.57	7799.63	6709.97	4248.27	7666.2	5544.82	8107.89	6549.85	4987.77	5189.32	6100.83	5333.01	7106.59	5301.06	5639.9	5669.19	4705.42	5422.14	6045.51	5765.12	3591.42	6826.03	5405.33	6774.84	7244.96	8533.79	6761.01	5590.37	7900.61	6123.18	5254.57	6485.42	5409.53	4986.73	6851.04	4256	5722.5	4432.29	3776.67	5575.61	5368.56	4861.86	3964.11	4741.04	6257.5	3768.39	5379.37	4707.83	3465.96	4386.27	6403.15	4874.15	13113.5	4854.81	4725.33	6334.09	6607.38	4489.26	5173.31	6089	5430.11	6350.51	4834.18	5650.5	5329.27	3380.25	7741.36	6295.65	4834.3	4104.48	3913.34	4206.89	6752.09	4792.91	4662.08	6529.28	5051.34	5806.58	4250.07	5993.97	5060.56	4961.49	4637.23	5314.04	4887.79	4674.89	5143.7	2140.39	4100.93	5799.76	4997.42	3146.9	4440.77
56.664	6238.19	6664.72	9428.06	5715.1	8518.01	6832.18	6999.87	8410.6	5463.69	8468.49	7234.46	8866.59	5610.51	9482.58	7874.15	7770.32	5923.47	5318.12	6732.45	8073.04	7793.84	11011.5	7301.38	8013.18	5804.43	7133.04	6674.46	7642.32	5410.26	7694.83	7477.44	8689.51	5873.87	8230.62	8176.57	7755.54	8548.81	8527.01	6575.53	5743.73	11252.18	5380.55	6678.86	7707.51	6187.92	11091.57	9481.93	6887.53	9991.74	9370.32	14028.16	7744.45	6517.25	5970.44	7089.32	5790.02	8226.84	5385.29	10489.78	6450.26	5252.09	11680.8	8678.15	10627.12	8171.7	5243.59	8088.65	10567.48	5064.49	6589.67	8663.32	8913.15	8951.23	11390.43	10376.08	10131.41	6462.96	6100.72	1243.28	7865.56	5785.54	8732.29	9442.28	7570.63	6795.96	7286.17	6811.73	5701.86	8030.21	8931.22	8128.7	9574.24	7531.64	7491.38	8186.66	5623.93	8901.64	7357.5	8076.9	7225.97	7613.74	7861.7	5927.69	9348.7	7242.53	5794.7	6340.57	9122.62	6808.21	8702.7	8677.8	9541.7	6890.76	6290.44	8081.5	4957.79	7010.19	5953.77	7828.65	7396.22	9556.4	6412.42	6653.12	7194.72	7462.34	3566.78	6297.34	5752.17	8537.68	9403.56	8148.86	5145.15	9327.05	6761.12	9853.55	7911.79	5975.7	6249.55	7438	6468.33	8621.43	6432.35	6851.24	6881.77	5688.81	6493.73	7308.59	6973.94	4309.99	8227.76	6572.13	8200.28	8829.45	10363.49	8179.96	6766.09	9437.97	7356.8	6350.93	7872.82	6547.45	6066.01	8262.03	5138.63	6944.66	5346.71	4485.34	6640.71	6459.41	5870.91	4798.03	5702.53	7441.38	4543.59	6500	5693.11	4167.84	5287.14	7695.82	5890.44	14894.28	5873.25	5684.29	7646.5	7979.53	5343.42	6199.1	7323.42	6516.67	7622.05	5813.01	6789.73	6412.66	4035.02	9269.82	7493.13	5734.27	4914.01	4650.35	5030.09	8124.6	5757.84	5573.23	7765.91	6046.21	6869.78	5068.62	7174.39	6043.35	5891.59	5531.1	6345.63	5857.61	5578.39	6172.44	2490.1	4878.3	6848.5	5913.58	3707.07	5263.81
86.741	7499.97	8081.09	11213.87	6876.55	10302.71	8264.63	8480.09	10134.46	6596.88	10218.89	8760.14	10705.42	6819.91	11403.78	9486.98	9323.13	7140.75	6434.35	8151.04	9803.62	9467.27	12634.67	8874.14	9702.08	7030.57	8675.11	8097.34	9240.2	6580.89	9305.84	9080.2	10538.8	7136.83	9983.3	9883.37	9375.69	10328.16	10362.18	7976.22	7004.79	12541.65	6591.4	8067.33	9288.11	7507.26	12784.93	11310.8	8367.78	11973.62	11287.56	14467.84	9357.87	7921.59	7224.1	8570.8	6965.94	9968.99	6480.94	12003.24	7831.39	6398.92	13966.34	10517.16	12866.64	9907.56	6382.87	9828.92	12708.05	6113.69	7992.11	10483.21	10737.07	10840.23	12561.75	12424.23	12210.34	7778.11	7322.6	1376.32	9476.61	7020.47	10539.62	11313.94	9122.94	8216.39	8791.48	8188.71	6919.39	9713.03	10740.87	9748.19	11532.33	9104.86	9042.4	9917.85	6759.09	10807.08	8889.15	9776.93	8783.22	9226.9	9492.32	7129.3	11233.69	8743.34	7024.44	7673.71	11054.66	8283.91	10547.54	10535.5	11477.34	8357.09	7638.58	9763.65	6019.79	8504.62	7233.38	9475.14	8974.96	11481.92	7718.56	8006.88	8687	9013.64	4309.09	7581.22	6964.93	10259.82	11335.05	9832.39	6238.44	11200.7	8238.6	11675.28	9556.87	7139.45	7531.48	8992.14	7852.02	10421.45	7798.48	8262.54	8346.38	6888.62	7822.67	8835.01	8417.15	5211.36	9877.85	7938.87	9865.72	10669.81	12334.73	9890.16	8184.04	11272.67	8873.18	7652.2	9501.68	7926.25	7355.35	9993.5	6223.73	8387.74	6470.75	5353.22	7995.05	7805.69	7103.95	5792.16	6877.84	8898.98	5461.61	7837.91	6860.02	5038.07	6385.89	9196.23	7099.79	15791.35	7109.94	6842.72	9223.4	9603.36	6403.38	7462.67	8806.71	7767.56	9167.69	7002.07	8189.35	7697.92	4801.55	11064.33	8996.08	6796.07	5872.43	5549.09	5987.73	9745.35	6884.46	6693.04	9293.29	7209.01	8192.52	6063.01	8593.25	7219.25	6977.87	6560.65	7537.95	6996.61	6686.14	7377.55	2915.82	5800.53	8158.44	6943.18	4350.94	6283.67
117.208	8491.14	9232.89	12474.21	7826.72	11699.42	9503.19	9636.1	11433.24	7478.34	11575.51	9958.67	12151.41	7788.31	12751.05	10693.66	10466.69	8160.8	7322.33	9329.77	11205.37	10770.98	13122.57	10146.48	11048.05	8042.71	9927.13	9239.19	10471.23	7532.33	10655.27	10384.84	11875.26	8182.57	11345.72	11189.07	10656.02	11762.24	11802.35	9155.8	8026.28	12931.66	7596.63	9156.16	10632.02	8562.64	13342.52	12141.24	9580.52	12923.18	12825.22	14629.83	10665.56	9070.76	8259.75	9725.44	7973.68	11422.99	7402.1	12570.04	8933.91	7322.17	15058.29	12039.56	14314.92	11218.09	7315.52	11165.99	14042.83	7006.03	9148.35	11675.97	11784.48	11945.54	12895.12	13642.98	13710.45	8854.11	8322.27	1476.22	10722.63	8015.48	11615.98	12438.76	10395	9368.19	9985.19	9278.82	7906.54	10919.68	11705.45	10949.96	13021.14	10373.86	10304.99	11099.79	7703.26	12327.63	10138.09	11083.22	10028.11	10535.12	10719.39	8114.37	12715.52	9967.46	8056.47	8808.79	12389.7	9464.69	11642.07	11813.63	12846.68	9525.28	8686.04	11032.15	6918.93	9732.9	8299.11	10831.72	10256.92	12872.35	8817.58	9106.03	9856.89	10278.79	4933.88	8622.46	7924.18	11609.19	12829.42	11177.16	7108.16	12172.9	9449.63	12411.15	10848.66	8102.62	8568.45	10270.55	8933.29	11737.96	8872.52	9397.4	9535.69	7851.16	8918.59	10066.34	9608.58	5951.62	11164.82	9054.73	11238.6	12111.14	13204.43	11188.65	9321.39	12677.68	10057.83	8738.6	10798.62	9065.3	8453.13	11344.61	7089.98	9551.78	7346.38	6054.35	9020.83	8843.86	8126.69	6606.36	7777.24	10077.49	6219.99	8926.92	7782.1	5758.5	7298.45	10379.2	8123.32	16123.56	8135.37	7768.05	10457.73	10855.15	7233.61	8483.72	9979.46	8806.25	10369.18	7990.69	9298.87	8727.47	5442.63	12538.43	10164.28	7689.42	6656.59	6323.48	6760.32	11043.69	7853.53	7542.95	10446.55	8197.35	9255.26	6860.58	9713.54	8199.78	7874.88	7408.69	8610.77	7920.12	7519.51	8351.42	3285.91	6583.77	9143.38	7840.71	4906.5	7099.48
147.176	9821.67	10715.05	13909.24	9065.47	12934.59	10986.74	11145.46	12904.74	8642.5	13311.1	11498.37	13943.26	9045.72	13684.99	12232.53	12001.61	9463.98	8503.93	10815.71	12947.93	12431.13	13440.04	11815.35	12464.58	9326.57	11451.95	10687.49	12027.14	8756.59	12340.32	12122.66	12818.74	9557.22	12471.3	12872.36	12267.98	13566.85	13346.07	10636.25	9413.28	13120.03	8889.86	10599.71	12306.09	9970.33	13636.29	12667.29	11094.2	13425.06	14567.27	14710.83	11910.19	10531.06	9575.19	11240.76	9268.36	13245.33	8607.9	12938.64	10401.58	8545.8	15549.13	13961.69	15242.4	12282.57	8545.11	12329.4	15012.9	8146.98	10657.09	12498.78	12483.63	12581.2	13161.75	14473.9	14829.73	10247.69	9648.69	1639.43	11954.39	9268.53	12352.52	13262.75	12024.43	10869.55	11542.27	10716.55	9164.21	11815.57	12423.07	12533.84	14556.55	12078.96	11845.86	11939.93	8933.08	13818.95	11584.34	12137.71	11515.35	11749.3	11903.81	9370.69	14457.72	11576.57	9430.49	10213.34	13400.04	11029.76	12333.09	12774.35	13872.87	11104.31	10102.57	12055.47	8056.1	11193.15	9679.43	12099.31	11788.87	14023.95	10216.62	10480.32	11408.75	11671.02	5780.89	9974.8	9186.09	13333.25	14493.22	12884.54	8290.89	12770.56	10965.93	12847.47	12366.9	9333.62	9892.42	11926.96	10363.85	12709.65	10302.2	10856.38	11056.04	9131.92	10269.4	11650.36	11115.94	6935.28	12827.35	10566.21	12937.26	13226.89	13737.75	12478.3	10775.13	14258.56	11687.74	10143.09	12497.34	10531.1	9869.84	12830.11	8254.87	11053.05	8542.1	6971	10420.57	10199.82	9375.49	7695.74	8986.71	11539.24	7263.25	10286.31	9024.25	6749.14	8495.53	11934.72	9435.81	16312.77	9475.8	9000.26	12060.84	12509.04	8325.91	9812.4	11525.06	10137.99	12016.92	9263.82	10720.73	10097.35	6282.33	14380.55	11790.93	8773.73	7665.08	7280.49	7780.64	12627.17	9061.24	8678.71	11924.27	9410.72	10686.31	7930.81	11206.26	9422.36	9023.91	8531.14	9896.92	9113.44	8682.5	9630.08	3810.82	7597.99	10549.79	8923.21	5631.38	8121.7
177.128	10464.54	11494.31	14312.19	9706.2	13354.19	11761.06	11907.65	13383.71	9248.35	14168.87	12178.01	14647.51	9812.78	13920.91	12999.69	12732.82	10240.37	9189.39	11670.29	13709.59	13133.57	13497.6	12682.26	12948.93	10060.76	12083.65	11484.67	12637.97	9443.26	13129.19	12880.05	13071.33	10332.19	12789.16	13575.35	13125.54	14440.04	13846.67	11425.19	10209.36	13151.85	9682.2	11340.12	13263.16	10776.68	13701.77	12790	11719.02	13549.22	15139.1	14732.48	12334.66	11299.92	10282.41	12023.8	10001.98	14174.53	9286.49	13066.48	11164.05	9253.11	15711.94	14739.59	15551.96	12631.11	9274.14	12678.49	15277.49	8852.01	11544.99	12752.74	12677.4	12753.54	13222.54	14689.71	15152.5	10997.13	10385.15	1758.31	12341.76	10006.04	12559.5	13491.77	12918.53	11697.72	12376.68	11442.8	9890.52	12100.08	12635.69	13161.63	15041.77	12995.63	12461.07	12196.36	9617.87	14316.61	12107.98	12459.04	12063.96	12143.03	12314.29	10074.95	15059.71	12461.12	10171.35	10989.72	13656.58	11849.89	12539.58	13022.24	14177.54	11913.55	10854.03	12368.14	8747.52	11760.72	10432.49	12506.62	12415.43	14313.47	10973.05	11254.16	12120.93	12177.07	6276.91	10669.17	9865.55	14029.92	15069.45	13559.05	8979.52	12946.28	11632.36	12997.06	12887.92	10026.31	10620.84	12786.39	11131.86	12977.05	11091.1	11646.39	11887.4	9834.16	11054.3	12502.76	11962.47	7520.12	13609.57	11426.8	13845.81	13562.65	13867.27	12865.86	11566.97	14715.6	12522.7	10889.36	13399.69	11353.74	10692.55	13331.97	8926.97	11864.52	9205.04	7496.12	11125.81	10958.41	10097.4	8301.9	9609.09	12344.06	7862.81	11047.71	9737.37	7325.27	9177.27	12717.54	10161.54	16349.29	10261.96	9617.68	12907.02	13352.4	8928.08	10590.74	12387.82	10907.37	12892.45	9963.42	11512.55	10824.67	6760.94	15028.93	12671.78	9371.64	8257.1	7855.29	8358.54	13461.71	9711.09	9304.53	12687.39	10134.78	11449.14	8481.99	11992.73	10133.6	9644.74	9144.34	10607.36	9749.18	9298.01	10308.02	4109.79	8145	11230.01	9573.05	6027.08	8743.07
207.159	11408.35	12511.2	14725	10552.92	13739.75	12510.42	12752.85	13832.45	10009.24	14912.06	12809.16	15387.9	10734.21	14110.9	13867.85	13511.42	11226.28	10078.95	12719.12	14350.53	13694.97	13561.03	13484.71	13304.66	10968.42	12635.19	12293.59	13222.4	10335.95	13864.3	13525.88	13252.77	11263.53	13041.43	14150.7	14050.52	15284.77	14217.9	12222.41	11195.16	13181.6	10644.26	12303.64	14309.4	11763.59	13765.06	12901.28	12275.63	13643.65	15631.58	14743.8	12671.02	12048.13	11174.43	12880.39	10933.89	15026.4	10158.11	13168.33	11946.16	10159.82	15903.61	15432.03	15839.52	12921.42	10192.45	12925.87	15533.12	9716.43	12677.53	13014.93	12844.39	12901.45	13260.73	14891.72	15463.24	11966.56	11277.86	1903.85	12693.76	10888.09	12748.47	13679.13	13912.5	12763.78	13472.94	12218.74	10821.58	12369.09	12840.95	13761.29	15419.47	13897.63	13007.1	12441.37	10474.74	14744.84	12522.52	12696.68	12492.43	12471.22	12667.67	10946.84	15585.35	13580.23	11180.3	12056.51	13837.5	12636.87	12692.87	13221.07	14443.09	12721.93	11683.31	12638.97	9592.9	12246.31	11350.79	12863.13	12949.49	14558.79	11964.96	12208.21	12791.83	12640.12	6922.06	11354.22	10740.04	14556.53	15522.11	14160.57	9846.51	13123.72	12239.56	13090.43	13276.24	10924.08	11548.55	13666.65	11962.27	13195.25	11840.84	12325.88	12680.34	10737.74	12006.37	13596.58	13005.89	8207.35	14448.67	12469.75	14664.12	13853.77	13990	13227.23	12526.87	15087.71	13605.94	11870.09	14404.63	12365.46	11728.4	13706.11	9758.02	12853.24	10042.45	8157.34	12045.77	11873.63	11033.85	9070.24	10434.42	13293.42	8629.19	12049.62	10569.57	8055.45	10025.78	13728.5	11128.72	16367.81	11265.39	10524.88	13954.16	14366.89	9662.43	11533.7	13447.76	11871.22	13944.98	10841.96	12503.68	11732.44	7375.91	15516.73	13775.65	10147.08	9002.83	8581.17	9025.38	14340.42	10557.21	10068.47	13606.55	10973.48	12370.55	9236.91	12976.63	10996.58	10491.15	9880.07	11482.42	10560.69	10080.08	11179.59	4512.5	8902.39	12175.93	10345.8	6592.21	9474.76
237.111	12193.96	13182.47	14943.97	11263.02	13959.56	13004.3	13262.02	14080.79	10670.23	15311.07	13171.55	15740.98	11518.39	14208.85	14374.89	13925.25	12033.93	10820.11	13560.93	14677.63	13986.23	13613.15	13932.26	13479.75	11637.52	12925.42	12771.33	13549.3	11093.19	14266.71	13890.61	13342.45	11925.57	13139.97	14476.12	14651.96	15737.72	14370.78	12681.86	11941.05	13190.31	11459.26	13075.14	14954.05	12467.64	13791.63	12929.32	12588.36	13688.17	15883.38	14748.56	12851.99	12455.94	11920.99	13420.4	11750.69	15490.33	10914.35	13238.66	12439.58	10881.06	15992.01	15775.4	15983.44	13083.35	10951.84	13066.68	15702.85	10460.72	13580.73	13177.39	12929.43	12969.55	13264.98	15002.4	15652.63	12705.3	12033.07	2055.82	12905.66	11540.58	12823.41	13797.31	14532.49	13573.67	14271.11	12728.72	11555.52	12510.28	12975.03	14120.45	15644.67	14424.53	13281.37	12579.51	11248.17	14996.41	12741.33	12808.7	12699.9	12620.27	12867.65	11675.42	15850.05	14357.77	12082.06	12873.1	13910.29	13093.23	12759.57	13325.63	14560.8	13165.64	12261.59	12806.97	10349.59	12495.13	11930.1	13064.82	13244.88	14662.08	12770.01	13001.82	13249.34	12900.22	7504.17	11786.85	11467.63	14866.02	15764	14483.21	10595.82	13206.91	12565.96	13136.96	13495.95	11663.99	12357.24	14186.69	12465.66	13276.14	12338.11	12720.43	13165.87	11456.09	12832.67	14408.16	13796.29	8838.84	14985.46	13368.38	15101.49	14012.2	14040.29	13419.22	13154.51	15285.14	14363.81	12722.04	14997.49	13176.27	12556.88	13904.22	10474.43	13484.18	10761.25	8715.84	12829.68	12667.76	11816.92	9740.56	11097.23	13916.63	9304.57	12867.63	11310.04	8710.37	10775.4	14418.9	11952.32	16371.35	12054.37	11208.08	14591.92	14929.95	10296.18	12365.07	14286.54	12717.38	14655.86	11636.88	13337.89	12479.29	7894.13	15786.01	14563.9	10805.91	9599.21	9151.43	9601.07	14815.05	11248.67	10660.27	14189.13	11745.7	13222.38	9875.95	13812.75	11833.83	11166.65	10507.51	12165.79	11265.5	10730.16	11871.91	4842.63	9492.89	12907.67	10986.68	7053.28	10104.98
267.047	12797.66	13653.75	15007.31	11858.97	14108.08	13304.08	13580.13	14243.89	11158.46	15574.53	13421.7	15953.89	12163.09	14282.93	14666.58	14203.09	12766.53	11445.11	14130.95	14858.98	14145.98	13635	14206.95	13575.55	12129.15	13103.42	13066.27	13767.61	11724.52	14503.28	14118.93	13380.46	12343.96	13200.83	14697.1	15038.27	15970.32	14439.54	12962.31	12417.74	13191.72	11982.89	13750.27	15327.42	12923.6	13799.19	12954.62	12776.76	13717.04	16053.73	14752.3	12966.9	12706.94	12435.8	13745.72	12407.74	15776.51	11564.29	13265.18	12695.55	11470.27	16068.56	15997.06	16082.65	13182.21	11541.83	13122.5	15811.05	11130.46	14363.67	13288.94	12973.1	13010.22	13274.69	15071.77	15762.61	13150.78	12649.04	2195.89	13070.49	11988.74	12881.2	13866.96	14952.36	14105.24	14786.04	13073.69	12129.02	12601.06	13059.81	14352.61	15806.77	14742.58	13460.68	12680.71	11891.37	15164.49	12859.93	12875.85	12804.62	12701.5	12968.83	12294.94	16006.62	14871.82	12812.39	13459.73	13948.03	13360.04	12799.44	13366.37	14653.61	13420.09	12589.79	12893.98	10957.08	12647.16	12256.45	13191.86	13412.8	14741.01	13525.67	13608.89	13506.86	13067.87	8033.88	12068.14	12074.91	15073.46	15904.85	14681.09	11223.94	13260.1	12776.11	13158.11	13652.65	12263.18	12991.78	14512.49	12769.89	13331.49	12645.18	12961.38	13444.94	12096.95	13499.94	14912.04	14291.03	9385.13	15333.48	14145.14	15384.92	14112.51	14072.49	13554.15	13555.34	15432.96	14819.14	13438.7	15370.57	13687.8	13117.59	13978.88	11080.07	13923.51	11376.97	9177.45	13481.64	13241.15	12456.66	10343.85	11653.91	14274.24	9916.88	13482.7	11903.27	9265.22	11422.69	14834.9	12634.22	16374.97	12793.91	11822.77	15017.97	15298.61	10809.29	13090.43	14827.65	13421.19	15114.27	12308.95	13981.1	13124.13	8320.1	15945.4	15091.52	11292.38	10125.23	9729.8	10113.2	15090.85	11816.56	11200.32	14520.08	12392.51	13776.35	10365.77	14440.19	12456.99	11674.68	11034.39	12757.06	11842.91	11270.53	12474.15	5198.12	10047.1	13592.24	11547.24	7482.04	10633.9
297.046	13648.76	14126.61	15212.62	12693.64	14264.3	13626.79	13913.48	14439.37	11901.1	15826.27	13658.32	16135.47	12989.26	14355.34	15009.78	14535.06	13754.03	12345.97	14719.73	14994.3	14263.06	13656.9	14404.49	13623.69	12606.07	13237.27	13369.19	14001.02	12616.05	14728.12	14311.19	13417.38	12721.47	13246.56	14882.83	15452.54	16169.98	14490.06	13175.46	12830.18	13194.62	12445.24	14569.27	15715.89	13353.15	13803.79	12955.49	12937.82	13742.59	16192.11	14746.92	13062.52	12949.12	12996.89	14109.77	13398.23	16026.45	12431.13	13293.84	12922.77	12062.65	16137.89	16189.09	16177.58	13276.64	12068.06	13168.56	15917.01	12006.47	15175.41	13385.03	13013.42	13036.98	13285.6	15157.5	15854.17	13667.99	13314.3	2392.38	13224.83	12473.26	12915.9	13948.12	15385.22	14597.34	15332.13	13486.23	12732.02	12692.25	13152.48	14624.93	15971.35	15059.53	13626.19	12767.65	12745.34	15323.57	12983.77	12934.37	12885.62	12778.8	13077.14	13186.67	16131.4	15396.43	13733.29	14010.79	13964.13	13570.55	12838.54	13406.99	14734.9	13640.63	12935.54	12980.62	11628.8	12750.61	12566.49	13284.32	13560.07	14838.66	14392.32	14284.62	13775.43	13250.88	8691.94	12341.39	12767.21	15327.82	16031.07	14861.67	12072.08	13311.84	12963.32	13161.3	13795.19	13114.06	13854.69	14807.46	13095.69	13360.4	12918.54	13175.48	13740.58	12862.7	14337.18	15434.4	14836.56	10153.18	15666.89	14860.79	15661.16	14202.46	14095.26	13663.75	13931.98	15563.96	15270.33	14315.82	15717.32	14168.71	13698.11	14062.75	11893.95	14355.79	12203.09	9820.84	14316.24	13880.55	13251.74	11124.36	12412.35	14750.45	10714.05	14290.15	12745.24	10032.1	12280.84	15275.96	13553.53	16378.99	13765.08	12660.14	15446.52	15642.85	11523.28	14000.11	15401.56	14252.25	15611.65	13200.36	14679.28	13954.56	8965.16	16054.42	15530.58	12047.65	10849.51	10413.55	10758.66	15399.36	12629.55	11906.85	14878.26	13306.55	14450.79	11143.12	15165.93	13357.55	12473.76	11783.53	13604.74	12572.22	11975.17	13327.14	5605.97	10769.13	14329.98	12305.23	8053.19	11374.95
