?Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)	#72 (DAPI)	#73 (DAPI)	#74 (DAPI)	#75 (DAPI)	#76 (DAPI)	#77 (DAPI)	#78 (DAPI)	#79 (DAPI)	#80 (DAPI)	#81 (DAPI)	#82 (DAPI)	#83 (DAPI)	#84 (DAPI)	#85 (DAPI)	#86 (DAPI)	#87 (DAPI)	#88 (DAPI)	#89 (DAPI)	#90 (DAPI)	#91 (DAPI)	#92 (DAPI)	#93 (DAPI)	#94 (DAPI)	#95 (DAPI)	#96 (DAPI)	#97 (DAPI)	#98 (DAPI)	#99 (DAPI)	#100 (DAPI)	#101 (DAPI)	#102 (DAPI)	#103 (DAPI)	#104 (DAPI)	#105 (DAPI)	#106 (DAPI)	#107 (DAPI)	#108 (DAPI)	#109 (DAPI)	#110 (DAPI)	#111 (DAPI)	#112 (DAPI)	#113 (DAPI)	#114 (DAPI)	#115 (DAPI)	#116 (DAPI)	#117 (DAPI)	#118 (DAPI)	#119 (DAPI)	#120 (DAPI)	#121 (DAPI)	#122 (DAPI)	#123 (DAPI)	#124 (DAPI)	#125 (DAPI)	#126 (DAPI)	#127 (DAPI)	#128 (DAPI)	#129 (DAPI)	#130 (DAPI)	#131 (DAPI)	#132 (DAPI)	#133 (DAPI)	#134 (DAPI)	#135 (DAPI)	#136 (DAPI)	#137 (DAPI)	#138 (DAPI)	#139 (DAPI)	#140 (DAPI)	#141 (DAPI)	#142 (DAPI)	#143 (DAPI)	#144 (DAPI)	#145 (DAPI)	#146 (DAPI)	#147 (DAPI)	#148 (DAPI)	#149 (DAPI)	#150 (DAPI)	#151 (DAPI)	#152 (DAPI)	#153 (DAPI)	#154 (DAPI)	#155 (DAPI)	#156 (DAPI)	#157 (DAPI)	#158 (DAPI)	#159 (DAPI)	#160 (DAPI)	#161 (DAPI)	#162 (DAPI)	#163 (DAPI)	#164 (DAPI)	#165 (DAPI)	#166 (DAPI)	#167 (DAPI)	#168 (DAPI)	#169 (DAPI)	#170 (DAPI)	#171 (DAPI)	#172 (DAPI)	#173 (DAPI)	#174 (DAPI)	#175 (DAPI)	#176 (DAPI)	#177 (DAPI)	#178 (DAPI)	#179 (DAPI)	#180 (DAPI)	#181 (DAPI)	#182 (DAPI)	#183 (DAPI)	#184 (DAPI)	#185 (DAPI)	#186 (DAPI)	#187 (DAPI)	#188 (DAPI)	#189 (DAPI)	#190 (DAPI)	#191 (DAPI)	#192 (DAPI)	#193 (DAPI)	#194 (DAPI)	#195 (DAPI)	#196 (DAPI)	#197 (DAPI)	#198 (DAPI)	#199 (DAPI)	#200 (DAPI)	#201 (DAPI)	#202 (DAPI)	#203 (DAPI)	#204 (DAPI)	#205 (DAPI)	#206 (DAPI)	#207 (DAPI)
29.973	5174.58	6273.17	4345.58	5679.17	4717.31	5867.21	5962.44	7023.42	3844.97	4122.54	7282.95	6453.44	7645.1	6068.26	4719.85	6139.49	6093.84	6414.95	6081.09	7194.84	5669.37	6308.72	6619.25	7098.87	7762.7	4551.16	5091.3	5587.57	5679.73	5509.61	9205.91	4795.83	7220.08	5960.44	5569.75	6680.11	3235.63	6098.94	6051.83	4875.62	6230.27	6345.3	5598.33	4721.21	6339.3	7255.87	6491.22	6448	7686.22	6852.09	8291.22	5749.03	5018.58	4649.66	6207.25	6387.29	6970.33	2670.76	4409.84	5456.94	6716.27	5040.34	5954.02	4621.35	4928.2	4484.95	6622.56	4764.02	6480.26	5061.67	5913.76	4159.64	4561.1	6656.77	5729.32	7449.86	5735.15	5805.35	4034.3	7453.51	5759.01	6559.6	3932.36	4958.14	6539.85	4383.33	6395.46	5299.22	8735.57	6790.06	6968.33	4803.46	7710.68	5830.19	6007.19	5099.34	7682.32	4621.66	4738.46	4299.98	7635.03	7443.93	5681.78	6586.16	9146.36	5104.56	7360	6978.23	3435.66	6507.92	7207.88	5421.31	7452.19	7604.32	6480.37	6797.38	4981.22	3598.49	6350.35	5119.82	6358.79	4667.87	5378.68	5310.14	5430.01	5348.38	5561.64	7009.12	4817.85	4248.32	6685.13	5270.34	8923.29	5591.91	5091.03	3723.54	6458.24	6528.18	5748.11	3833.35	4971.99	7583.49	7390.81	6885.55	6115.91	5602.99	4648.35	6099.26	6304.67	4458.97	5571.98	4227.8	5057.11	4834.2	3142.17	5608.73	4273.78	7107.49	8583.99	6228.96	6754.87	4095.81	5111.83	6405.8	5951.49	3194.14	4591.85	3763.66	5608.36	3593.17	5945.03	5830.31	5234.95	5670.37	4382.24	5908.28	8172.39	6831.45	5030.76	5190.26	4760.24	3716.89	6348.11	4272.56	4898.87	4175.34	6200.38	6260.27	6074.59	3578.62	4138.27	3729.58	4089.35	6425.06	4114.16	4314.68	5605.33	3881.28	3410.51	5500.32	3928.19	3492.03	4928.02	4619.75	5047.38	4844.97	4436.3
59.972	6087.73	7477.44	5198.45	6753.61	5598.87	7010.47	7113.66	8347.78	4570.17	4862.11	8630.45	7713.91	9080.34	7256.63	5646.85	7338.57	7277.46	7669.95	7209.86	8553.71	6720.16	7533.7	7919.56	8466.17	9275.42	5441.72	5996.06	6652.66	6712.1	6485.53	10923.24	5728.9	8596.12	7135.33	6601.87	7920.25	3819.99	7286.99	7235.48	5827.32	7388.01	7520.74	6653.89	5604.15	7598.11	8640.15	7776.49	7695.54	9182.85	8185.22	9829.67	6770.7	5980.15	5550.12	7424.26	7621.76	8281.54	3128.8	5246.62	6482.44	8016.9	6022.79	7118.52	5446.69	5899.49	5324.61	7878.16	5689.1	7725.96	6008.37	7076.35	4946.08	5432.95	7962.53	6832.62	8867.17	6805.76	6939.68	4793.14	8896.21	6904.07	7783.79	4694.84	5878.07	7762.53	5179.2	7671.03	6348.94	10441.02	8108.83	8307.46	5663.96	9217.6	6923.06	7150.38	6120.82	9162.48	5501.54	5647.82	5089.56	9079.82	8865.29	6748.6	7811.68	10899.58	6105.61	8743.14	8316.71	4064.39	7764.04	8595.22	6470.46	8896.86	9053.72	7737.25	8135.01	5938.77	4280.06	7570.63	6105.58	7555.83	5538.41	6407.67	6324.41	6457.36	6289.72	6632.34	8316.42	5686.56	5018.46	7956.63	6303.11	10576.21	6671.46	6058.98	4427.91	7672.55	7791.75	6859.44	4516.46	5923.22	8990.94	8780.32	8177.54	7310.07	6661.1	5527.61	7255.65	7477.83	5282.78	6565.18	4993.85	6018.3	5762.06	3705.47	6686.44	5089.84	8430.58	10236.35	7441.6	8034.87	4862.34	5991.22	7640.21	7068.1	3767.09	5421.91	4411.16	6567.51	4230.02	7054.56	6912.29	6223.46	6739.51	5167.3	6993.2	9609.97	8063.83	5971.88	6165.97	5652.09	4404.89	7508.15	5061.02	5743.05	4909.18	7272.81	7395.24	7160.71	4213.24	4883.41	4421.19	4813.02	7544.96	4834.96	5074.4	6614.5	4549.4	3987.12	6469.93	4569.85	4093.13	5819.99	5423.26	5944.55	5703.85	5188.78
90.049	7309.36	8970.35	6246.14	8121.38	6753.08	8459.41	8582.86	10057.3	5507.7	5822.01	10302.45	9314.41	10899.51	8725.37	6829.18	8858.54	8785.75	9228.43	8629.73	10288.06	8097.82	9063.99	9538.17	10213.35	11165.37	6575.06	7125.24	8014.73	8040.27	7770	13065.83	6883.06	10327.78	8617.82	7927.21	9475.79	4551.01	8781.3	8752.08	7074.55	8908.37	9093.46	7996	6737.27	9124.56	10392.49	9386.12	9263.44	11008.4	9870.93	11768.85	8094.75	7188.74	6721.16	8997.34	9171.32	9957.56	3712.37	6298.34	7814.59	9696.66	7287.13	8592.29	6523.22	7113.77	6400.99	9523.33	6860.83	9295.89	7208	8541.05	5943.74	6552.61	9605.57	8222.29	10664.11	8228.97	8373.62	5810.24	10705.92	8312.44	9341.68	5667.84	7056.23	9318.48	6184.38	9260.45	7689.88	12548.23	9782.87	9992.64	6764.71	11075.84	8316.24	8602.71	7375.33	11047.67	6604.4	6813.32	6110.28	10767.98	10645.62	8134.92	9414.31	13060.14	7371.46	10504.61	9986.58	4881.44	9316.93	10322.82	7794.56	10730.14	10927.74	9288.6	9742.6	7121.75	5175.6	9086.67	7335.05	9038.03	6607.34	7684.38	7580.81	7760.92	7510.27	7979.71	9921.79	6826.71	6001.9	9594.48	7592.15	12227.89	8022	7281.04	5322.16	9169.43	9373.33	8241.5	5369.33	7105.35	10752.91	10515.32	9803.81	8764.46	8016.12	6652.12	8715.47	8888.77	6334.52	7814.3	5981.02	7233.54	6902.39	4468.13	8039.39	6103.47	10075.93	12239.84	8936.08	9637.65	5852.64	7124.25	9151.3	8467.17	4523.7	6496.85	5246.67	7850	5025.59	8452.82	8253.11	7473.35	8068.55	6193.95	8322.41	11431.3	9584.75	7099.97	7397.53	6783.1	5265.73	8970.35	6047.91	6777.74	5867.04	8683.06	8774.39	8582.37	5021.39	5808.71	5259.65	5716.24	8916.89	5710.37	6028.57	7874.89	5375.6	4703.96	7670.71	5408.57	4826.23	6897.09	6487.99	7109.46	6762.09	6139.75
120.500	8388.57	10305.59	7215.89	9325.82	7756.8	9699.82	9909.05	11555.83	6366.97	6694.23	11766.5	10711.94	12395.49	10031.99	7925.89	10204.28	10106.1	10611.72	9850.26	11774.98	9326.07	10428.78	10971.34	11738.74	12378.09	7610.98	8176.41	9227.33	9175.74	8896.71	14341.71	7967.13	11806.72	9925.31	9108.23	10907.62	5245.37	10119.66	10099.78	8179.65	10237.48	10426.32	9194.81	7751.28	10475.93	11880.58	10803.62	10716.93	11996.53	11265.14	13219.48	9253.19	8248.73	7745.19	10407.85	10508.98	11418.53	4261.11	7256.55	9023.81	11126.04	8430.44	9929.08	7474.01	8210.49	7330.11	10957.43	7926.56	10705.03	8269.14	9834.73	6844.14	7533.39	11018.59	9480.17	11821.83	9458.23	9625.59	6683.03	12252.19	9543.47	10663.64	6568.72	8120.65	10658.21	7104.79	10657.93	8876.35	14175.82	11238.1	11391.02	7764.27	12402.73	9543.01	9903.03	8516.49	12631.85	7609.95	7866.96	7026.43	11697.02	11816.41	9327.27	10799.45	14724.79	8469.23	11658.66	11228.88	5654.42	10714	11841.75	8999.34	12292.87	12371.91	10639.81	11168.08	8178.93	5997.53	10413.4	8436.98	10333.66	7594.51	8832.03	8725.28	8908.3	8556.48	9174.15	11329.11	7815.11	6883.03	11012.8	8793.08	12878.85	9225.74	8369.29	6119.04	10533.97	10793.74	9448.66	6154.29	8152.69	12273.6	12073.53	11228.6	10062.34	9205.37	7635.53	9996.67	10150.46	7317.01	8938.66	6853.83	8302.09	7917.83	5128.15	9204.32	7016.81	11533.88	13917.01	10254.48	11029.02	6733	8117.16	10452.9	9680.12	5207.2	7406.13	5980.29	8956.84	5733.12	9684.65	9448.12	8583.78	9237.41	7085.85	9525.23	12979.51	10949.39	8139.95	8471.18	7764.09	6064.67	10242.75	6903.21	7749.63	6713.6	9862.66	9991.66	9739.98	5733.79	6679.83	6010.83	6525.48	10153.76	6529.73	6907.96	9023.01	6113.08	5377.23	8747.84	6150	5514.56	7847.26	7398.76	8094.68	7715.42	6985.07
150.452	9447.49	11608.02	8164.39	10542.24	8783.7	10956.57	11230.09	13007.59	7217.99	7623.75	13191.57	12110.56	13377.16	11344.81	9036.51	11557.27	11429.56	11965.19	11078.36	13246.69	10532.75	11751.72	12357.17	12878.86	13024.7	8640.63	9189.84	10445.99	10321.4	10021.36	15012.72	9026.08	12932.46	11195.91	10255.67	12277.45	5919.59	11361.54	11379.43	9321.62	11503.16	11801.99	10407.73	8764.52	11827.48	12860.27	11842.85	11688.1	12475.51	12057.17	13961.13	10424.17	9346.66	8791.15	11385.31	11561.99	12786.39	4806.2	8219.21	10195.44	12052.05	9590.07	11146.89	8434.02	9289.64	8311.93	12042.66	9004.02	11683.28	9350.16	11117.39	7772.3	8543.43	12130.25	10737.89	12463.96	10684.41	10913.29	7627.29	13617.85	10815.78	11546.43	7471.63	9148.07	11840.54	7999.17	12062.53	10081.46	15164.13	12510.99	12135.82	8750.46	13080.62	10752.46	11180.66	9678.66	13922.18	8611.81	8899.52	7964.58	12265.7	12420.62	10573.51	12196.4	15540.12	9625.06	12384.58	11951.41	6437	12112.11	13347.43	10198.39	13360.93	13249.43	11660.02	12585.36	9263.43	6826.89	11731.3	9543.51	11632.74	8559.86	9979.09	9847.85	10049.71	9629.45	10354.59	12661.45	8844.54	7769.42	12306.35	9965.4	13185.91	10432.27	9468.23	6937	11876.97	12168.18	10683.85	6942.17	9231.7	13747.62	13647.44	12649.31	11367.08	10381.17	8644.42	11248.72	11395.67	8284.57	10108.91	7777.08	9376.73	8982.43	5828.65	10375.05	7965.84	12951.56	15006.9	11561.19	12310.44	7629.34	9119.13	11794.35	10924.43	5914.09	8342.63	6707.85	10073.03	6463.47	10915.8	10639.67	9685.9	10405.96	7993.03	10688.2	14468.19	12247.19	9170.63	9551.63	8779.15	6860.35	11489.43	7808.97	8697.69	7554.76	11080.72	11181.67	10951.08	6449.11	7517.62	6776.78	7340.25	11343.24	7381.43	7757.38	10157.92	6855.3	6049.31	9789.17	6926.63	6166.28	8809.11	8316.54	9046.93	8632.08	7846.1
180.436	10341.14	12708.09	9017.56	11547.62	9637.39	12010.72	12330.52	13865.86	7984.11	8361.3	14087.7	12925.57	13839.21	12417.55	9994.64	12591.86	12351.21	12734.1	12103.22	14263.92	11533.78	12856.34	13200.52	13433.12	13347.74	9541.33	10048.69	11412.16	11272.07	10979.46	15357.64	9916.24	13533.89	11984.12	11213.96	13408	6519.62	12080.89	12069.09	10293.51	12567.43	12935.92	11435.81	9638.76	12837.77	13380.47	12371.25	12178.88	12699.58	12454.9	14271.57	11377.58	10252.37	9693.11	11888.45	12125.78	13596.51	5282.32	9035.76	11166.19	12508.94	10590.92	11832.34	9234.84	10209.59	9125.46	12513.8	9917.93	12163.97	10250.94	12212.38	8550.1	9379.88	12664.73	11617.51	12773.91	11428.96	11852.28	8436.55	14287.13	11877.47	12025.81	8232.67	10038.07	12466.16	8787.25	13253.04	11133.55	15611.44	13138.52	12476.47	9591.89	13408.18	11568.44	12246.51	10672.08	14558.14	9432.88	9818.5	8751.02	12531.45	12718.17	11590.35	13327.16	15863.82	10550.94	12724.41	12309.55	7132.89	13260.31	14465.62	11209.18	13881.09	13652.53	12182.03	13755.62	10163.89	7563.77	12468.59	10467.52	12704.37	9389.03	10969.94	10752.57	10892.97	10475.09	11134.11	13714.83	9724.46	8527.55	13039.98	10949.71	13321.26	11315.79	10352.53	7663.56	12966.65	13024.67	11655.31	7623.88	10083.36	14627.78	14778.6	13822.92	12473.45	11355.56	9509.71	12129.16	12444.27	9163.62	11072.78	8526.22	10281.45	9853.15	6441.05	11375.75	8765.98	13873.25	15477.62	12545.44	13039.55	8393.26	9970.77	12909.7	11926.29	6533.79	9121	7360.7	10982.12	7080.89	11901.54	11615.72	10622.81	11368.43	8766.88	11658.82	15270.57	13314.72	10037.9	10472.95	9640.82	7562.04	12539.47	8582.57	9476.57	8248.81	12047.1	12227.75	11924.54	7104.07	8229.94	7433.01	8011.56	12356.28	8084.54	8531.49	11064.81	7488.71	6610.52	10649.2	7559.37	6754.68	9604.53	9127.14	9851.59	9393.37	8563.62
210.481	11179.65	13670.17	9823.68	12439.74	10441.85	12862.55	13219.84	14428.34	8688.9	9086.73	14636.92	13443.24	14095.46	13405.32	10874.52	13273.12	12955.81	13179.84	12970.22	14869.96	12484.45	13697.86	13763.2	13795.41	13572.63	10367.93	10823.2	12053.83	12107.73	11765.02	15627.28	10730.24	13906.73	12470.7	12070.05	14260	7065.69	12503.37	12480.09	11127.08	13247.77	13912.94	12372.46	10447.33	13511.21	13658.77	12660.49	12464.68	12816.7	12662.02	14419.29	12231.57	11084.49	10536.08	12172.5	12443.17	14037.45	5736.01	9759.51	11854.11	12787.55	11390.99	12252.79	9984	11110.55	9875.47	12796.26	10766.9	12428.15	11039.74	12999.21	9292.18	10193.74	12990.31	12168.39	12957.12	11912	12476.63	9189.45	14740.96	12707.85	12315.15	8986.72	10701.07	12843.18	9490.71	14199.35	12107.04	15859.51	13492.78	12634.4	10328.04	13618.46	12098.93	13129.33	11593.17	14945.67	10222.81	10659.22	9462.71	12700.7	12882.88	12484.27	14118.15	16058.45	11431.15	12951.87	12525.83	7808.43	14248.64	15142.46	12135.14	14185.71	13905.63	12488.44	14576.83	11035.28	8271.56	12953.64	11134.56	13525.04	10134.87	11838.71	11354.61	11446.19	11280.76	11653.17	14344.19	10521.55	9226.96	13479.73	11740.68	13382.53	11897.9	11086.27	8327.79	13949.87	13600.07	12306.54	8289.79	10903.66	15124.04	15265.02	14633.42	13422.86	12273.35	10312.74	12703.2	13295.09	9973.29	11952.63	9267.14	11121.69	10686.23	7014.91	12214.4	9482.34	14463.34	15756.13	13156.45	13497.42	9120.46	10770.3	13835.67	12810.56	7116.25	9847.2	7987.86	11853.66	7665.62	12818.12	12492.9	11468.73	12280.09	9510.25	12505.04	15613.04	14221.89	10849.85	11298.72	10418.24	8197.08	13441.96	9253.52	10237.81	8923.79	12958.22	13133.21	12801.53	7652.85	8900.57	8016.83	8653.44	13271.13	8759.04	9232.94	11922.21	8040.39	7120.32	11446.58	8194.83	7283.87	10290.43	9830.52	10572.77	10070.09	9223.44
240.371	11921.61	14329.38	10511.51	13258.16	11167.66	13457.07	13790.46	14761	9338.12	9682.16	14961.69	13758.24	14265.08	14045.83	11671.25	13701.54	13323.12	13452.04	13680.83	15235.86	13301.2	14289.78	14122.58	14020.21	13724.63	11097.94	11457.09	12454.95	12811.51	12535.52	15789.56	11482.38	14159.25	12752.49	12599.28	14703.09	7556.76	12755.14	12729.09	11701.45	13660.45	14583.61	13175.36	11139.46	13932.47	13853.29	12870.53	12657.65	12871.83	12809.01	14525.73	12987.98	11662.31	11196.29	12379.17	12650.15	14295.49	6137.89	10380.74	12310.35	12987.57	11943.97	12491.04	10594.89	11837.1	10513.19	12967.76	11418.31	12589.31	11715.9	13518.46	9916.19	10877.81	13179.58	12529.36	13051.87	12221.01	12867.98	9830.74	15047.4	13274.96	12531.21	9646.59	11180.77	13091.01	10114.73	14812.48	12970.3	16009.89	13706.29	12738.8	11012.61	13738.38	12430.49	13690	12463.32	15178.56	10860.62	11243.91	10088.48	12794.82	12988.1	13065.23	14562.52	16190.27	12205.04	13088.6	12682.18	8377.39	14808.74	15480.88	12903.17	14394.17	14054.04	12704.49	15079.24	11746.91	8905.51	13249.7	11589.41	14085.35	10780.71	12579.94	11754.22	11809.39	11896.23	11941.64	14775.2	11210.94	9831.98	13720.6	12243.16	13408.32	12266.32	11547.74	8895.48	14543.18	13948.27	12708.05	8855.71	11484.75	15399.27	15526.55	15112.6	14199.18	12992.13	10995.92	13050.24	13877.07	10729.45	12700.29	9892.83	11856.91	11372.4	7516.07	12753.07	10147.8	14761.53	15933.78	13546.38	13758.91	9751.12	11439.55	14455	13426.03	7640.78	10424.61	8483.21	12534.02	8148.2	13458.4	13218.18	12179.37	13004.8	10090.49	13206.5	15775.52	14809.65	11526.97	11986.47	11082.33	8728.38	14097.72	9856.96	10877.66	9477.35	13675.59	13802.75	13444.12	8179.26	9448.3	8547.44	9212.43	13949.95	9372.12	9834.17	12582.63	8550.99	7611.88	12075.32	8720.94	7747.15	10849.42	10431.48	11185.91	10630.55	9732.2
270.370	12788.88	14859.89	11294.78	14018.78	11917.2	13974.39	14256.32	15072.67	10044.11	10400.32	15280.39	14056.43	14424.53	14622.73	12514.11	14051.42	13625.5	13697.94	14348.86	15548.27	14085.75	14757.48	14404.94	14261.78	13824.72	11826.27	12212.81	12782.99	13505.12	13301.95	15937.72	12257.48	14431.44	12996.13	13027.8	15053.3	8098.16	12963.63	12933.37	12179.94	13990.54	15120.11	13978.44	11852.67	14281.43	14034.46	13000.72	12822.03	12913.08	12898.3	14621.34	13660.85	12154.4	11771.73	12586.72	12806.93	14502.31	6588.87	11071.99	12670.79	13119.57	12389.47	12662.02	11284.34	12618.07	11198.55	13097.04	11944.39	12720.41	12447.58	13933.41	10630.08	11588.2	13344.55	12793.61	13121.44	12461.49	13166.44	10571.05	15347.12	13780.51	12708.2	10364.67	11567.94	13282.39	10792.11	15303.4	13863.88	16129.47	13908.54	12819.11	11706.6	13804.65	12724.11	14169.63	13330.63	15347.56	11569.2	11796.19	10726.61	12853.24	13062.82	13551.6	14893.73	16274.48	13015.81	13177.67	12771.21	9041.29	15222.64	15733.85	13613.58	14530.22	14182.34	12836.06	15473.57	12521.09	9600.44	13477.89	11950.63	14535.29	11463.94	13217.02	12060.09	12106.03	12575.1	12201.24	15090.08	11956	10426.38	13913.27	12640.99	13414.01	12530.81	11968.58	9503.88	15037.11	14205.17	13040.46	9446.36	11991.24	15615.51	15697.58	15459.1	14758.37	13609.66	11657.99	13292.38	14368.81	11479.63	13516.28	10550.2	12606.94	12093.24	8112.93	13187.87	10830.87	15004.4	16061.4	13832.38	13997.95	10412.74	12150.15	14982.64	13911.92	8224.06	11052.05	9065.58	13278.61	8698.31	14017	13797.76	12963.28	13806.43	10737.1	13912.92	15889.66	15263.18	12240.9	12693.41	11778.45	9316.97	14652.08	10506.93	11491.34	10048.02	14310.55	14391.84	14015.18	8710.64	10037	9079.7	9768.11	14583.92	9955.38	10458.41	13325.17	9049.35	8019.51	12775.53	9304.54	8284.07	11470.81	11083.99	11788.31	11254.55	10336.17
300.354	13717.96	15283.12	12158.67	14664.18	12746.4	14395.85	14626.02	15300.45	10831.68	11181.83	15553.43	14285.34	14568.56	15079.03	13252.15	14339.8	13847.79	13906.74	14824.47	15811.33	14761.6	15129.17	14636.26	14417.08	13913.24	12497.45	13066.94	13068.03	14086.86	14066.3	16083.8	13158.5	14623.01	13168.27	13387.81	15320.85	8732.63	13082.65	13056.22	12540.86	14234.73	15526.91	14626.55	12741.33	14605.37	14149.91	13106.85	12954.81	12938.94	12966.45	14678.99	14211.48	12561.76	12225.57	12721.56	12932.58	14666.83	7101	11732.02	12958.42	13213.26	12730.8	12777.13	12042.78	13407.22	11935.94	13189.08	12375.88	12803.07	13133.16	14284.52	11410.67	12234.5	13486.49	13045.68	13157.75	12673.76	13398.74	11403.94	15585.89	14303.31	12853.91	11011.93	11935.61	13429.89	11585.36	15676.65	14719.98	16200.79	14062.9	12871.79	12540.46	13861.71	12935.79	14605.65	14224.51	15493.88	12272.27	12241.95	11361.54	12895.9	13111.16	13928.15	15186.44	16333.86	13795	13236.96	12842.78	9814.17	15584.82	15947.02	14213.2	14657.72	14272	12945.67	15766.37	13410.8	10406.33	13663.46	12247.94	14921.85	12293.87	13862.64	12350.09	12364.38	13314.35	12425.52	15374.25	12831.1	11163.7	14058.7	12996.66	13428.62	12724.47	12308.63	10232.24	15411.96	14423.08	13318.72	10159.69	12442.77	15792.39	15870.81	15768.39	15266.75	14163.62	12314.09	13493.86	14771.11	12409.15	14350.49	11358.77	13519.2	12879.08	8741.94	13562.27	11633.92	15200.45	16150.23	14089.93	14203.99	11220.99	13015.56	15382.26	14288.61	8893.3	11814.62	9754.97	13957.46	9302.71	14547.15	14331.81	13820.35	14538.6	11530.7	14528.94	15966.75	15612.85	13139.69	13559.75	12603.12	10021.49	15128.23	11242.84	12261.07	10781.73	14856.82	14931.42	14474.11	9368.41	10775.62	9745.59	10464.74	15115.54	10704.65	11245.68	14021.31	9632.9	8592.75	13571.31	9990.1	8857.67	12221.58	11854.63	12545.13	11936.24	11032.05
