Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)	#72 (DAPI)	#73 (DAPI)	#74 (DAPI)	#75 (DAPI)
3.655	1770.41	2175.74	3201.59	1951.47	2694.12	2765.1	2569.72	2860.66	2248.87	2215.89	2455.34	2561.2	2594.46	1691.47	1770.65	2574.04	2733.02	1937.95	3568.02	2710.32	1705.76	2265.31	2991.18	1932.47	2200.37	2046.36	2831.97	2057.12	2914.27	2918.02	2038.71	2416.9	2366.4	2603.93	2394.67	2058.96	2271.27	2914.9	3004.73	2058.3	2157.92	2531.22	2354.55	1881.12	2204.15	1283.15	2462.5	2827.51	2421.65	2056.03	2474.81	2460.4	2604.6	2690.75	2145.17	2695.47	2034.24	2817.57	2863.13	2264.8	2541.64	2405.92	2366.22	2728.83	2048.16	2494	2204.24	2192.86	2115.78	2195.76	2392.81	1939.49	2121.4	2020.78	2778.25
33.561	2167.95	2795.34	4227.07	2505.97	3530.46	3572.24	3389.05	3701.28	2919.99	2866.9	3202.99	3335.5	3299.31	2090.15	2211.22	3371.79	3610.38	2507.78	4759.33	3593.53	2158.64	2902.13	3955.57	2464.65	2820.26	2646.96	3769.4	2657.18	3844.89	3859.24	2626.99	3151.99	3060.57	3387.02	3054.01	2631.22	2956	3871.14	3974.11	2639.74	2792.35	3300.32	3062.9	2373.71	2866.81	1527.62	3194.14	3708.54	3179.62	2642.63	3203.51	3207.96	3364.07	3545.72	2700.81	3540.57	2646.19	3669.47	3694.45	2860.49	3337.47	3134.07	3062.94	3565.8	2602.44	3150.18	2782.92	2722.19	2668.35	2713.81	3080.57	2431.25	2646.62	2547.17	3501.68
63.560	2514.98	3292.28	5046.89	2938.25	4208.72	4244.06	4047.38	4349.03	3459.81	3391.67	3804.21	3940.41	3867.15	2415.22	2571.63	3994.85	4300.41	2966.83	5705.59	4294.76	2510.56	3410.36	4715.34	2863.29	3332.31	3111.89	4538.4	3147.92	4572.47	4601.35	3076.81	3750.8	3609.36	4004.54	3594	3087.15	3519.23	4614.08	4709.27	3085.25	3284.06	3930.34	3626.7	2759.57	3399.3	1708.3	3788.17	4395.84	3768.46	3101.35	3787.22	3785.11	3954.43	4220.02	3142.94	4201.61	3119.9	4315.76	4341.54	3332.51	3981.17	3701.99	3612.26	4198.12	3045.88	3636.92	3239.04	3116.61	3101.46	3130.78	3602.45	2816.81	3067.26	2962.26	4070.44
93.621	2939.13	3915.47	6023.62	3506.58	5035.57	5073.09	4881.09	5157.47	4128.22	4021.37	4532.71	4689.37	4533.2	2806.48	3008.63	4761.17	5160.28	3523.35	6822.9	5133.04	2968.7	4047.85	5647.63	3349	3970.26	3710.18	5461.08	3760.51	5465.74	5486.88	3649.83	4465.58	4272.27	4747.21	4233.25	3638.89	4194.47	5512.38	5614.7	3645.62	3894.29	4689.74	4327.26	3242.36	4055.22	1947.21	4507.15	5209.1	4528.17	3661.86	4469.1	4488.57	4682.7	5049.59	3682.04	4984.61	3721.55	5116.84	5150.69	3909.38	4750.07	4417.1	4273.53	4976.4	3583.2	4259.48	3826.21	3618.03	3653.87	3636.5	4251.28	3292.48	3602.51	3449.76	4748.62
124.088	3358.2	4521.53	6937.06	4057.19	5846.07	5875.83	5659.2	5917.22	4777.04	4629.02	5228.23	5396.54	5165.44	3185.67	3431.1	5485.28	5998.29	4091.66	7837.65	5946.68	3416.67	4651.54	6525.71	3827.86	4579.13	4294.15	6362.38	4359.09	6311.22	6335.07	4182.72	5154.32	4901.89	5452.51	4823.26	4160.99	4859.07	6350.3	6471.39	4170.18	4457.25	5396.48	4964.55	3687.14	4668.14	2175.99	5202.49	5988.07	5237.3	4182.18	5141.55	5152.89	5371.9	5813.94	4211.04	5720.07	4297.27	5893.96	5870.15	4440.44	5497.73	5087.56	4878.37	5721.63	4118.52	4842.17	4381.82	4073.24	4159.76	4110.48	4853.52	3744.28	4086.61	3924.24	5389.56
154.040	3851.73	5203.98	7945.96	4648.75	6759.99	6770	6532.78	6750.94	5476.81	5314.89	5989.86	6172.47	5843.28	3627.88	3906.96	6272.6	6859.19	4703.22	8991.88	6834.26	3935.91	5324.65	7477.01	4337.59	5257.13	4945.6	7354.87	5011.86	7221.48	7248.99	4756.31	5912.3	5612.19	6198.83	5462.01	4730.33	5579.47	7238.12	7377.87	4731.77	5082.4	6156.2	5665.9	4168.69	5338.42	2427.83	5945.56	6800.61	6032.47	4742.07	5868.74	5850.77	6117.03	6668.72	4785.37	6522.32	4922.05	6717.18	6663.48	5020.74	6320.12	5805.69	5545.01	6490.55	4687.36	5458.75	5003	4564.85	4734.74	4653.1	5493.55	4260.05	4645.15	4455.5	6094.71
184.024	4251.33	5731.23	8656.37	5145.29	7452.39	7452.69	7207.08	7374.72	6043.9	5825.48	6584.01	6755.91	6368.07	3950.86	4266.04	6874.71	7547.98	5195.25	9839.39	7485.96	4325.44	5849.2	8205.2	4717.33	5792.04	5455.38	8120.83	5539.03	7908.86	7926.91	5211.09	6494.92	6158.44	6740.19	5959.9	5151.49	6133.51	7907.25	8066.57	5156.74	5597.32	6740.37	6193.34	4562.51	5878.48	2604.67	6525.71	7432.47	6654.39	5166.42	6418.45	6371.82	6689.23	7287.52	5232.96	7120.06	5420.38	7322.45	7281.98	5443.04	6959.47	6364.43	6062.85	7105.8	5145.04	5925.15	5493.36	4973.02	5180.92	5061.13	6013.43	4672.77	5063.12	4860.34	6612.44
214.038	4711.28	6335.84	9506.65	5701.73	8252.75	8234.08	7976.01	8128.51	6687.9	6448.62	7262.03	7398.33	6963.71	4340.97	4666.12	7543.76	8314.12	5762.96	10763.51	8221.02	4776.29	6439.6	9005.6	5162.18	6403.63	6036.57	8992.62	6136.09	8712.21	8712.04	5711.66	7127.41	6742.76	7372.82	6487.41	5633.37	6772.79	8681.8	8846.19	5629.99	6145.29	7393.52	6782.66	4979.09	6443.31	2821	7186.12	8102.37	7387.37	5645.73	7066.88	6989.81	7339.3	8026.06	5751.82	7786.03	6005.53	8022.31	7960.32	5943.9	7679.94	7013.61	6633.23	7759.93	5658.79	6455	6035.51	5377.05	5683.04	5546.72	6559.6	5115.12	5527.97	5309.76	7195.2
243.959	5149.97	6844.11	10220.77	6231.96	8965.55	8941.99	8655.87	8747.71	7251.3	6952.42	7859.01	7960.01	7472.62	4689.24	5038.73	8101.4	8979.22	6270.31	11537.18	8866	5214.76	6975.8	9734.12	5532.39	6940.06	6573.1	9755.15	6647.33	9395.57	9374.46	6136.29	7687.28	7230.05	7893.11	6951.98	6075.93	7339.18	9326.09	9488.55	6033.72	6591.25	7961.65	7293.58	5346.03	6961.92	3017.02	7745.4	8677.32	7985.4	6069.48	7585.02	7502.82	7865.54	8636.82	6193.51	8349.48	6509.96	8605.3	8508.96	6364.17	8308.82	7534.3	7099.63	8348.02	6126.02	6888.12	6520.75	5722.69	6116.99	5931.51	7035.05	5527.69	5921.92	5683.78	7697.97
273.958	5537.63	7302.67	10799.39	6642.61	9552.26	9526.63	9211.37	9308.36	7735.65	7396.87	8345.31	8460.08	7882.1	4985.47	5342.62	8589.85	9524.75	6708.97	12161.5	9400.55	5563.13	7431.4	10303.35	5834.54	7405.6	7021.93	10386.38	7100.34	9926.38	9910.09	6512.47	8167.66	7669.62	8303.53	7306.86	6412.13	7819.2	9828.66	10010.44	6368.99	6965.13	8419.83	7700.57	5637.74	7375.05	3159.49	8207.82	9127.01	8536.41	6379.14	8037.61	7890.26	8327.9	9133.73	6565.08	8780.36	6946.14	9087.89	8967.98	6715.61	8834.44	8027.36	7509.51	8795.13	6497.41	7246.54	6943.09	5990.83	6475.68	6275.78	7420.53	5840.72	6272.85	6029.91	8097.43
