Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)
6.931	2958.62	2482.71	1981.99	1668.93	2206.65	1879.11	1925.97	2301.69	5728.41	2327.62	3328.58	3004.9	2590.72	1676.24	2774.64	2924.05	1737.2	1979.67	2055.71	1903.93	1757.42	2395.48	2592.53	2590.23	2007.19	2061.93	2233.79	2215.32	2160.34	1658.71	2405.99	2217.93	1995.24	2752.19	3379.24	2100.21	2102.06	1653.46	1863	3127.54	2424.23	2042.31	3054.4	1797.79	1887.01	2731.65	2068.89	2467	2943.18	2467.67	2274.18	3276.22	2204.12	2544.99	2263.59	2820.57	2827.94	2054.63	2271.3	2357.24	2258.08	1971.7	2176.66	2395.94	1798.78	2121.24	2144.76	2166.88	2160.47	1908.71
36.837	3784.57	3190.32	2516.26	2081.25	2748.35	2349.51	2421.94	2924.7	7612.24	2992.22	4364.94	3837.56	3342.02	2029.5	3565.92	3831.47	2125.33	2500.22	2576.87	2377.34	2191.2	3078.93	3331.59	3339.16	2494.05	2569.2	2832.47	2855.72	2768.83	2055.1	3083.58	2828.3	2446.49	3535.76	4408.87	2655.99	2661.24	2065.47	2303.62	4114.18	3135.68	2611.93	3960.85	2237.08	2378.6	3551.79	2592.72	3158.47	3852.65	3190.2	2921.22	4236.43	2819.67	3282.89	2827.22	3631.2	3684.7	2604.59	2886.28	3054.18	2892.73	2306.79	2688.44	3021.34	2248.98	2676.02	2688.85	2694.86	2685.08	2338.05
66.867	4448.97	3793.21	2972.46	2396.6	3184.96	2741.41	2830.54	3438.94	9012.87	3528.67	5210.98	4504.89	3933.25	2294.38	4214.12	4537.46	2454.85	2946.31	2993.72	2764.44	2541.2	3636.01	3944.76	3967.6	2884.51	2978.1	3310.96	3371.12	3261.16	2383.3	3630.53	3334.3	2800.98	4152.92	5248.4	3119.31	3095.14	2392.68	2689.47	4903.61	3716.25	3088	4664.1	2616.52	2772.25	4190.58	3012.89	3719.87	4584.53	3757.78	3455.87	5012.98	3303.12	3858.04	3323.84	4282.46	4346.54	3061.1	3382.03	3615.3	3394.93	2594.45	3077.28	3527.06	2619.43	3118.38	3134.56	3127.44	3106.36	2682.83
96.928	5266.61	4550.01	3562.33	2838.59	3738.67	3254.82	3378.24	4101.4	10712.71	4207.51	6255.18	5325.01	4684.99	2652.63	5012.29	5423.91	2908.28	3510.67	3521.16	3264.06	3010.28	4359.1	4704.12	4758.11	3386.07	3465.95	3911.42	4030.91	3911.46	2808.58	4347.92	3948.02	3244.41	4938.56	6265.14	3690.95	3643.47	2836.83	3155.22	5921.36	4442.02	3709.64	5570.68	3107.16	3297.53	4974.93	3576.51	4393.79	5505.4	4469.36	4158.11	5956.04	3920.53	4579.41	3950.21	5091.08	5197.56	3638.76	4012.86	4303.96	4068.55	2981.01	3588.59	4150.93	3071.22	3661.1	3712.93	3678.44	3633.85	3088.87
127.426	5966.36	5250.15	4137.71	3238.05	4252.21	3757.04	3898.87	4701.93	12051.53	4817.58	7162.35	6040.14	5363.86	2959.52	5737.12	6239.05	3329.16	4061.24	4003.63	3708.62	3441.76	4973.29	5428.3	5486.25	3843.11	3912.95	4446.74	4627.17	4461.98	3211.97	4984.46	4503.87	3647.51	5592.24	7157.76	4230.74	4121.32	3230.28	3609.31	6848.7	5123.86	4286.76	6350.67	3567.81	3771	5673.06	4059.52	4997.56	6308.6	5088.17	4792.3	6764.4	4497.78	5201.03	4488.7	5795.46	5953.82	4175.32	4572.01	4970.79	4670.28	3313.49	4034.1	4718.49	3506.21	4140.98	4239.29	4187.98	4117.57	3471.42
157.347	6747.7	6023.41	4795.27	3692.92	4793.75	4304.05	4471.34	5361.02	13033.85	5500.76	8192.06	6887.48	6096.91	3327.41	6516.17	7129.84	3814.9	4682.46	4541.35	4204.43	3918.47	5717.72	6187.74	6288.59	4366.03	4412.25	5047.9	5296.82	5101.53	3673.91	5701.68	5119.55	4089.66	6370.53	8164.83	4843.2	4673.34	3704.44	4128.06	7851.66	5844.75	4953.65	7212.74	4083.19	4303.73	6417.28	4632.76	5682.02	7187.07	5782.48	5508.53	7702.62	5111.34	5882	5133.15	6587.8	6805.26	4737.9	5185.99	5705.55	5359.26	3705.14	4529.64	5321.2	3967.6	4698.59	4815.01	4740.53	4660.93	3853.92
187.346	7441.72	6792.43	5443.83	4146.89	5292.82	4853.77	5031.55	6009.98	13545.67	6144.58	9104.78	7640.24	6791.55	3654.85	7238.09	7970.28	4300.76	5275.16	5040.72	4662.04	4380.63	6393.66	6950.44	7067.42	4846.92	4868.58	5586.38	5937	5710.15	4120.28	6378.77	5709.28	4501.51	7030.81	9061.3	5413.83	5161.95	4133.64	4609.31	8820.41	6546.37	5612.06	8007.99	4617.22	4808.35	7130.46	5163.58	6271.55	8000.47	6420.93	6186.47	8531.11	5689.99	6519.91	5748.6	7314.6	7590.14	5309.17	5785.77	6396.5	6024.73	4086.75	4994.54	5880.17	4414.03	5216.04	5351.24	5276.01	5160.38	4236.34
217.361	8016.07	7405.52	6007.51	4522.98	5721.49	5318.82	5504.62	6517.83	13782.6	6676.51	9873.5	8229.91	7341.78	3899.46	7823.24	8612.83	4727.74	5804.01	5438.61	5048.3	4769.22	6962.14	7559.68	7697.01	5247.49	5233.75	5992.91	6470.58	6178.63	4501.78	6934.91	6176.97	4834.83	7571	9775.72	5900.8	5542.83	4513.8	5002.3	9582.27	7127.43	6153.14	8643.11	5043.97	5241.79	7645.61	5606.85	6749.06	8645.5	6933.44	6771.26	9172.12	6162.84	7005.19	6250.89	7898.67	8205.03	5803.45	6255.29	6979.14	6574.81	4404.72	5377.01	6315.76	4789.34	5607.04	5803.79	5713.23	5569.08	4536.47
247.266	8468.49	7957.62	6537.27	4855.95	6063.11	5740.65	5957.23	6970.8	13893.62	7135.25	10499.34	8693.07	7746	4118.33	8295.65	9124.74	5127.64	6273.44	5766.89	5387.76	5119.09	7426.89	8085.16	8256.04	5561.15	5524.96	6365.45	6938.31	6637.39	4832.46	7410.14	6594.05	5085.52	8022.25	10331.85	6312.32	5870.91	4854.68	5339.88	10255.46	7615.4	6645.9	9138.14	5471.61	5614.63	8073.13	5993.84	7103.79	9165.59	7337.98	7284.3	9660.29	6562.27	7383.37	6675.51	8370.79	8725.61	6208.85	6645.81	7458.44	7057.84	4670.14	5650.78	6669.85	5095.12	5932.76	6166.17	6082.26	5916.56	4772.74
277.281	9028.8	8608.59	7161.21	5289.95	6477.74	6260.97	6474.01	7528.01	13993.64	7697.91	11220.97	9314.55	8328.17	4411.53	8906.46	9820.25	5589.1	6864.14	6203.19	5768.29	5537	8020.95	8738.75	8927.69	6013.96	5888.34	6782.17	7507.29	7156.08	5263.45	7984.29	7098.06	5417.26	8561.81	11031.03	6839.15	6265.86	5251.48	5785.84	11033.48	8226.38	7247.74	9800.95	5946.94	6067.61	8604.45	6459.88	7582.77	9799.72	7838.4	7894.04	10338.88	7039.97	7879.41	7222.4	8974.68	9387.4	6730.8	7147.4	8040.57	7647.26	4991.3	6029.18	7133.53	5477.58	6349.76	6634.43	6533.37	6356.37	5064.84
