Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)
10.207	2678.17	1821.2	1909.15	2511.87	1970.88	2742.17	1722.38	2681.58	1984.68	2533.36	2918.87	2612.96	3527.18	2449.7	2730.21	2263.57	2134.78	2638.29	2631.7	3157.92	2970.49	1968.41	2965.62	2982.78	2062.06	2556.72	2155.9	2806.49	2775.87	2199.55	1766.5	1961.06	2795.6	2616.58	1864.28	2279.19	2072.09	2043.57	2559.46	2346.29	2705.66	3419.19	3500.75	2000.82	2180.12	2401.73	2133.86	2778.69	2679.68	1990.28	1508.6	2065.31	1354.63	3571.51	2257.86	2650.51	1858.45
40.097	3373.26	2151.88	2272.14	3111.56	2416.27	3397.99	2047.6	3379.5	2446.57	3199.09	3708.35	3306.3	4518.61	3065.19	3429.82	2792.31	2653.8	3317.81	3328.63	4018.63	3719.84	2371.85	3761.44	3797.3	2505.79	3182.54	2660.12	3594.3	3508.04	2718.12	2154.62	2437.23	3543.6	3310.13	2277.02	2873.64	2513.29	2520.74	3218.75	2881.52	3341.28	4374.49	4427.7	2441.95	2721.99	2883.46	2589.19	3455.26	3354.59	2443.99	1790.14	2514.75	1568.89	4539.81	2752.75	3256.96	2211.15
70.158	4012.53	2465.08	2621.32	3662.87	2829.69	3992	2342.86	4017.49	2886.94	3819.16	4452.52	3927.97	5416.2	3632.4	4066.46	3297.11	3161.21	3940.94	3961.54	4809.35	4413.6	2765.47	4495.57	4544.59	2934.66	3750.38	3111.55	4320.29	4181.69	3196.36	2518.01	2880.5	4222.88	3947.39	2662.13	3441.33	2957.07	2954.98	3808.82	3390.17	3893.5	5207.02	5287.83	2858.16	3230.83	3311.51	3011.48	4101.8	3960.43	2831.75	2047.3	2940.41	1774.91	5399.31	3178.02	3838.05	2545.7
100.251	4745.17	2828.5	3035.45	4311.99	3321.52	4687.27	2684.89	4758.42	3384.1	4509.63	5290.66	4657.17	6425.51	4313.32	4811.96	3864.31	3727.4	4661.42	4673.3	5684.92	5235.55	3204.28	5326.76	5421.52	3431.78	4421.14	3661.11	5142.24	4954.28	3743.19	2954.94	3403.04	5004.39	4701.02	3131.09	4074.48	3462.37	3460.27	4468.77	3978.47	4566.99	6157.19	6219.25	3330.52	3796.43	3825.26	3482.02	4821.85	4663.47	3303.75	2363.3	3451.47	2029.64	6378.25	3697.55	4486.69	2954.55
130.749	5419.92	3168.56	3405.73	4895.57	3770.58	5349.29	3005.19	5431.37	3875.37	5148.72	6074	5316.33	7380.39	4950.92	5517.12	4390.14	4272.16	5354.86	5304.67	6483.48	5983.16	3626.52	6085.07	6246.04	3906.26	5044.06	4187.69	5925.17	5678.9	4260.83	3356.88	3882.74	5696.38	5403.74	3540.69	4706.13	3940.08	3909.52	5104.31	4521.99	5158.66	6989.11	7084.82	3764.24	4314.66	4289.97	3941	5481.22	5303.78	3725.87	2665.69	3939.93	2278.38	7268.29	4156.22	5102.29	3303.13
160.670	6175.71	3538.24	3823.34	5533.01	4252.34	6048.57	3357.56	6167.42	4392.77	5854.21	6935.4	6033.21	8376.44	5653.82	6284.74	4973.93	4841.07	6115.84	6017.04	7370.51	6772.24	4065.74	6919.8	7143.52	4436.66	5690.94	4752.68	6754.74	6492.19	4790.85	3818.86	4440.1	6437.8	6190.16	4018.45	5365.91	4451.62	4430.86	5761.05	5163.62	5792.51	7835.23	8017.64	4233.62	4923.38	4754.22	4443.27	6182.52	6010.93	4193.59	3010.99	4489.58	2557.45	8195.74	4645.63	5751.59	3703.44
190.669	6965.33	3942.03	4276.54	6227.56	4783.39	6816.37	3725.4	6936.46	4943.41	6625.72	7821.49	6778.82	9436.58	6386.16	7105.18	5584.77	5475.14	6928.66	6759.62	8310.69	7674.65	4558.77	7833.52	8107.84	5018.24	6419.56	5346.31	7643.19	7347.82	5379.51	4308.52	5035.3	7251.74	7059.27	4509.68	6108.08	4979.43	4971.74	6437.55	5851.73	6500.76	8793.99	8979.68	4746.32	5575.24	5316.59	4992.29	6952.64	6777.15	4683.15	3370.72	5094.52	2881.09	9249.78	5200.29	6444.21	4158.69
220.653	7325.42	4103.92	4480.62	6546.08	5035.4	7175.41	3904.49	7266.8	5218.27	6958.19	8245.37	7106.33	9890.43	6740.2	7476.4	5862.17	5763.22	7329.02	7082.68	8702.35	8052.04	4746.9	8195.26	8548	5308.96	6753.23	5638.91	8071.89	7762.69	5646.25	4533.48	5323.78	7599.62	7478.76	4735.25	6481.83	5253.23	5217.97	6749.54	6179.63	6784.66	9142.02	9385.43	4959.51	5857.88	5530.18	5222.27	7258.22	7124.16	4891.92	3555.04	5397.09	3065.66	9688.98	5400.71	6733.96	4346.6
250.605	7764.39	4342.51	4721.34	6893.74	5305.68	7626.96	4115.89	7701.22	5554.69	7387.98	8741.4	7484.53	10453.04	7149.48	7944.95	6187.61	6130.71	7822.26	7473.42	9180.97	8545.77	4986.36	8664.03	9084.87	5659.5	7131.15	5983.23	8583.07	8235.06	5945.24	4824.45	5681.86	7978.1	7990.65	5029.45	6948.84	5560.28	5514.74	7108.98	6596.43	7131.45	9601.51	9847.3	5240.38	6238.92	5798.32	5533.12	7630.45	7546.07	5167.78	3807.85	5758.24	3282.11	10190.23	5692.27	7105.36	4575.37
280.588	8567.98	4745.42	5221.06	7584.12	5876.92	8387.39	4489.33	8446.55	6135.58	8152.19	9632.81	8252.25	11473.99	7932.66	8785.77	6803.35	6771.85	8680.65	8204.13	10078.11	9399.44	5476.32	9570.71	10069.51	6264.89	7857.95	6600.44	9495.63	9085.9	6518.66	5331.33	6326.78	8803.71	8904.81	5553.06	7698.14	6126.47	6040.98	7796.57	7330.82	7802.06	10488.04	10747.87	5754.16	6885.94	6345.43	6072.72	8342.48	8288.64	5652.61	4205.71	6380.34	3635.4	11223.17	6205.53	7826.53	5042.14
310.509	9134.82	5032.41	5552.01	8043.96	6264.3	8934.85	4776.85	9001.93	6566.23	8698.3	10300.99	8749.98	12156.11	8483.82	9396.08	7247.01	7235.73	9323.15	8723.74	10720.74	10039.02	5811.06	10178.96	10771.02	6728.38	8345.88	7078.26	10159.84	9697.1	6928.44	5726.33	6784.83	9331.71	9574.05	5924.28	8284.89	6550.58	6448.05	8290.52	7880.64	8266.14	11039.85	11370.32	6115.32	7372.01	6679.8	6460.99	8856.1	8824.31	5972.13	4499.3	6904.55	3925.98	11910.88	6555.74	8313.97	5346.92
340.524	9926.39	5448.72	6012.4	8741.65	6813.21	9737.26	5147.43	9765.72	7166.41	9482.88	11197.24	9482.38	12957.34	9298.18	10222.67	7857.73	7902.35	10229.44	9433.72	11565.85	10905.99	6295.54	11049.82	11509.86	7418.56	9072.52	7712.12	11041.07	10576.28	7510.07	6236.23	7443.42	10108.45	10486.22	6472.37	9091.94	7129.2	6983.88	8959.59	8610.93	8927.7	11909.84	12276.35	6635.38	8041.79	7216.71	7009.31	9561.14	9606.78	6455.78	4946.6	7579.71	4289.4	12547.49	7077.16	8988.23	5825.83
370.601	10488.9	5750	6381.11	9216.09	7217.16	10242.17	5433.4	10272.51	7612.15	10018.4	11758.07	9974.46	13369.34	9833.8	10819.43	8286.26	8358.84	10852.82	9932.89	12071.5	11528.91	6630.76	11536.9	11921.85	7867.85	9551.94	8180.2	11465.37	11181.58	7906.81	6617.72	7899.91	10644.36	11167.54	6840.1	9647.11	7529.77	7354.24	9429.96	9169.64	9337.33	12422.11	12806.32	7000.38	8476.33	7574.36	7412.9	10044.48	10130.22	6770.95	5267.08	8069.93	4638.33	13435.51	7412.51	9454.09	6122.22
400.662	10040.91	5510.89	6120.35	8797.83	6912.12	9856.9	5212.68	9784.99	7303.65	9596.75	11347.89	9518.59	12966.56	9444.38	10387.73	7912.72	8001.91	10452.54	9458.96	11575.34	11010.18	6329.97	11112.65	11636.7	7595.85	9129.79	7844.08	11205.98	10728.88	7520.85	6387.34	7621.47	10159.06	10736.68	6583.87	9293.42	7243.26	7040.19	8950.95	8865.96	8918.11	11775.09	12154.53	6694.64	8121.64	7234.72	7100.21	9548.71	9676.71	6470.01	5092.42	7773.21	4541.19	12856.07	7093.97	9027.01	5896.13
430.536	10790.67	5917.21	6546.7	9438.91	7423.69	10601.49	5552.79	10497.95	7859.68	10284.64	11998.56	10164.23	13481.77	10176.65	11138.34	8464.42	8637.31	11275.79	10115.85	12207.07	11801.26	6777.75	11719.52	12132.56	8202.11	9762.3	8429.55	11803.51	11524	8056.76	6882.76	8214.93	10834.08	11627.21	7088.18	10085.33	7768.02	7539.79	9557.75	9550.01	9478.51	12481.64	12916.32	7179.58	8748.15	7706.06	7611.88	10171.22	10390.65	6910.01	5532.23	8418.08	4961.21	13659.87	7553.76	9645.07	6288.74
