Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)
13.530	3275.4	2792.87	1965.6	2723.21	2724.67	3171.88	2310.65	2312.04	1838.37	2221.51	2127.88	2992.91	2346.37	2229.65	3072.34	3301.73	2320.73	2472.51	3568.73	2980.56	2194.17	3033.94	3234.85	3216.1	2694.44	1794.6	1968.06	3175.71	2213.97	2590.48	2143.06	1964.53	2877.82	2592.01	2733.47	2170.83	3688.32	2824.71	2941.91	3195.33	2241.55	2227.44	2332.93	4400.29	3171.34	1827.55	3317.96	2105.71	2165.73	3415.6	1720.73	2176.84	1799.76	2192.13	2898.91	2911.49	2609.21	2033.33	2681.49	2889.77	2915.7	1672.29	2667.55	2183.7	2098.45	2137.92	2222.88	1732.11	2479.51
43.451	4129.2	3468.48	2374.34	3314.97	3367.54	3962.51	2858.02	2844.78	2232.41	2662.98	2609.26	3788.99	2859.98	2745.3	3875.49	4185.74	2840.36	3043.97	4572.67	3783.99	2700.47	3797.16	4086.58	4090.47	3361.79	2167.08	2456.53	4003.46	2734.04	3270.59	2661.93	2411.53	3620.3	3223.27	3443.16	2673.61	4725.01	3554.54	3697.57	4058.11	2785.09	2760.22	2886.61	5627.49	4030.72	2176.56	4224.58	2618.94	2685.61	4364.69	2100.84	2645.22	2176.73	2721.05	3649.63	3575.9	3227.91	2476.89	3351.71	3647.59	3614.15	2000.73	3307.02	2663.35	2568.69	2496.02	2624.26	2013.43	2955.18
73.434	4939.2	4131.61	2766.91	3877.09	3969.84	4738.8	3410.24	3349.72	2602.68	3092.23	3066.4	4541.63	3344.5	3283.24	4647.5	5017.75	3335.78	3602.84	5515.18	4534.35	3179.42	4547.71	4904.43	4909.65	3981.82	2545.53	2949.74	4785.59	3237.43	3926.02	3165.51	2849.78	4333.61	3828.56	4126.65	3152.75	5683.33	4225.67	4434.04	4883.56	3340.25	3274.43	3426.06	6775.5	4865.99	2488.43	5076.1	3115.15	3177.88	5208.15	2478.86	3160.56	2572.97	3276.53	4381.94	4233.89	3818.82	2910.67	3986.61	4370.47	4305.66	2303.79	3905.01	3129.04	2990.57	2850.94	3003.29	2289.24	3404.11
103.589	5760.85	4787.09	3179.53	4426.84	4604.99	5522.77	3986.24	3896.45	2978.78	3537.98	3540.36	5318.85	3879.06	3828.18	5430.56	5874.07	3856.62	4151.36	6473.18	5298.72	3674.23	5316.4	5730.76	5709.43	4621.81	2940.21	3471.49	5567.49	3737.85	4603.34	3714.31	3296.35	5050.15	4479.2	4826.93	3637.45	6632.42	4913.77	5170.82	5718.79	3913.37	3818.69	3968.74	7924.01	5718.31	2838.75	5978.02	3603.03	3699.97	6072.47	2869.09	3691.08	2986.6	3836.58	5112.63	4863.13	4425.7	3363.8	4642.8	5118.02	4977.92	2622.76	4519.86	3621.73	3434.92	3199.73	3422.09	2559.44	3842.61
134.041	6609.26	5486.32	3611.32	5039.13	5273.11	6382.23	4592.39	4486.17	3418.71	3992.48	4076.8	6165.23	4438.62	4433.63	6258.2	6773.98	4436.31	4743.52	7499.22	6112.64	4201.85	6176.91	6600.62	6598.65	5327.19	3369.31	4087.56	6405.46	4287.03	5343.96	4320.27	3789.2	5828.81	5203.36	5612.96	4168.15	7662.33	5636.53	5989.82	6631.29	4537.85	4396.37	4589.53	9137.08	6605.19	3229.33	6923.74	4171.81	4273.19	7027.6	3322.76	4260.76	3453.9	4479.09	5916.19	5554.67	5067.31	3861.95	5362.11	5917.12	5721.96	2994.73	5156.87	4182.46	3904.18	3606.8	3828.16	2915.24	4357.7
163.993	7474.73	6183.01	4083.11	5626.38	5958.25	7265.01	5243.18	5065.9	3874.16	4472.6	4608.81	7025.02	5037.3	5076.73	7127.66	7678.97	5032.24	5354.08	8554.54	6938.11	4733.41	7009.39	7509.5	7470.26	6018.29	3829.82	4725.89	7249.6	4862.6	6117.72	4961.17	4289.39	6609.05	5932.2	6404.78	4705.73	8680.69	6375.09	6803.2	7558.15	5198.63	5019.19	5194	10336.15	7552.06	3609.47	7903.05	4716.01	4862.53	7965.55	3793.29	4856.24	3919.49	5134.28	6722.39	6271.41	5739.49	4368.54	6064.57	6739.29	6468.25	3354.3	5806.55	4711.6	4381.21	4020.55	4280.14	3250.83	4858.59
193.976	7964.15	6570.97	4366.2	5995.55	6366.02	7767.67	5648.69	5443.74	4147.03	4758.95	4944.77	7523.36	5389.25	5459.38	7629.51	8173.64	5435.13	5691.04	9158.95	7419.36	5059.01	7566.16	8029.03	7977.46	6423.99	4114.1	5150.39	7734.86	5186.08	6585.93	5380.49	4614.39	7052	6413.71	6883.25	5043.76	9224.63	6776.54	7302.81	8099.96	5624.38	5392.41	5580.55	11016.46	8093.18	3855.84	8493.61	5077.44	5234.98	8495.13	4122.92	5260.11	4250.53	5575.7	7219.42	6691.42	6124.37	4705.76	6504.76	7266.13	6879.41	3599.24	6180.64	5057.02	4657.73	4261.43	4550.07	3491.76	5168.69
223.944	8732.67	7210.47	4774.23	6526.38	7017.2	8544.98	6257.13	5994.85	4576.5	5212.58	5433.49	8304.66	5948.05	6066.24	8398.14	8989.06	5992.27	6225.05	10083.92	8138.02	5532.92	8378.29	8790.63	8720.18	7043.09	4575.61	5813.18	8465.84	5697.84	7309.93	5977.37	5093.31	7745.73	7107.86	7578.25	5518.11	10156.34	7414.42	8046.26	8918.45	6233.63	5948.2	6138.7	11984.44	8915.23	4207.8	9393.84	5601.02	5809.69	9318.69	4568.46	5851.34	4724.55	6216.82	7969.58	7345.87	6710.94	5178.26	7143.02	8004.7	7542.98	3958.58	6759.57	5580.72	5085.07	4621.57	4964.61	3812.95	5609.73
253.896	9372.96	7717.09	5148.67	6995.75	7508.86	9194.86	6755.09	6458.97	4925.3	5565.3	5851.89	8921.71	6377.72	6581.43	9021.4	9595.87	6489.81	6635.78	10850.12	8737.01	5944.73	9035.43	9423.98	9342.25	7519.43	4961.82	6383.17	9038.1	6128.85	7909.43	6544.04	5480.38	8321.35	7725.3	8206.68	5927.48	10838.63	7962.45	8655.67	9599.94	6788.24	6455.99	6618.92	12563.56	9622.36	4501.55	10126.53	6021.5	6294.97	9993.86	4978.68	6331.95	5122.86	6784.93	8603.75	7839.82	7198.03	5579.99	7675.43	8627.24	8094.65	4286.17	7222.19	6030.52	5448.4	4945.48	5319.6	4110.73	5992.82
283.911	9969.18	8173.35	5511.95	7399.79	8014.1	9814.12	7262.66	6940.65	5272.78	5935.17	6258.81	9544.7	6840.16	7099.64	9637.57	10208.5	6954.54	7063.97	11446.44	9330.38	6321.25	9728.65	10024.71	9921.87	7990.05	5340.64	6963.4	9591	6515.25	8503.9	7058.49	5887.04	8870.99	8290.4	8805.26	6308.46	11496.88	8441.08	9243.47	10240.04	7341.86	6939.74	7085.77	13001.77	10293.8	4797.44	10830.78	6454.77	6759.65	10639.06	5386.31	6838.97	5546.4	7345.87	9227.6	8347.07	7669.62	5976.57	8199.47	9233.8	8605.12	4582.82	7665.62	6451.85	5782.01	5250.02	5661.12	4373.17	6356.34
313.848	10831.53	8884.86	6032.79	8044.87	8768.37	10776.75	8011.65	7599.34	5779.28	6474.66	6859.37	10441.42	7523.39	7838.09	10520.71	10959.19	7645.57	7678.77	12080.99	10179.78	6909.83	10704.62	10946.33	10761.88	8711.48	5913.03	7783.43	10454.84	7128.95	9364.85	7825.85	6477.59	9665.74	9162.93	9673.97	6907.85	12262.48	9206.93	10099.83	11159.88	8114.1	7641.9	7766.35	13425.77	11308.42	5239.59	11845.85	7093.8	7439.49	11615.17	5969.34	7599.09	6133.72	8151.4	10099.97	9102.78	8393.64	6560.19	8989.3	10149.38	9377.54	5024.65	8363.97	7064.19	6312.32	5705.31	6135.9	4803.01	6905.14
