Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)	#72 (DAPI)	#73 (DAPI)	#74 (DAPI)
16.837	2387.63	2452.46	2514.91	3322.74	2153.64	2072.06	2700.86	3612.46	2952.79	2452.31	2564.3	2862.36	2870.72	2176.79	2464.09	2002.87	2399.51	2831.64	3256.83	2397	2574.6	2852.04	3754.2	1992.21	2104.63	2895.97	2226.78	2508.6	3703.41	2258.33	4095.48	3443.18	1399.75	3344.5	3835.21	2582.38	2499.33	2999.14	3278.95	2862.33	3476.88	2899.19	2772.48	2854.65	2635.7	2913.13	2647.98	2933.57	2546.98	1006.07	2822.42	2305.06	1976.06	2343.65	3453.12	2672.34	1935.33	3354.26	3015.88	3632.08	2551.63	2494.91	2522.54	3021.58	1834.54	2276.73	2291.89	2074.23	2334.6	2735.38	2505.49	2491.69
46.758	2804.28	2968.15	3049.81	4083.43	2574.61	2460.41	3217.44	4467.51	3626.41	2964.88	3126.87	3528.68	3508.57	2618.38	2986.78	2404.53	2867.27	3446.59	4021.51	2925.34	3119.64	3456.69	4689.08	2355.14	2520.27	3573.57	2686.08	3055.27	4597.5	2720.08	5094.24	4273.28	1567.87	4114.9	4763.05	3140.14	3052.53	3667.13	4050.21	3508	4308.27	3571.38	3406.2	3478.98	3234.75	3523.91	3222.65	3625.13	3107.19	1096.79	3442.4	2773.38	2389.38	2863.97	4283.96	3255.28	2290.19	4201.32	3683.16	4488.98	3098.9	3021.9	3068.96	3704.32	2182.86	2733.85	2769.2	2499.12	2802.01	3324.21	2995.34	3014.79
76.773	3289.05	3550.86	3667.26	4918.84	3081.42	2943.17	3883.95	5447.8	4405.76	3531.54	3761.78	4284.81	4250.25	3091.59	3591.43	2863.21	3409.03	4108.29	4892.47	3526.58	3744.93	4178.44	5736.36	2793.94	2984.57	4364.79	3212.32	3666.19	5602.41	3253.45	6221.58	5176.18	1784.62	4986.07	5766.21	3780.82	3681.46	4416.04	4901.95	4237.99	5241.64	4322.06	4121.72	4205.44	3917.24	4209.27	3867.92	4387.48	3757.59	1219.51	4145.74	3316.43	2885.64	3439.15	5167.93	3913.9	2714.16	5153.48	4424.55	5467.92	3737.13	3613.23	3682.69	4467.3	2607.03	3264.44	3301.38	2994.18	3332.16	3953.34	3586.8	3627.95
106.912	3691.06	4057.78	4179.06	5608.39	3529.5	3368.11	4403.18	6302.37	5086.58	4003.2	4332.19	4945.48	4872.51	3530.03	4118.37	3246.73	3886.81	4719.74	5638.43	4044.65	4270.2	4769.8	6634.63	3158.33	3392.34	5051.58	3657.38	4199.07	6461.56	3698.97	7157.49	5943.2	2018.48	5759.03	6629.55	4346.9	4223.91	5065.82	5635.9	4828.19	6032.28	4949.3	4731.19	4818.57	4499.18	4765.54	4414.83	5064.37	4307.91	1336.44	4751.53	3781.98	3324.18	3952.99	5879.72	4465.31	3069.87	5945.87	5046.97	6257	4269.66	4121.38	4167	5113.74	2966.68	3709.87	3764.83	3406.13	3792.12	4480.39	4091.67	4120.99
137.317	4227.31	4714.16	4881.91	6493.62	4136.56	3924.75	5043.23	7372.47	5959.27	4621.98	5045.01	5806.92	5667.15	4077.35	4803.95	3783.02	4523.18	5454.53	6579.56	4719.19	4951.94	5521.97	7775.02	3642.1	3910.11	5935.33	4237.73	4900.55	7530.42	4293.1	8376.29	6921.72	2337.23	6746.62	7697.07	5048.26	4933.17	5880.63	6578.75	5612.87	7028.44	5771.94	5544.52	5619.27	5272.99	5510.25	5122.82	5913.62	5030.25	1503.47	5507.23	4377.65	3899.09	4608.61	6813.81	5167.89	3528.91	6969.04	5863.37	7254.67	4979.42	4780.55	4794.17	5908.49	3446.93	4287.28	4346.3	3968.16	4368.56	5188.91	4744.99	4762.33
167.300	4679.19	5240.6	5444.07	7213.12	4645.94	4392.68	5596.92	8252.37	6673.33	5096.88	5644.64	6520.6	6322.23	4540.8	5380.98	4224.64	5050.12	6054.61	7370.73	5288.17	5500.8	6112.08	8688.56	4049.92	4320.04	6667.24	4698.14	5459.69	8412.8	4770.03	9378.87	7684.13	2609.92	7568.36	8544.96	5623.84	5525.84	6547.32	7331.72	6247.02	7846.92	6417.33	6179.38	6292.08	5933.22	6109.42	5690.64	6588.82	5619.08	1659.52	6130.27	4867.28	4409.95	5160.31	7539.11	5712.27	3883.39	7845.47	6504.45	8053.06	5540.29	5326.29	5324.37	6538.29	3855.07	4789.04	4822.99	4447.58	4858.84	5731.32	5266.1	5281.19
197.237	5074.39	5717.49	5922	7780.13	5089.04	4832.04	6056.55	8984.47	7306.11	5482.39	6165.45	7121.09	6849.79	4915.02	5841.16	4583.54	5526.58	6577.5	8006	5772.28	5970.11	6647.22	9461.79	4395.21	4673.24	7289.82	5097.72	5935.51	9145.85	5182.2	10197.38	8312.32	2918.36	8281.58	9220.72	6138.99	6024.36	7133.16	7931.71	6777.25	8507.28	6961.06	6717.34	6854.11	6480.17	6597.16	6159.63	7193.28	6083.97	1803.93	6672.63	5263.98	4864.81	5596.17	8131.18	6189.43	4208.94	8578.76	7039.26	8711.5	6008.81	5740.48	5743.77	7064.08	4217.01	5184.84	5216.84	4845.22	5272.9	6196.11	5727.39	5750.78
227.267	5521.52	6231.1	6476.19	8442.48	5627.84	5345.22	6590.07	9857.33	8027.46	5935.41	6780.64	7855.24	7505.22	5347.7	6392.73	5029.39	6082.99	7156.95	8753.21	6329.72	6488.6	7227.86	10371.7	4777.04	5062.04	8047.18	5540.98	6511.37	9957.79	5653.57	11165.18	9066.83	3257.98	9102.12	10034.28	6701.42	6625.76	7784.22	8655.2	7383.29	9287.24	7583.1	7371.46	7539.6	7115.63	7118.7	6725.63	7851.55	6667.56	1997.24	7283.25	5754.81	5371.07	6136.78	8821.48	6709.23	4555.05	9410.84	7696.16	9423.64	6571.44	6258.61	6212.13	7669.76	4642.76	5664.04	5684.52	5352.92	5721.17	6729	6287.66	6267.33
257.219	5965.56	6777.17	7018.78	9107.95	6168.67	5845.71	7125.84	10693.97	8773.43	6372.63	7404.54	8615.09	8148.12	5801.91	6940.33	5459.65	6640.37	7740.03	9511.46	6898.79	7046.82	7817.24	11186.06	5200.49	5482.36	8784.25	5998.74	7089.76	10817.63	6108.51	12143.02	9794.32	3636.04	9924.29	10798.09	7290.27	7208.82	8419.58	9388.53	7986.21	10048.32	8212.83	8003.07	8198.43	7769.7	7710.48	7290.02	8548.56	7236.69	2190.65	7907.3	6220.28	5923.33	6692.31	9458.58	7246.54	4922.4	10239.78	8351.7	10141.62	7130.67	6755	6703.9	8257.92	5077.74	6138.88	6138.72	5826.5	6213.09	7271.85	6835.85	6765.9
287.171	6372.52	7280.94	7558.65	9689.28	6692.7	6353.18	7606.16	11479.84	9455.09	6794.75	7968.26	9265.62	8717.12	6214.46	7448.67	5880.89	7191.42	8254.15	10159.46	7417.92	7535.01	8325.48	11724.19	5581.37	5841.42	9464.99	6428.32	7596.08	11544.9	6545.57	13014.18	10436.51	3997.07	10686.8	11499.4	7831.44	7754.45	8996.98	10014.06	8502.1	10737.66	8764.44	8605.95	8810.25	8350.39	8194.54	7788.32	9177.66	7732.06	2397.13	8445.58	6640.75	6456.46	7180.58	10036.23	7693.13	5247.52	10935.38	8921.43	10772.56	7625.83	7234.36	7110.6	8759.76	5503.23	6578.93	6560.8	6284.17	6645.31	7728.98	7343.57	7247.75
