Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)
23.421	2632.32	3110.64	4156.85	3888.55	3074.13	3427.33	3652.27	4844.89	2788.88	3560.46	1147.66	4961.93	5270.71	2942.1	3372.99	3447.95	2188.53	5003.77	4206.09	3984.18	1506.16	2832.08	4161.34	4150.37	4577.05	3188.07	2814.02	3147.57	3920.49	4991.4	3773.91	4064.47	2819.65	4004.38	3843.27	3154.53	2498.96	1240.36	3226.84	3725.83	3153.47	3236.43	2062.57	3898.61	8341.36	4362.27	4248.39	3095.33	2551.61	3007.45	3836.51	3531.86	3343.69	2635.08	2676.24	2852.31	3080.39	2754.21	2913.48	3597.06	2616.73	2859.38	2538.99	2531.98	7126.95	3320.12	2631.76	3082.48	2455.71	3164.74	2520.34
53.404	3213.72	3809.02	5092.99	4721.1	3706.5	4207.17	4496.27	5875.1	3376.5	4377.53	1234.36	6080.44	6538.7	3520.33	4132.03	4203.64	2620.32	6182.4	5181.73	4919.93	1753.91	3407.12	5135.1	5126.65	5683.55	3908.19	3365.13	3841	4784.51	6103.97	4632.8	5039.6	3474.01	4926.13	4715.07	3848.78	3019.85	1405.9	3963.21	4568.98	3839.51	3896.06	2453.25	4799.32	10109.4	5347.88	5227.98	3779.34	3065.26	3667.49	4716.36	4350.81	4104.71	3198.37	3188.29	3473.17	3741.2	3303.98	3492.85	4416.5	3163.9	3471.04	3046.39	2964.75	8682.58	4035.36	3157.66	3704.17	2812.49	3795.29	2992.94
83.419	3864.18	4572.88	6125.81	5635.99	4448.98	5066.61	5452.29	7031.38	4029.46	5343.85	1362.07	7290.38	7895.37	4194.67	5007.85	5103.4	3118.71	7479.85	6270.07	5956.16	2059.26	4084.98	6216.32	6210.38	6893.09	4724.51	4002.3	4652.89	5762.34	7387.45	5597.25	6097.09	4223.48	5966.85	5706.52	4654.78	3623.61	1635.8	4788	5541.78	4639.56	4692.5	2942.73	5821.6	11959.46	6429.92	6291.53	4552.64	3679.63	4419.57	5726.84	5265.85	4995.21	3854.51	3770.88	4180.08	4492.45	3943.05	4154.96	5351.86	3802.59	4167.62	3621.37	3454.72	10388.61	4856.21	3708.91	4395.62	3233.82	4540.48	3513.89
113.527	4396.38	5263.01	7004.06	6410.68	5105.78	5777.57	6276.69	7983.75	4585.02	6166.67	1488.88	8338.89	9039.52	4768.91	5786.48	5853.83	3549.12	8566.41	7202.81	6863.92	2335.39	4641.23	7136.18	7116.31	7937.55	5430.35	4536.97	5342.16	6607.94	8443.09	6418.88	7011.79	4882.4	6828.21	6546.84	5387.07	4180.98	1854.88	5523.2	6391.68	5332.72	5391.59	3370.01	6703.33	13412.09	7364.67	7230.7	5215.95	4237.37	5083.83	6596.09	6063.2	5749.87	4461.89	4291.27	4782.79	5134.4	4510.04	4759.95	6145.77	4347.34	4770.94	4094.93	3896.84	11733.24	5563.01	4212.34	5009.24	3602.48	5175.43	3996.69
143.885	5125.83	6081.83	8086.85	7396.83	5930.2	6705.02	7326.17	9159.68	5332.97	7187.44	1679.1	9640.49	10479.08	5499.44	6749.44	6823.81	4093.92	9940.54	8378.38	7992.04	2724.41	5405.12	8324.76	8288.14	9251.44	6309.08	5243	6224.33	7666.51	9798.48	7482.16	8170.65	5743.98	7956.04	7605.81	6304.94	4918.55	2165.19	6465.4	7453.87	6256.51	6277.83	3945.6	7854.64	14832.38	8556.71	8439.44	6076.19	4957.69	5949.11	7711.47	7091.19	6736.22	5217.77	4968.64	5588.16	5947.41	5241.74	5498.03	7214.9	5081.1	5543.73	4711.59	4480.71	13424.01	6461.78	4878.33	5785.11	4072.52	6008.76	4601.12
173.868	5636.53	6632.6	8757.89	7985.07	6518.4	7267.68	8014.66	9864.2	5819.06	7863	1825.98	10427.8	11286.36	5972.63	7399.08	7509.85	4463.35	10727.94	9132.06	8734.16	2998.46	5908.74	9101.32	9022.72	10068.05	6909.54	5710.44	6797.98	8343.42	10676.13	8167.96	8921.78	6334.13	8670.56	8304.02	6987.88	5452.68	2403.77	7098.1	8172.24	6887.88	6922.39	4382.02	8601.33	15278.6	9362.25	9228.54	6654.24	5498.38	6547.74	8484.86	7774.11	7389.06	5795.23	5435.48	6108.25	6498.54	5748.38	5992.3	7928.13	5575.1	6080.88	5105.97	4877.73	14222.81	7066.65	5304.58	6313.63	4396.95	6566.08	5015.65
203.836	6177.56	7236.71	9443.17	8646.08	7188	7910.48	8805.31	10642.52	6371.55	8626.53	2011.79	11352.39	12023.17	6528.94	8118.56	8218.56	4886.18	11431.65	9975.5	9546.57	3318.37	6513.27	9953.36	9813.87	10929.13	7592.86	6267.03	7431.85	9066.43	11657.02	8929.1	9742.89	6983.85	9471.39	9056.54	7762.69	6062.07	2693.88	7838.29	8958.11	7602.57	7641.43	4886.33	9458.54	15551.92	10233.78	10117.67	7311.93	6113.2	7254.43	9351.56	8535.39	8122.05	6416.78	5988.16	6730.44	7086.98	6308.26	6573.11	8715.15	6141.39	6662.27	5574.06	5346.42	14870.86	7707.32	5766.77	6859.25	4753.43	7146.88	5501.75
233.803	6744.73	7880.22	10186.52	9330.62	7853.69	8571.38	9625.88	11473.82	6941.92	9424.61	2226.19	12249.98	12522.12	7118.31	8866.23	8985.95	5356.15	11960.9	10881.61	10375.08	3669.24	7155.16	10862.85	10688.69	11549.14	8316.98	6839.88	8116.36	9853.32	12472.56	9727.52	10602.55	7719.5	10287.73	9877.38	8568.4	6720.92	3018.49	8582.73	9794	8408.78	8411.51	5426.6	10350.11	15767.56	11172.87	11060.68	7987.82	6764.12	8011.54	10271.59	9356.04	8930.07	7091.48	6544.66	7352.47	7736.27	6908.63	7162.28	9515.34	6732.16	7281.83	6038.46	5849.55	15330.08	8433.3	6276.4	7481.24	5114.19	7813.81	6017.48
263.787	7253.87	8379.16	10728.82	9864.42	8411.9	9053.03	10238.71	12060.34	7418.81	10033.02	2408.68	12915.12	12776.92	7548.75	9483.99	9594.61	5692.23	12218.48	11494.23	10997.4	3969.06	7621.97	11553.51	11257.09	11897.68	8888.36	7284.89	8650.52	10436.43	12936.01	10341.65	11145.9	8287.49	10913.17	10494.54	9269.96	7296.51	3295.91	9190.44	10413.17	9038.72	9082.19	5918.02	11033.62	15850.47	11888.76	11784.01	8524.45	7308.82	8604.35	11004.7	9962.99	9548.78	7622.49	7001.58	7866.39	8230.8	7414.04	7653.58	10174.78	7216.69	7781.11	6420.09	6253.99	15537.39	8973.43	6691.1	7943.37	5436.61	8340.2	6429.11
293.786	7708.76	8875.36	11283.27	10429.94	9008.67	9564.85	10903.22	12665.49	7884.89	10654.8	2626.27	13638.23	12999.47	8004.92	10078.41	10258.43	6068.65	12419.6	12011.34	11484.7	4290.48	8212.08	12154.72	11710.75	12185.9	9496.16	7769.92	9205.07	11035.06	13352.13	10937.34	11603	8892.2	11557.41	11153.56	9983.17	7902.63	3625.17	9856.39	11134.37	9737.02	9775.11	6429.49	11671.4	15904.62	12641.71	12502.6	9117.87	7935.64	9275.21	11803.66	10655.9	10234.4	8245.77	7513.54	8426.08	8754.26	7965.56	8150.58	10866.84	7752.54	8307.18	6822.04	6720.21	15700.19	9537.52	7130.33	8430.98	5777.26	8908.36	6864.31
