?Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#16 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)	#72 (DAPI)	#73 (DAPI)	#74 (DAPI)	#75 (DAPI)	#76 (DAPI)	#77 (DAPI)	#78 (DAPI)	#79 (DAPI)	#80 (DAPI)	#81 (DAPI)	#82 (DAPI)	#83 (DAPI)	#84 (DAPI)	#85 (DAPI)	#86 (DAPI)
26.728	4867.91	2694.8	4891.73	3526.94	2646.19	2756.29	3247.85	3811.15	2996.48	3905.15	2435.85	3034.95	3402.63	3573.38	3551.36	3540.95	2931.72	2711.28	2080.79	3376.82	4381.47	2794.97	3523.18	4166.7	3273.98	4220.48	2719.66	3541.07	3465.29	3340.9	3308.78	4119.42	2917.44	4174.49	2603.99	2581.79	3318.59	2798.18	2536.69	3499.04	3355.96	2421.2	2233.31	2768.87	3514.02	2637.93	3607.05	3455.06	3873.65	3253.15	4069.1	3536.29	2506.86	3643.8	2815.8	2225.62	2042.62	2360.81	2436.12	2924.61	2889.42	2385.75	2863.14	2412.53	2534.52	2370.01	2625.49	1963.7	2257.32	2758.03	2041.72	2603.62	2946.03	3636.74	3272.56	2466.69	1295.89	3074.6	2714.6	2541.88	2016.67	2466.11	2570.69	2478.82	2058.35	2092.5
56.664	5924.67	3209.34	5875.81	4226.2	3164.26	3287.75	3929.85	4558.08	3580.55	4749.18	2891.27	3624.2	4134.19	4288.22	4269.2	4234.85	3534.95	3255.53	2452.97	4050.48	5356.72	3332.73	4229.29	5058.18	3937.1	5118.09	3254.1	4259.1	4171.27	3984.4	3924.56	4978.57	3501.62	5026.27	3104.35	3058.37	3959.49	3343.67	3006.86	4220.97	4132.06	2860.58	2662.52	3366.27	4239.68	3138.55	4296.84	4195.18	4649.92	3852.39	4897.42	4295.19	3000.58	4373.61	3310.65	2612.53	2386.66	2799.08	2894.53	3510.39	3449.9	2752.02	3358.07	2848.01	2975.8	2802	3076.12	2225.38	2628.04	3293.23	2359.54	3115.6	3524.74	4319.62	3893.1	2894.63	1404.38	3639.3	3166.74	2944.17	2320.87	2895.93	2872.96	2891.52	2372.19	2340.78
86.741	7237.3	3837.57	7083.53	5071.74	3803.91	3951.44	4748.14	5441.71	4305	5786.08	3471.08	4324.29	5040.82	5148.11	5148.01	5070.55	4300.89	3923.49	2941	4868.75	6536.63	4016.08	5096.42	6180.64	4765.11	6184.54	3923.53	5152.31	5027.83	4759.03	4689	6009.04	4250.41	6057.94	3727.55	3673.82	4768.86	4036.27	3610.45	5066.33	5004.07	3414.13	3235.18	4083.99	5122.81	3786.53	5125.38	5106.98	5596.92	4613.87	5924.53	5199.03	3602.75	5283.76	3909.94	3086.3	2831.76	3337.92	3477.89	4239.7	4116.36	3241.06	4007.09	3390.43	3552.26	3342.16	3635.59	2569.02	3082.63	3944.91	2759.39	3757.67	4234.27	5143.95	4653.53	3415.23	1598.65	4323.88	3701.25	3424.91	2710.35	3388.55	3321.26	3396.76	2760.94	2664.79
117.208	8293.59	4351.91	8069.66	5782.03	4331.17	4497.06	5440.16	6165.57	4883.04	6632.1	3951.35	4920.89	5803.37	5861.57	5915.11	5794.07	4979.21	4499.03	3356.18	5545.9	7524.61	4592.93	5806.88	7097.72	5441.36	7072.88	4490.92	5874.28	5704.66	5397.29	5347.39	6849.39	4888.76	6909.28	4254.43	4183.69	5423.41	4620.98	4133.81	5769.55	5761.42	3872.48	3747.65	4740.16	5865.44	4356.8	5823.04	5872.71	6383.88	5250.08	6752.08	5976.37	4113.43	6058.87	4423.53	3499.83	3214.73	3785.79	3989.55	4858.28	4672.08	3634.7	4563.48	3857.48	3993.93	3768.87	4107.48	2890.1	3469.57	4498.44	3116.7	4322.05	4837.37	5860.39	5287.83	3870.34	1763.36	4943.95	4167.56	3838.22	3040.63	3814.36	3673.57	3833.21	3078.46	2942.48
147.176	9687.69	5024.54	9338.15	6723.53	5060.07	5217.87	6313.63	7148.26	5684.28	7761.11	4605.88	5713.49	6801.19	6803.06	6924.35	6712.63	5847.13	5259.81	3902.54	6474.64	8809.47	5359.5	6759.71	8329.24	6331.6	8259.25	5223.04	6831.59	6636.94	6224.01	6142.05	7921.17	5714.68	7996.99	4963.56	4847.79	6300.54	5398.49	4823.17	6692.81	6730.24	4486.47	4427.31	5569.53	6811.35	5086.3	6748.48	6916.8	7436.85	6099.05	7846	7014.66	4818.36	7055.53	5058.89	4049.93	3751.46	4373.17	4677.13	5679	5404.3	4157.81	5307.42	4500.25	4591.69	4395.49	4725.58	3291.39	3968.15	5229.42	3584.71	5074.52	5648.3	6799.41	6121.76	4451.59	2013.41	5730.79	4789.17	4383.57	3485.3	4371.82	4160.96	4385.36	3516.78	3322
177.128	10460.47	5420.81	10031.29	7244.7	5503.29	5638.69	6868.5	7691.71	6169.37	8382.7	5009.34	6166.1	7412.55	7360.18	7555.68	7272.65	6431.53	5709.05	4278.78	7000.99	9586.47	5830.05	7312.82	9048.21	6844.03	8939.85	5676.45	7359.85	7154.56	6687.7	6651.79	8555.04	6243.53	8614.1	5399.21	5238.52	6787.41	5860.5	5243.35	7217.14	7317.08	4831.22	4882.01	6125.79	7394.05	5559.68	7277.4	7554.27	8038.75	6626.17	8463.06	7638.9	5259.73	7669.1	5459.36	4393.29	4087.34	4737.67	5124.48	6163.12	5839.17	4465.4	5784.84	4878.99	4949.06	4762.5	5113.02	3515.34	4249.57	5652.53	3856.32	5565.4	6135.73	7355.47	6658.35	4809.76	2179.48	6222.13	5174.94	4706.18	3747.22	4698.78	4467.61	4730.55	3790.25	3538.36
207.159	11478.24	5898.29	10957.39	7939.6	6052.71	6157.95	7522.02	8382.31	6792.93	9190.17	5518.57	6724.91	8175.46	8084.43	8313.21	7959.1	7158.51	6286.77	4725.35	7656.45	10555.59	6415.7	7960.26	9958.07	7497.83	9809.67	6246.6	8018.57	7817.61	7256.83	7259.42	9329.19	6911.94	9345.97	5944.01	5737	7415.33	6445.86	5754.64	7891.06	8100.4	5304.12	5475.87	6789.37	8105.3	6145.44	7988.81	8363.14	8775.81	7256.55	9273.81	8428.55	5807.21	8400.26	5948.09	4862.89	4511.48	5194.38	5707.68	6805.56	6392.79	4874.14	6350.06	5376.7	5383.75	5213.87	5576.53	3890.7	4643.43	6193.99	4250	6145.58	6750.04	8052.26	7278.99	5242.56	2408.15	6839.76	5660.15	5147.14	4079.52	5095.1	4848.47	5154.78	4110.4	3840.25
237.111	12350.98	6341.9	11692.11	8538.84	6588.5	6621.95	8119.49	8991.51	7333.23	9917.26	5957.84	7262.79	8863.59	8709.72	9038.13	8558.57	7837.62	6807.27	5171.77	8267.85	11365.05	6954.17	8556.44	10703.17	8086.51	10592.9	6771.45	8629.85	8382.58	7744.96	7814.24	9990.08	7500.92	10027.24	6459	6179.79	7948.69	7007.89	6232.36	8470.22	8761.44	5711.87	6031.44	7428.02	8745.37	6701.18	8565.01	9075.76	9470.42	7867.44	9926.4	9124.85	6297.15	9056.51	6347.98	5255.41	4924.33	5603.93	6222.68	7354.63	6867.64	5221.43	6888.54	5830.61	5758.38	5633.08	5999.07	4204.55	4969.43	6687.45	4587.93	6740.61	7297.66	8737.83	7855.97	5649.3	2629.33	7432.51	6133.16	5546.53	4387.27	5448.25	5228.13	5547.75	4397.41	4083.17
267.047	13017.09	6729.34	12366.03	9050.69	7044.05	7034.12	8627.59	9504.96	7816.81	10542.67	6374.6	7691.92	9503.38	9256.99	9699.73	9085.24	8425.12	7266.19	5563.43	8784.84	11855.35	7408.38	9104.03	11212.78	8603.51	11218	7217.05	9120.81	8875.05	8161.12	8250.15	10575.21	8021.39	10555.53	6892.59	6580.39	8428.82	7481.57	6663.79	8994.27	9350.29	6077.6	6534.27	8011.23	9291.92	7239.66	9076.57	9738.45	10099.66	8360.83	10530.63	9727.26	6769.37	9602.46	6728.5	5649.82	5306.03	5981.3	6687.94	7865.34	7300.42	5542.03	7392.9	6234.45	6080.77	6013.83	6343.22	4504.91	5271.54	7118.97	4877.66	7227.37	7811.89	9289.22	8354.12	6004.22	2850.1	7927.36	6526.86	5905.65	4653.28	5779.67	5535.48	5905.69	4682.88	4325.25
297.046	13753.01	7228.8	13264.73	9760.41	7667.4	7566.9	9327.88	10196.63	8465.08	11353.12	6923.06	8279.41	10297.9	10007.2	10546.12	9800.68	9232.02	7891.67	6072.59	9470.13	12376.15	8038.78	9780.51	11788.23	9284.35	12090.04	7845.61	9823.64	9528.36	8744.31	8870.89	11320.36	8743.56	11145.86	7509.62	7125.85	9055.14	8112.73	7258.41	9659.9	10111.21	6587.71	7219.18	8773.67	10035.72	7873.05	9754.43	10590.18	10892.8	9067.43	11351.23	10572.54	7369.84	10358.68	7208.71	6148.6	5775.34	6482.02	7326.4	8521.47	7860.24	5956.92	8011.21	6770.07	6549.02	6502.73	6887.61	4892.2	5682.87	7715.73	5292.52	7903.03	8452.42	10049.29	8991.2	6473.2	3130.59	8608.44	7079.43	6376.88	5010.82	6188.15	5988.45	6353.64	5016.1	4646.19
