?Time [s]	#1 (DAPI)	#2 (DAPI)	#3 (DAPI)	#4 (DAPI)	#5 (DAPI)	#6 (DAPI)	#7 (DAPI)	#8 (DAPI)	#9 (DAPI)	#10 (DAPI)	#11 (DAPI)	#12 (DAPI)	#13 (DAPI)	#14 (DAPI)	#15 (DAPI)	#17 (DAPI)	#18 (DAPI)	#19 (DAPI)	#20 (DAPI)	#21 (DAPI)	#22 (DAPI)	#23 (DAPI)	#24 (DAPI)	#25 (DAPI)	#26 (DAPI)	#27 (DAPI)	#28 (DAPI)	#29 (DAPI)	#30 (DAPI)	#31 (DAPI)	#32 (DAPI)	#33 (DAPI)	#34 (DAPI)	#35 (DAPI)	#36 (DAPI)	#37 (DAPI)	#38 (DAPI)	#39 (DAPI)	#40 (DAPI)	#41 (DAPI)	#42 (DAPI)	#43 (DAPI)	#44 (DAPI)	#45 (DAPI)	#46 (DAPI)	#47 (DAPI)	#48 (DAPI)	#49 (DAPI)	#50 (DAPI)	#51 (DAPI)	#52 (DAPI)	#53 (DAPI)	#54 (DAPI)	#55 (DAPI)	#56 (DAPI)	#57 (DAPI)	#58 (DAPI)	#59 (DAPI)	#60 (DAPI)	#61 (DAPI)	#62 (DAPI)	#63 (DAPI)	#64 (DAPI)	#65 (DAPI)	#66 (DAPI)	#67 (DAPI)	#68 (DAPI)	#69 (DAPI)	#70 (DAPI)	#71 (DAPI)
29.973	2810.79	2377.15	1998.86	3525.26	2867.86	3064.42	2851.62	2363.47	2078.15	1886.41	3451.85	2978.82	1410.19	3051.47	2741.62	3109.84	3313.07	2535.69	2494.38	3514.27	2980.47	3087.54	2605.07	2695.5	3110.32	2738.81	3916.63	3959.35	2121.92	3360.93	2883.98	3004.9	4880.03	3329.07	3347.85	4049.44	2325.13	3704.42	3698.25	2643.58	3812.72	2843.28	2195.98	2527.2	3546.06	2369.92	3529.87	2769.83	3135.71	6279.94	2933.38	2530.22	2060.74	1858.04	4110.74	2717.65	2728.55	3647.15	2566.39	3186.5	2695.78	3326.04	3231.07	1982.66	2667.12	2700.97	2906.4	3300.56	2613.18	2403.5
59.972	3319.8	2762.52	2283.25	4160.58	3350.86	3543.34	3352.65	2770.51	2395.58	2130.02	4085.25	3498.01	1575.16	3622.07	3202.87	3645.73	3921.66	2989.99	2916.53	4170.52	3509.62	3668.21	3029.33	3178	3675.85	3228.15	4651.55	4663.25	2466.11	3968.3	3377.92	3543.39	5848.98	3935.26	3978.28	4754	2726.6	4411.85	4385.72	3125.26	4504.95	3352.77	2559.04	2960.83	4180.04	2774.83	4182.25	3261.21	3645.88	7493.41	3448.1	2918.98	2367.15	2140.06	4857.52	3191.63	3243.81	4276.16	2930.93	3710.1	3123.91	3841.25	3774.1	2288.69	3046.4	3098.03	3387.11	3785.49	3046.25	2721.46
90.049	3973.74	3267.72	2672.76	4992.64	3975.39	4178.29	4005.04	3288.24	2819.79	2481.32	4891.38	4164.84	1808.26	4344.91	3806.34	4369.14	4724.26	3570.1	3469.31	5043.3	4203.39	4424.12	3569.81	3806.74	4400.52	3867.27	5616.47	5589.51	2913.66	4784.91	4028.63	4200.95	7056.95	4747.01	4788.24	5673.83	3251.64	5328.95	5271.67	3738.37	5377.56	3983.92	3043.45	3498.17	4974.81	3289.23	4998.4	3850.72	4317.91	8965.81	4100.69	3428.06	2756.1	2496.71	5815.78	3813.57	3909.59	5061.07	3401.26	4382.38	3694.1	4517.91	4453.67	2676.21	3555.66	3615.92	3995.51	4458.7	3595.08	3138.88
120.500	4581.29	3724.89	3016.39	5744.91	4534.36	4743.04	4596.32	3770.72	3209.67	2797.79	5608.96	4781.32	2032.34	5014.61	4365.6	5005.9	5467.1	4132.9	3983.07	5840.66	4854.16	5119	4063.99	4400.66	5066.79	4452.53	6479.56	6390.74	3337.2	5538.41	4631.03	4833.9	8173.33	5467.54	5523.63	6500.34	3759.95	6153.73	6109.07	4332.44	6179.93	4583.96	3498.91	4011.99	5704.81	3798.01	5738.6	4425.92	4892.53	10243.91	4705.16	3885.17	3109.8	2866.24	6667.63	4378.31	4527.07	5770.4	3841.52	5025.07	4212.12	5104.76	5099.15	3049.14	3994.75	4102.42	4565.31	5027.75	4068.97	3530.29
150.452	5215.76	4198.65	3371.34	6549.38	5122.71	5331.5	5205.41	4279.04	3609.44	3139.12	6365.66	5418.09	2297.6	5714.9	4942.71	5655.54	6227.56	4723.76	4488.08	6671.5	5517.06	5843.71	4575.72	5009.31	5744.2	5064.94	7357.47	7197.78	3792.48	6283.78	5259.13	5441.18	9271.68	6239.3	6289.27	7370.07	4303.07	6994.87	6931.06	4934.46	7035.6	5227.63	3970.12	4529.65	6441.67	4314.96	6499.34	5015.21	5496.01	11557.38	5291.98	4369.3	3460.18	3257.97	7535.28	4982.64	5163.33	6503.81	4295.96	5687.42	4745.25	5731.6	5761.44	3415.85	4468.02	4577.12	5197.71	5643.07	4563.92	3938.93
180.436	5792.63	4616.3	3692.46	7185.93	5643.34	5800.25	5745.85	4743.64	3961.35	3444.01	6986.93	5955.84	2545.2	6327.59	5426.48	6243.31	6892.48	5240.78	4953.81	7409.83	6123.84	6496.95	5031.89	5538.39	6349.61	5603.58	8127.96	7895.31	4198.62	6912.22	5803.28	6007.6	10214.3	6888.87	6933.02	8123.27	4788.33	7709.2	7648.08	5469.15	7750.03	5783.2	4418.15	4968.42	7060.59	4806.14	7156.15	5527.46	6017.71	12614.58	5825.97	4770.12	3799.36	3610.96	8258.09	5511.67	5755.28	7095.23	4687.72	6271.68	5212.89	6296.41	6385.45	3759.17	4877.63	5001.1	5732.2	6142.46	5016.82	4285.54
210.481	6342.88	5011.23	3989.99	7805.43	6121.24	6245.74	6273.33	5189.87	4316.55	3741.68	7593.2	6463.6	2788.38	6920.56	5902.81	6799.92	7522.26	5766.39	5398.36	8105.95	6693.11	7114.3	5441.04	6077.26	6878.65	6101.82	8823.29	8542.32	4592.91	7543.76	6320.37	6537.14	11073.3	7510.6	7591.37	8817.02	5269.89	8408.07	8322.26	5973.59	8438.78	6324.37	4831.63	5402.62	7618.35	5256.36	7745.65	6002.38	6500.51	13543.47	6325.36	5125.22	4078.95	3971.2	8932.36	6030.71	6333.33	7669.1	5042.46	6833.79	5665.98	6786.59	6927.44	4087.8	5251.35	5397.58	6269.64	6585.64	5438.29	4650.13
240.371	6859.01	5373.15	4261.09	8381.59	6534.41	6631.42	6753.67	5579.65	4625.14	4017.63	8095.74	6895.31	3026.47	7441.5	6297.53	7248.82	8083.93	6257.9	5791.89	8742.32	7215.32	7678.08	5822.86	6549.14	7384.07	6575.63	9476.63	9095.92	4936.78	8111.18	6771.44	7000.62	11809.26	8083.76	8136.2	9409.68	5697.7	9014.16	8907.79	6456.07	9066.57	6815.98	5217.53	5794.88	8118.59	5688.7	8259.23	6426.45	6895.41	14176.1	6714.88	5485.47	4367.93	4318.38	9535.54	6507.49	6851.15	8121.19	5359.49	7329.63	6069.54	7244.68	7464.97	4363.07	5565.88	5746.71	6731.36	7010.58	5789.69	4937.69
270.370	7451.9	5753.67	4555.13	8987.04	7007.76	7059.29	7267.02	6055.93	4999.38	4323.79	8695.27	7373.58	3311.62	8023.85	6762.64	7790.08	8726.94	6778.9	6214.82	9433.35	7780.3	8305.52	6242	7106.51	7916.34	7099.29	10147.19	9701.42	5359.32	8712.36	7300.64	7519.86	12588.59	8702.37	8720.57	10071.97	6200.78	9651.69	9571.94	6975.17	9739.23	7336.36	5647.48	6232.28	8638.03	6187.21	8811.31	6889.13	7348	14738.26	7198.21	5853.53	4653.4	4709.71	10145.13	6988.05	7418.47	8626.99	5701.37	7891.35	6499.11	7745.49	8013.33	4699.36	5920.3	6133.06	7242.61	7430.33	6179.8	5262.88
300.354	8121.81	6239.05	4903.45	9686.88	7534.84	7569.61	7868.86	6533.76	5373.9	4669.83	9368.58	7947.11	3627.47	8696.62	7290.21	8408.09	9453.01	7393.82	6735.67	10245.93	8463.22	9036.94	6735.87	7744.27	8556.52	7685.1	10766.44	10415.97	5847.33	9418	7903.74	8108.15	13273.66	9413.79	9456.55	10892.15	6770.32	10425.37	10328.33	7580.74	10532.61	7992.24	6149.23	6740.78	9280.34	6719.73	9430.23	7456.88	7874.16	15213.17	7717.46	6274.09	5001.82	5126.01	10887.26	7584.74	8126.07	9221.23	6112.25	8546.97	7019.54	8327.92	8704.99	5070.13	6349.36	6570.84	7879.1	8011.68	6618.21	5685.03
330.337	9102.26	6920.9	5422.79	10737.85	8349.78	8315.1	8733.94	7313.03	5989.61	5203.76	10365.09	8810.58	4118.88	9741.33	8102.01	9329.26	10519.25	8300.4	7465.5	11240.01	9419.93	10111.1	7452.18	8656.61	9528.87	8563.93	11461.13	11499.65	6553.67	10470.14	8795.31	9032.52	13983.63	10482.33	10498.78	12046.41	7623.36	11380.58	11458.2	8490.59	11709.48	8918.12	6885.55	7517.45	10244.82	7515.59	10436.45	8296.11	8690.34	15744.97	8537.64	6936.55	5537.21	5771.47	12010.05	8469.59	9084.65	10171.46	6760.54	9518.28	7809.28	9163.47	9674.78	5638.41	6976.7	7270.59	8838.93	8803.25	7330.03	6275.05
360.398	9344.03	7040.95	5517.89	10877.03	8497.2	8369.76	8910.37	7480.72	6102.36	5343.85	10518.37	8950.38	4283.69	9925.11	8216.08	9483.26	10708.73	8529.7	7624.21	11400.77	9624.59	10317.86	7574.69	8855.33	9654.7	8767.19	11505.08	11584.19	6728.08	10654.68	8975.74	9213.06	14053.38	10663.11	10660.76	12231.39	7853.65	11504.9	11605.9	8678.98	11928.1	9108.37	7053.83	7656.66	10324.13	7729.62	10556.47	8450.89	8807.22	15730.98	8659.78	7020.46	5629	5974.6	12151.1	8674.21	9321.12	10266.24	6833.01	9737.53	7951.12	9273.25	9839.88	5754.64	7092.34	7366.38	9047.76	8932.1	7432.83	6387.47
390.460	9662.86	7222.8	5685.01	11169.88	8704.43	8609.22	9218.74	7732.88	6310.23	5578.68	10767.39	9204.67	4511.32	10250.92	8449.69	9750.34	11069.79	8855.09	7865.45	11628.2	9954.95	10659.19	7810.13	9176.22	9991.8	9059.61	11666.05	11879.75	6974.72	10979.13	9257.84	9454.01	14178.81	10968.19	10948.3	12639.1	8162.31	11714.54	11859.5	8984.87	12240.09	9462.29	7328.19	7896.21	10534.64	8049.41	10794.6	8703.69	9005.37	15777.49	8868.81	7201.4	5800.88	6236.56	12400.32	8971.77	9694.19	10493.39	7048.3	10054.51	8202.14	9568.95	10179.03	5965.69	7266.26	7568.45	9405.6	9174.21	7635.46	6588.38
420.381	10005.97	7435.63	5830.12	11393.78	8941.99	8739.51	9505.6	8012.96	6488.38	5748.42	11015.7	9406.72	4736.1	10576.02	8671.48	9976.07	11375.5	9195.78	8081.01	11830.61	10223.29	10950.3	8008.94	9484.83	10239.81	9340.42	11772.49	12085.33	7235.11	11272.26	9506.05	9731.15	14254.92	11203.96	11180	12899.74	8481.66	11901.96	12078.41	9263.55	12575	9750.71	7585.2	8123.73	10703.27	8319.67	10986.51	8951.83	9218.7	15823.24	9054.83	7379.41	5950.1	6486.04	12615.36	9246.53	10038.7	10678.11	7210.24	10369.6	8431	9800.1	10454.7	6158.12	7442.53	7735.47	9675.19	9365.33	7821.09	6777.37
